rule,session,input_windows,simplex_success,rqa_success,lle_success,LLE_pass_R2_090,LLE_pass_R2_095,simplex_errors,simplex_error_sessions,rqa_errors,rqa_error_sessions,lle_errors,lle_error_sessions,windows_missing_any_metric,identical_signal_reused
S3,01,26,26,26,26,26,25,0,,0,,0,,0,0
S3,04,46,46,46,46,46,41,0,,0,,0,,0,0
S3,05,50,50,50,50,49,42,0,,0,,0,,0,0
S3,06,47,47,47,47,46,43,0,,0,,0,,0,0
S3,07,43,43,43,43,42,32,0,,0,,0,,0,0
S3,08,45,45,45,45,45,42,0,,0,,0,,0,0
S3,09,67,67,67,67,60,44,0,,0,,0,,0,0
S3,10,36,36,36,36,36,33,0,,0,,0,,0,0
S3,11,39,39,39,39,38,33,0,,0,,0,,0,0
S3,12,55,55,55,55,53,28,0,,0,,0,,0,0
S3,13,49,49,49,49,49,47,0,,0,,0,,0,0
S3,14,46,46,46,46,37,30,0,,0,,0,,0,0
S3,15,33,33,33,33,33,30,0,,0,,0,,0,0
S3,17,41,41,41,41,41,38,0,,0,,0,,0,0
S3,18,42,42,42,42,40,27,0,,0,,0,,0,0
S3,19,45,45,45,45,45,41,0,,0,,0,,0,0
S3,21,38,38,38,38,35,24,0,,0,,0,,0,0
S3,22,42,42,42,42,41,41,0,,0,,0,,0,0
S3,23,66,66,66,66,66,63,0,,0,,0,,0,0
S3,25,44,44,44,44,43,32,0,,0,,0,,0,0
