rule,session,source_file,source_samples,retained_samples,retained_intervals,fs,awake_candidate_windows,awake_sqi_pass_windows,awake_stationarity_pass_windows,awake_stationarity_pass_after_sqi_windows,awake_included_windows,drowsy_candidate_windows,drowsy_sqi_pass_windows,drowsy_stationarity_pass_windows,drowsy_stationarity_pass_after_sqi_windows,drowsy_included_windows,paired
T60,01,sample_1.csv,117828,78301,7,50.000000000045475,18,18,18,18,18,5,4,2,2,2,True
T60,04,sample_4.csv,75416,63486,7,24.991877639597273,27,27,27,27,27,13,13,13,13,13,True
T60,05,sample_5.csv,91211,76717,9,25.002500250041432,34,33,32,32,32,14,14,12,12,12,True
T60,06,sample_6.csv,79179,67193,10,24.9931268901808,30,30,29,29,29,13,13,12,12,12,True
T60,07,sample_7.csv,79768,70803,7,24.99375156214797,35,35,32,32,32,9,9,8,8,8,True
T60,08,sample_8.csv,77595,68634,8,24.993751562005933,36,36,35,35,35,7,7,7,7,7,True
T60,09,sample_9.csv,119272,110277,11,25.000625015575494,50,50,46,46,46,19,19,17,17,17,True
T60,10,sample_10.csv,60386,51423,7,24.998235827015687,26,26,26,26,26,6,6,6,6,6,True
T60,11,sample_11.csv,61582,52617,6,24.993766908601188,18,18,18,18,18,15,15,15,15,15,True
T60,12,sample_12.csv,89853,69759,9,24.9893795136852,16,16,15,15,15,28,28,28,28,28,True
T60,13,sample_13.csv,76473,67509,6,25.000378130691093,23,23,23,23,23,21,21,20,20,20,True
T60,14,sample_14.csv,85948,71010,9,24.993626625203223,29,29,26,26,26,14,14,13,13,13,True
T60,15,sample_15.csv,69362,54601,10,24.99562576559584,30,30,28,28,28,3,3,2,2,2,True
T60,17,sample_17.csv,68752,59790,6,24.99287703003033,26,26,26,26,26,11,11,10,10,10,True
T60,18,sample_18.csv,69937,60973,7,24.997500250004045,17,17,17,17,17,22,22,20,20,20,True
T60,19,sample_19.csv,73041,64079,7,24.996219321763952,31,31,31,31,31,9,9,8,8,8,True
T60,21,sample_21.csv,69660,55080,7,25.000000000022737,21,21,21,21,21,13,13,11,11,11,True
T60,22,sample_22.csv,74710,59774,8,25.000625015646552,27,27,25,25,25,10,10,10,10,10,True
T60,23,sample_23.csv,109452,100486,7,24.997500250004045,54,54,50,50,50,10,10,10,10,10,True
T60,25,sample_25.csv,70613,61652,9,24.99593816004646,26,26,26,26,26,12,12,12,12,12,True
