Metric,Awake,Drowsy,Median Delta,95% CI,r_rb,q_BH,Direction,Evidence class
0V,22.88702636314996,24.68803176403857,4.0435217703258886,"[0.352, 7.184]",0.49523809523809526,0.11377716064453125,Higher in Drowsy,Directionally consistent but weaker
1V,42.47125257312014,43.40622440622441,0.40828664829261285,"[-1.468, 2.227]",0.18095238095238095,0.49800872802734375,Higher in Drowsy,No clear state effect
2V,33.15453435604005,30.5978793548962,-0.905473056041882,"[-6.403, 0.371]",-0.45714285714285713,0.11377716064453125,Lower in Drowsy,No clear state effect
