dimension,median_fnn_percent,q25_fnn_percent,q75_fnn_percent,min_fnn_percent,max_fnn_percent
1,96.00601604278074,95.45454545454547,96.23161764705884,95.25401069518716,97.25935828877004
2,32.11527880419244,30.95676943699732,34.098525469168905,26.843163538873995,36.89678284182306
3,6.502016129032258,6.216397849462366,6.938844086021505,5.309139784946236,7.762096774193548
4,2.1563342318059298,1.8699460916442048,2.7122641509433967,1.2466307277628033,2.9649595687331542
5,1.3513513513513513,1.1148648648648651,1.4864864864864866,0.472972972972973,1.722972972972973
6,0.9993224932249323,0.8638211382113821,1.1771680216802167,0.2371273712737127,1.3550135501355014
7,0.9001358695652174,0.6793478260869565,1.154891304347826,0.1698369565217391,1.2228260869565215
8,0.8855585831062671,0.6130790190735695,1.132493188010899,0.1362397820163487,1.2942779291553137
9,1.0075136612021856,0.665983606557377,1.2978142076502732,0.1707650273224043,1.4344262295081966
10,1.2157534246575343,0.6592465753424657,1.446917808219178,0.3424657534246575,1.7123287671232876
