state,n_windows,n_sessions,tau_median_s,tau_q25_s,tau_q75_s,tau_min_s,tau_max_s
Awake,596,20,0.1600242000004073,0.1200300000004972,0.2599999999997635,0.0799999999999272,0.7200719999991634
Drowsy,305,20,0.1200510000001031,0.1200195000000121,0.160043999999516,0.1199879999999211,0.5599439999996321
