state,session,dimension,median_fnn_percent
Awake,sample_15.csv,5,0.9121621621621623
Awake,sample_15.csv,6,0.9146341463414633
Awake,sample_15.csv,7,0.8491847826086956
Awake,sample_15.csv,8,0.8174386920980926
Awake,sample_15.csv,9,0.8538251366120219
Awake,sample_15.csv,10,0.821917808219178
Awake,sample_17.csv,1,95.58823529411764
Awake,sample_17.csv,2,33.64611260053619
Awake,sample_17.csv,3,6.653225806451612
Awake,sample_17.csv,4,2.661725067385445
Awake,sample_17.csv,5,1.4864864864864866
Awake,sample_17.csv,6,1.151761517615176
Awake,sample_17.csv,7,1.120923913043478
Awake,sample_17.csv,8,1.2602179836512264
Awake,sample_17.csv,9,1.400273224043716
Awake,sample_17.csv,10,1.7465753424657535
Awake,sample_18.csv,1,96.4572192513369
Awake,sample_18.csv,2,34.51742627345845
Awake,sample_18.csv,3,5.779569892473118
Awake,sample_18.csv,4,1.8194070080862532
Awake,sample_18.csv,5,1.0135135135135136
Awake,sample_18.csv,6,0.7452574525745257
Awake,sample_18.csv,7,0.4755434782608696
Awake,sample_18.csv,8,0.544959128065395
Awake,sample_18.csv,9,0.4781420765027322
Awake,sample_18.csv,10,0.4794520547945206
Awake,sample_19.csv,1,96.15641711229947
Awake,sample_19.csv,2,28.351206434316353
Awake,sample_19.csv,3,5.309139784946236
Awake,sample_19.csv,4,1.2129380053908356
Awake,sample_19.csv,5,0.6081081081081081
Awake,sample_19.csv,6,0.30487804878048774
Awake,sample_19.csv,7,0.2717391304347826
Awake,sample_19.csv,8,0.23841961852861032
Awake,sample_19.csv,9,0.273224043715847
Awake,sample_19.csv,10,0.273972602739726
Awake,sample_21.csv,1,96.32352941176472
Awake,sample_21.csv,2,36.59517426273459
Awake,sample_21.csv,3,7.862903225806452
Awake,sample_21.csv,4,2.4932614555256065
Awake,sample_21.csv,5,1.7567567567567568
Awake,sample_21.csv,6,1.4227642276422765
Awake,sample_21.csv,7,1.0869565217391304
Awake,sample_21.csv,8,1.1580381471389645
Awake,sample_21.csv,9,1.2978142076502732
Awake,sample_21.csv,10,1.36986301369863
Awake,sample_22.csv,1,95.85561497326202
Awake,sample_22.csv,2,29.75871313672922
Awake,sample_22.csv,3,6.317204301075269
Awake,sample_22.csv,4,1.954177897574124
Awake,sample_22.csv,5,1.148648648648649
Awake,sample_22.csv,6,0.7452574525745257
Awake,sample_22.csv,7,0.6114130434782609
Awake,sample_22.csv,8,0.6811989100817438
Awake,sample_22.csv,9,0.7513661202185792
Awake,sample_22.csv,10,0.7534246575342466
Awake,sample_23.csv,1,95.65508021390374
Awake,sample_23.csv,2,33.78016085790885
Awake,sample_23.csv,3,6.518817204301075
Awake,sample_23.csv,4,2.964959568733154
Awake,sample_23.csv,5,1.5540540540540542
Awake,sample_23.csv,6,1.2872628726287263
Awake,sample_23.csv,7,1.154891304347826
Awake,sample_23.csv,8,1.226158038147139
Awake,sample_23.csv,9,1.4344262295081966
Awake,sample_23.csv,10,1.643835616438356
Awake,sample_25.csv,1,95.65508021390374
Awake,sample_25.csv,2,26.20643431635389
Awake,sample_25.csv,3,5.913978494623656
Awake,sample_25.csv,4,1.8867924528301887
Awake,sample_25.csv,5,0.945945945945946
Awake,sample_25.csv,6,0.4742547425474254
Awake,sample_25.csv,7,0.4076086956521739
Awake,sample_25.csv,8,0.4768392370572207
Awake,sample_25.csv,9,0.6147540983606558
Awake,sample_25.csv,10,0.547945205479452
Drowsy,sample_1.csv,1,97.59358288770052
Drowsy,sample_1.csv,2,35.757372654155496
Drowsy,sample_1.csv,3,5.241935483870968
Drowsy,sample_1.csv,4,1.4150943396226416
Drowsy,sample_1.csv,5,0.1351351351351351
Drowsy,sample_1.csv,6,0.1693766937669376
Drowsy,sample_1.csv,7,0.1358695652173913
Drowsy,sample_1.csv,8,0.0681198910081743
Drowsy,sample_1.csv,9,0.1366120218579235
Drowsy,sample_1.csv,10,0.2054794520547945
Drowsy,sample_4.csv,1,96.32352941176472
Drowsy,sample_4.csv,2,34.584450402144775
Drowsy,sample_4.csv,3,7.123655913978495
Drowsy,sample_4.csv,4,2.15633423180593
Drowsy,sample_4.csv,5,1.351351351351351
Drowsy,sample_4.csv,6,1.2195121951219512
Drowsy,sample_4.csv,7,1.154891304347826
Drowsy,sample_4.csv,8,0.9536784741144414
Drowsy,sample_4.csv,9,1.092896174863388
Drowsy,sample_4.csv,10,1.2328767123287672
Drowsy,sample_5.csv,1,96.02272727272728
Drowsy,sample_5.csv,2,34.215817694369974
Drowsy,sample_5.csv,3,6.552419354838709
Drowsy,sample_5.csv,4,2.223719676549865
Drowsy,sample_5.csv,5,1.5878378378378377
Drowsy,sample_5.csv,6,1.4566395663956642
Drowsy,sample_5.csv,7,1.4945652173913042
Drowsy,sample_5.csv,8,1.3623978201634876
Drowsy,sample_5.csv,9,1.4344262295081966
Drowsy,sample_5.csv,10,1.4383561643835616
Drowsy,sample_6.csv,1,95.78877005347591
Drowsy,sample_6.csv,2,32.43967828418231
Drowsy,sample_6.csv,3,7.325268817204302
Drowsy,sample_6.csv,4,2.6954177897574128
Drowsy,sample_6.csv,5,1.6891891891891893
Drowsy,sample_6.csv,6,1.2195121951219512
Drowsy,sample_6.csv,7,1.2907608695652173
Drowsy,sample_6.csv,8,1.1580381471389645
Drowsy,sample_6.csv,9,1.2295081967213115
Drowsy,sample_6.csv,10,1.643835616438356
Drowsy,sample_7.csv,1,96.4572192513369
Drowsy,sample_7.csv,2,33.64611260053619
Drowsy,sample_7.csv,3,5.846774193548387
Drowsy,sample_7.csv,4,2.15633423180593
Drowsy,sample_7.csv,5,1.351351351351351
Drowsy,sample_7.csv,6,1.084010840108401
Drowsy,sample_7.csv,7,1.0869565217391304
Drowsy,sample_7.csv,8,1.1580381471389645
Drowsy,sample_7.csv,9,1.2978142076502732
Drowsy,sample_7.csv,10,1.36986301369863
Drowsy,sample_8.csv,1,95.88903743315508
Drowsy,sample_8.csv,2,30.79758713136729
Drowsy,sample_8.csv,3,6.55241935483871
Drowsy,sample_8.csv,4,2.762803234501348
Drowsy,sample_8.csv,5,1.6216216216216217
Drowsy,sample_8.csv,6,1.3888888888888888
Drowsy,sample_8.csv,7,1.2567934782608694
Drowsy,sample_8.csv,8,1.1580381471389645
Drowsy,sample_8.csv,9,1.2636612021857925
Drowsy,sample_8.csv,10,1.3013698630136985
Drowsy,sample_9.csv,1,95.68850267379679
Drowsy,sample_9.csv,2,30.52949061662198
Drowsy,sample_9.csv,3,6.754032258064516
Drowsy,sample_9.csv,4,1.9204851752021563
Drowsy,sample_9.csv,5,1.4189189189189189
Drowsy,sample_9.csv,6,1.1856368563685638
Drowsy,sample_9.csv,7,0.6793478260869565
Drowsy,sample_9.csv,8,0.6811989100817438
Drowsy,sample_9.csv,9,0.78551912568306
Drowsy,sample_9.csv,10,0.7534246575342465
Drowsy,sample_10.csv,1,96.05614973262033
Drowsy,sample_10.csv,2,30.361930294906163
Drowsy,sample_10.csv,3,7.123655913978495
Drowsy,sample_10.csv,4,2.358490566037736
Drowsy,sample_10.csv,5,1.2162162162162162
Drowsy,sample_10.csv,6,0.8130081300813009
Drowsy,sample_10.csv,7,0.8831521739130435
Drowsy,sample_10.csv,8,0.8174386920980926
Drowsy,sample_10.csv,9,1.024590163934426
Drowsy,sample_10.csv,10,1.3013698630136987
Drowsy,sample_11.csv,1,95.98930481283422
Drowsy,sample_11.csv,2,32.27211796246649
Drowsy,sample_11.csv,3,7.09005376344086
Drowsy,sample_11.csv,4,2.4932614555256065
Drowsy,sample_11.csv,5,1.385135135135135
Drowsy,sample_11.csv,6,1.4905149051490514
Drowsy,sample_11.csv,7,1.2567934782608694
Drowsy,sample_11.csv,8,1.2942779291553133
Drowsy,sample_11.csv,9,1.2978142076502732
Drowsy,sample_11.csv,10,1.5068493150684932
Drowsy,sample_12.csv,1,96.45484949832776
Drowsy,sample_12.csv,2,31.92488262910798
Drowsy,sample_12.csv,3,5.514458641560188
Drowsy,sample_12.csv,4,1.5509103169251517
Drowsy,sample_12.csv,5,0.878972278566599
Drowsy,sample_12.csv,6,0.7457627118644068
Drowsy,sample_12.csv,7,0.5438477226376615
Drowsy,sample_12.csv,8,0.5453306066803
Drowsy,sample_12.csv,9,0.4784688995215311
Drowsy,sample_12.csv,10,0.4797806716929403
Drowsy,sample_13.csv,1,96.18983957219253
Drowsy,sample_13.csv,2,33.9142091152815
Drowsy,sample_13.csv,3,6.922043010752688
Drowsy,sample_13.csv,4,2.223719676549865
Drowsy,sample_13.csv,5,1.5540540540540542
Drowsy,sample_13.csv,6,1.2195121951219512
Drowsy,sample_13.csv,7,1.0190217391304348
Drowsy,sample_13.csv,8,1.08991825613079
Drowsy,sample_13.csv,9,1.1612021857923498
Drowsy,sample_13.csv,10,1.3013698630136987
Drowsy,sample_14.csv,1,96.79144385026738
Drowsy,sample_14.csv,2,38.337801608579085
Drowsy,sample_14.csv,3,6.451612903225806
Drowsy,sample_14.csv,4,2.2911051212938007
Drowsy,sample_14.csv,5,2.1621621621621623
Drowsy,sample_14.csv,6,1.4905149051490514
Drowsy,sample_14.csv,7,1.4945652173913044
Drowsy,sample_14.csv,8,1.3623978201634876
Drowsy,sample_14.csv,9,1.639344262295082
Drowsy,sample_14.csv,10,1.5753424657534247
Drowsy,sample_15.csv,1,96.08957219251337
Drowsy,sample_15.csv,2,36.930294906166225
Drowsy,sample_15.csv,3,6.115591397849462
Drowsy,sample_15.csv,4,1.5835579514824798
Drowsy,sample_15.csv,5,1.1824324324324325
Drowsy,sample_15.csv,6,0.8130081300813008
Drowsy,sample_15.csv,7,0.9510869565217391
Drowsy,sample_15.csv,8,0.8174386920980926
Drowsy,sample_15.csv,9,0.8538251366120219
Drowsy,sample_15.csv,10,0.7534246575342466
Drowsy,sample_17.csv,1,95.28743315508022
Drowsy,sample_17.csv,2,30.563002680965145
Drowsy,sample_17.csv,3,5.477150537634408
Drowsy,sample_17.csv,4,2.3247978436657686
Drowsy,sample_17.csv,5,1.0810810810810811
Drowsy,sample_17.csv,6,0.6436314363143631
Drowsy,sample_17.csv,7,0.78125
Drowsy,sample_17.csv,8,0.7493188010899182
Drowsy,sample_17.csv,9,0.8538251366120219
Drowsy,sample_17.csv,10,0.9931506849315068
Drowsy,sample_18.csv,1,96.3903743315508
Drowsy,sample_18.csv,2,33.98123324396783
Drowsy,sample_18.csv,3,6.653225806451612
Drowsy,sample_18.csv,4,2.223719676549865
Drowsy,sample_18.csv,5,1.6216216216216215
Drowsy,sample_18.csv,6,1.084010840108401
Drowsy,sample_18.csv,7,0.8831521739130435
Drowsy,sample_18.csv,8,0.8174386920980926
Drowsy,sample_18.csv,9,0.819672131147541
Drowsy,sample_18.csv,10,0.6164383561643836
Drowsy,sample_19.csv,1,96.12299465240642
Drowsy,sample_19.csv,2,33.34450402144772
Drowsy,sample_19.csv,3,5.813172043010752
Drowsy,sample_19.csv,4,1.3140161725067387
Drowsy,sample_19.csv,5,0.945945945945946
Drowsy,sample_19.csv,6,0.575880758807588
Drowsy,sample_19.csv,7,0.6114130434782609
Drowsy,sample_19.csv,8,0.6130790190735695
Drowsy,sample_19.csv,9,0.5122950819672132
Drowsy,sample_19.csv,10,0.6164383561643836
Drowsy,sample_21.csv,1,96.524064171123
Drowsy,sample_21.csv,2,37.93565683646112
Drowsy,sample_21.csv,3,7.258064516129033
Drowsy,sample_21.csv,4,2.223719676549865
Drowsy,sample_21.csv,5,1.6216216216216215
Drowsy,sample_21.csv,6,1.2872628726287263
Drowsy,sample_21.csv,7,1.2228260869565215
Drowsy,sample_21.csv,8,1.08991825613079
Drowsy,sample_21.csv,9,1.024590163934426
Drowsy,sample_21.csv,10,1.095890410958904
Drowsy,sample_22.csv,1,96.3903743315508
Drowsy,sample_22.csv,2,33.24396782841823
Drowsy,sample_22.csv,3,6.317204301075269
Drowsy,sample_22.csv,4,2.2911051212938007
Drowsy,sample_22.csv,5,1.418918918918919
Drowsy,sample_22.csv,6,0.9485094850948508
Drowsy,sample_22.csv,7,1.154891304347826
Drowsy,sample_22.csv,8,1.021798365122616
Drowsy,sample_22.csv,9,1.024590163934426
Drowsy,sample_22.csv,10,1.4383561643835616
Drowsy,sample_23.csv,1,96.18983957219253
Drowsy,sample_23.csv,2,35.58981233243968
Drowsy,sample_23.csv,3,6.854838709677419
Drowsy,sample_23.csv,4,2.762803234501348
Drowsy,sample_23.csv,5,1.418918918918919
Drowsy,sample_23.csv,6,1.2872628726287263
Drowsy,sample_23.csv,7,1.4945652173913044
Drowsy,sample_23.csv,8,1.3623978201634876
Drowsy,sample_23.csv,9,1.5027322404371584
Drowsy,sample_23.csv,10,1.7808219178082192
Drowsy,sample_25.csv,1,96.32352941176472
Drowsy,sample_25.csv,2,31.63538873994638
Drowsy,sample_25.csv,3,5.846774193548387
Drowsy,sample_25.csv,4,1.7520215633423182
Drowsy,sample_25.csv,5,1.148648648648649
Drowsy,sample_25.csv,6,0.8130081300813009
Drowsy,sample_25.csv,7,0.7472826086956522
Drowsy,sample_25.csv,8,0.6811989100817438
Drowsy,sample_25.csv,9,0.7513661202185792
Drowsy,sample_25.csv,10,0.7534246575342466
