session,state,n_windows,tau_median_s,tau_q25_s,tau_q75_s
sample_1.csv,Awake,24,0.24999999999977257,0.1199999999998908,0.28499999999974074
sample_1.csv,Drowsy,7,0.2599999999997635,0.15999999999985443,0.2699999999997544
sample_10.csv,Awake,27,0.1600112915039062,0.1600112915039062,0.26001834869384766
sample_10.csv,Drowsy,9,0.1600112915039062,0.1200084686279296,0.1600112915039062
sample_11.csv,Awake,20,0.200049877166748,0.200049877166748,0.3200798034667969
sample_11.csv,Drowsy,18,0.200049877166748,0.1300324201583862,0.200049877166748
sample_12.csv,Awake,20,0.1200510000001031,0.1200510000001031,0.1200510000001031
sample_12.csv,Drowsy,35,0.1200510000001031,0.1200510000001031,0.1200510000001031
sample_13.csv,Awake,25,0.199996975000225,0.15999758000018,0.3199951600003601
sample_13.csv,Drowsy,23,0.15999758000018,0.119998185000135,0.15999758000018
sample_14.csv,Awake,31,0.1200306000000352,0.1200306000000352,0.1200306000000352
sample_14.csv,Drowsy,17,0.1200306000000352,0.1200306000000352,0.1200306000000352
sample_15.csv,Awake,28,0.1200209999994967,0.1200209999994967,0.160027999999329
sample_15.csv,Drowsy,6,0.1200209999994967,0.1200209999994967,0.1200209999994967
sample_17.csv,Awake,28,0.2600741000001676,0.1600456000001031,0.3200912000002063
sample_17.csv,Drowsy,14,0.1600456000001031,0.13003705000008375,0.2000570000001289
sample_18.csv,Awake,19,0.1200119999998605,0.1200119999998605,0.160015999999814
sample_18.csv,Drowsy,21,0.1200119999998605,0.1200119999998605,0.160015999999814
sample_19.csv,Awake,34,0.1200181500003054,0.1200181500003054,0.1600242000004073
sample_19.csv,Drowsy,10,0.1200181500003054,0.1200181500003054,0.1200181500003054
sample_21.csv,Awake,25,0.1199999999998908,0.1199999999998908,0.1599999999998544
sample_21.csv,Drowsy,15,0.1199999999998908,0.1199999999998908,0.1199999999998908
sample_22.csv,Awake,29,0.1599959999998645,0.1199969999998984,0.1599959999998645
sample_22.csv,Drowsy,13,0.1199969999998984,0.1199969999998984,0.1599959999998645
sample_23.csv,Awake,49,0.2000199999997676,0.2000199999997676,0.3200319999996281
sample_23.csv,Drowsy,13,0.160015999999814,0.1200119999998605,0.2000199999997676
sample_25.csv,Awake,27,0.1600260000000162,0.1200195000000121,0.1600260000000162
sample_25.csv,Drowsy,15,0.1200195000000121,0.1200195000000121,0.1200195000000121
sample_4.csv,Awake,29,0.1600520000010874,0.1200390000008155,0.3201040000021748
sample_4.csv,Drowsy,17,0.1200390000008155,0.1200390000008155,0.1600520000010874
sample_5.csv,Awake,33,0.2399759999998423,0.1599839999998948,0.3199679999997897
sample_5.csv,Drowsy,16,0.279971999999816,0.14998499999990136,0.2899709999998094
sample_6.csv,Awake,31,0.160043999999516,0.160043999999516,0.2600714999992135
sample_6.csv,Drowsy,17,0.160043999999516,0.160043999999516,0.200054999999395
sample_7.csv,Awake,34,0.1200299999998151,0.1200299999998151,0.1600399999997535
sample_7.csv,Drowsy,11,0.1200299999998151,0.1200299999998151,0.1200299999998151
sample_8.csv,Awake,36,0.1600400000006629,0.1600400000006629,0.2000500000008287
sample_8.csv,Drowsy,10,0.1200300000004972,0.1200300000004972,0.19004750000078724
sample_9.csv,Awake,47,0.3199920000006386,0.1599960000003193,0.3199920000006386
sample_9.csv,Drowsy,18,0.1599960000003193,0.1199970000002395,0.24999375000049895
