state,n_windows,n_sessions,fnn_median_at_m8_percent,fnn_q25_at_m8_percent,fnn_q75_at_m8_percent,median_reduction_m8_to_m9_pp
Awake,596,20,0.8514986376021798,0.5279291553133515,1.1750681198910082,-0.07156310954274048
Drowsy,305,20,0.9877384196185286,0.7322888283378746,1.1580381471389645,-0.07137698962195338
