session,dimension,median_fnn_percent
sample_1.csv,1,97.25935828877004
sample_1.csv,2,36.56166219839142
sample_1.csv,3,7.762096774193548
sample_1.csv,4,1.954177897574124
sample_1.csv,5,0.472972972972973
sample_1.csv,6,0.2371273712737127
sample_1.csv,7,0.1698369565217391
sample_1.csv,8,0.1362397820163487
sample_1.csv,9,0.1707650273224043
sample_1.csv,10,0.3424657534246575
sample_4.csv,1,96.05614973262033
sample_4.csv,2,33.44504021447721
sample_4.csv,3,7.258064516129033
sample_4.csv,4,2.661725067385445
sample_4.csv,5,1.4864864864864866
sample_4.csv,6,1.2533875338753386
sample_4.csv,7,1.154891304347826
sample_4.csv,8,1.1239782016348774
sample_4.csv,9,1.2978142076502732
sample_4.csv,10,1.5753424657534247
sample_5.csv,1,96.05614973262033
sample_5.csv,2,32.238605898123325
sample_5.csv,3,6.384408602150538
sample_5.csv,4,2.223719676549865
sample_5.csv,5,1.418918918918919
sample_5.csv,6,1.3550135501355014
sample_5.csv,7,1.2228260869565215
sample_5.csv,8,1.226158038147139
sample_5.csv,9,1.366120218579235
sample_5.csv,10,1.4383561643835616
sample_6.csv,1,95.45454545454547
sample_6.csv,2,31.534852546916888
sample_6.csv,3,6.78763440860215
sample_6.csv,4,2.8638814016172507
sample_6.csv,5,1.4527027027027029
sample_6.csv,6,1.084010840108401
sample_6.csv,7,1.120923913043478
sample_6.csv,8,1.1239782016348774
sample_6.csv,9,1.2295081967213115
sample_6.csv,10,1.4383561643835616
sample_7.csv,1,95.45454545454544
sample_7.csv,2,31.769436997319037
sample_7.csv,3,5.846774193548387
sample_7.csv,4,2.0215633423180592
sample_7.csv,5,1.2162162162162162
sample_7.csv,6,0.8807588075880758
sample_7.csv,7,0.8831521739130435
sample_7.csv,8,0.7493188010899182
sample_7.csv,9,1.024590163934426
sample_7.csv,10,1.3013698630136987
sample_8.csv,1,95.4879679144385
sample_8.csv,2,28.75335120643432
sample_8.csv,3,6.55241935483871
sample_8.csv,4,2.762803234501348
sample_8.csv,5,1.418918918918919
sample_8.csv,6,1.016260162601626
sample_8.csv,7,1.0190217391304348
sample_8.csv,8,1.055858310626703
sample_8.csv,9,1.1953551912568305
sample_8.csv,10,1.2328767123287672
sample_9.csv,1,95.38770053475936
sample_9.csv,2,31.16621983914209
sample_9.csv,3,6.720430107526881
sample_9.csv,4,1.8194070080862532
sample_9.csv,5,1.2837837837837838
sample_9.csv,6,1.016260162601626
sample_9.csv,7,0.6793478260869565
sample_9.csv,8,0.6130790190735695
sample_9.csv,9,0.6830601092896175
sample_9.csv,10,0.684931506849315
sample_10.csv,1,95.25401069518716
sample_10.csv,2,26.843163538873995
sample_10.csv,3,6.922043010752688
sample_10.csv,4,2.9649595687331542
sample_10.csv,5,1.5202702702702704
sample_10.csv,6,1.084010840108401
sample_10.csv,7,0.9171195652173914
sample_10.csv,8,0.8855585831062671
sample_10.csv,9,0.9904371584699452
sample_10.csv,10,1.1986301369863015
sample_11.csv,1,95.42112299465239
sample_11.csv,2,31.869973190348524
sample_11.csv,3,7.190860215053764
sample_11.csv,4,2.796495956873316
sample_11.csv,5,1.4527027027027029
sample_11.csv,6,1.151761517615176
sample_11.csv,7,1.2228260869565215
sample_11.csv,8,1.226158038147139
sample_11.csv,9,1.2978142076502732
sample_11.csv,10,1.5068493150684932
sample_12.csv,1,96.38795986622074
sample_12.csv,2,31.991951710261567
sample_12.csv,3,5.31271015467384
sample_12.csv,4,1.48347943358058
sample_12.csv,5,0.8113590263691683
sample_12.csv,6,0.5423728813559322
sample_12.csv,7,0.5438477226376615
sample_12.csv,8,0.4771642808452624
sample_12.csv,9,0.4784688995215311
sample_12.csv,10,0.4797806716929403
sample_13.csv,1,96.18983957219253
sample_13.csv,2,33.679624664879356
sample_13.csv,3,6.989247311827956
sample_13.csv,4,2.6954177897574128
sample_13.csv,5,1.6216216216216215
sample_13.csv,6,1.321138211382114
sample_13.csv,7,1.154891304347826
sample_13.csv,8,1.1580381471389645
sample_13.csv,9,1.331967213114754
sample_13.csv,10,1.5068493150684932
sample_14.csv,1,96.42379679144385
sample_14.csv,2,34.919571045576404
sample_14.csv,3,6.25
sample_14.csv,4,1.9204851752021563
sample_14.csv,5,1.25
sample_14.csv,6,0.9823848238482384
sample_14.csv,7,0.8152173913043478
sample_14.csv,8,0.8855585831062671
sample_14.csv,9,0.9904371584699452
sample_14.csv,10,0.9589041095890412
sample_15.csv,1,96.08957219251337
sample_15.csv,2,34.483914209115284
sample_15.csv,3,6.25
sample_15.csv,4,1.684636118598383
sample_15.csv,5,0.945945945945946
sample_15.csv,6,0.8807588075880758
sample_15.csv,7,0.8831521739130435
sample_15.csv,8,0.8174386920980926
sample_15.csv,9,0.8538251366120219
sample_15.csv,10,0.821917808219178
sample_17.csv,1,95.45454545454547
sample_17.csv,2,33.14343163538874
sample_17.csv,3,6.451612903225806
sample_17.csv,4,2.628032345013477
sample_17.csv,5,1.4864864864864866
sample_17.csv,6,0.948509485094851
sample_17.csv,7,0.9171195652173914
sample_17.csv,8,1.1580381471389645
sample_17.csv,9,1.2978142076502732
sample_17.csv,10,1.4726027397260273
sample_18.csv,1,96.3903743315508
sample_18.csv,2,34.24932975871314
sample_18.csv,3,6.115591397849462
sample_18.csv,4,1.8867924528301887
sample_18.csv,5,1.2837837837837838
sample_18.csv,6,0.8807588075880758
sample_18.csv,7,0.6793478260869565
sample_18.csv,8,0.6130790190735695
sample_18.csv,9,0.5806010928961749
sample_18.csv,10,0.547945205479452
sample_19.csv,1,96.15641711229947
sample_19.csv,2,29.49061662198391
sample_19.csv,3,5.309139784946236
sample_19.csv,4,1.2466307277628033
sample_19.csv,5,0.6756756756756757
sample_19.csv,6,0.3387533875338753
sample_19.csv,7,0.2717391304347826
sample_19.csv,8,0.2724795640326975
sample_19.csv,9,0.3415300546448087
sample_19.csv,10,0.3424657534246575
sample_21.csv,1,96.35695187165777
sample_21.csv,2,36.89678284182306
sample_21.csv,3,7.69489247311828
sample_21.csv,4,2.392183288409704
sample_21.csv,5,1.722972972972973
sample_21.csv,6,1.321138211382114
sample_21.csv,7,1.154891304347826
sample_21.csv,8,1.1239782016348774
sample_21.csv,9,1.1953551912568305
sample_21.csv,10,1.36986301369863
sample_22.csv,1,95.92245989304811
sample_22.csv,2,30.328418230563003
sample_22.csv,3,6.317204301075269
sample_22.csv,4,2.0889487870619945
sample_22.csv,5,1.148648648648649
sample_22.csv,6,0.8130081300813009
