state,dimension,median_fnn_percent,q25_fnn_percent,q75_fnn_percent,min_fnn_percent,max_fnn_percent
Awake,1,95.88903743315507,95.35427807486631,96.16477272727273,94.91978609625669,97.04211229946523
Awake,2,31.780169398877625,30.060321715817693,33.679624664879356,26.20643431635389,36.59517426273459
Awake,3,6.48521505376344,6.165994623655914,6.838037634408602,4.875588433086752,7.963709677419355
Awake,4,2.19845013477089,1.8194070080862534,2.847035040431267,1.1800404585300068,3.234501347708895
Awake,5,1.2837837837837838,0.9966216216216217,1.4949324324324325,0.5743243243243243,1.7567567567567568
Awake,6,1.016260162601626,0.7452574525745257,1.1856368563685638,0.25406504065040647,1.4227642276422765
Awake,7,0.9001358695652174,0.5774456521739131,1.129415760869565,0.22078804347826086,1.2907608695652173
Awake,8,0.8514986376021798,0.5279291553133515,1.1750681198910082,0.1702997275204359,1.2942779291553137
Awake,9,0.9050546448087431,0.665983606557377,1.3063524590163933,0.2049180327868852,1.4344262295081966
Awake,10,1.1130136986301369,0.6506849315068493,1.4554794520547945,0.273972602739726,1.7465753424657535
Drowsy,1,96.18983957219253,96.01437165775401,96.40649312324504,95.28743315508022,97.59358288770052
Drowsy,2,33.49530831099196,31.85250915681758,34.8357908847185,30.361930294906163,38.337801608579085
Drowsy,3,6.55241935483871,5.846774193548387,6.964045698924731,5.241935483870968,7.325268817204302
Drowsy,4,2.223719676549865,1.8783692722371967,2.3332210242587603,1.3140161725067387,2.762803234501348
Drowsy,5,1.402027027027027,1.1739864864864866,1.5962837837837838,0.1351351351351351,2.1621621621621623
Drowsy,6,1.1348238482384825,0.8130081300813009,1.2872628726287263,0.1693766937669376,1.4905149051490514
Drowsy,7,1.0529891304347827,0.7727581521739131,1.2567934782608694,0.1358695652173913,1.4945652173913044
Drowsy,8,0.9877384196185286,0.7322888283378746,1.1580381471389645,0.0681198910081743,1.3623978201634876
Drowsy,9,1.024590163934426,0.8111338797814207,1.2721994535519126,0.1366120218579235,1.639344262295082
Drowsy,10,1.2671232876712328,0.7534246575342466,1.4383561643835616,0.2054794520547945,1.7808219178082192
