session,n_windows,tau_median_s,tau_q25_s,tau_q75_s,tau_min_s,tau_max_s,near_frozen_tau
sample_1.csv,31,0.2599999999997635,0.1399999999998726,0.2799999999997453,0.1199999999998908,0.3199999999997089,False
sample_4.csv,46,0.1600520000010874,0.1200390000008155,0.2000650000013593,0.1200390000008155,0.3601170000024467,True
sample_5.csv,49,0.279971999999816,0.1599839999998948,0.3199679999997897,0.1199879999999211,0.6399359999995795,False
sample_6.csv,48,0.160043999999516,0.160043999999516,0.23006324999930425,0.120032999999637,0.6801869999979431,True
sample_7.csv,45,0.1200299999998151,0.1200299999998151,0.1600399999997535,0.1200299999998151,0.2000499999996918,True
sample_8.csv,46,0.1600400000006629,0.13003250000053862,0.2000500000008287,0.1200300000004972,0.3600900000014917,True
sample_9.csv,65,0.2799930000005588,0.1599960000003193,0.3199920000006386,0.1199970000002395,0.5999850000011975,False
sample_10.csv,36,0.1600112915039062,0.1600112915039062,0.2000141143798828,0.1200084686279296,0.360025405883789,True
sample_11.csv,38,0.200049877166748,0.1700423955917358,0.3200798034667969,0.1200299263000488,0.6801695823669434,False
sample_12.csv,55,0.1200510000001031,0.1200510000001031,0.1200510000001031,0.1200510000001031,0.2000850000001719,True
sample_13.csv,48,0.15999758000018,0.119998185000135,0.21999667250024751,0.119998185000135,0.3599945550004051,True
sample_14.csv,48,0.1200306000000352,0.1200306000000352,0.1200306000000352,0.1200306000000352,0.2000510000000588,True
sample_15.csv,34,0.1200209999994967,0.1200209999994967,0.1200209999994967,0.1200209999994967,0.3600629999984903,True
sample_17.csv,42,0.2000570000001289,0.1600456000001031,0.3200912000002063,0.1200342000000773,0.560159600000361,False
sample_18.csv,40,0.1200119999998605,0.1200119999998605,0.160015999999814,0.1200119999998605,0.160015999999814,True
sample_19.csv,44,0.1200181500003054,0.1200181500003054,0.1600242000004073,0.1200181500003054,0.1600242000004073,True
sample_21.csv,40,0.1199999999998908,0.1199999999998908,0.1599999999998544,0.0799999999999272,0.1999999999998181,True
sample_22.csv,42,0.1599959999998645,0.1199969999998984,0.1599959999998645,0.1199969999998984,0.3199919999997291,True
sample_23.csv,62,0.2000199999997676,0.160015999999814,0.3200319999996281,0.1200119999998605,0.7200719999991634,False
sample_25.csv,42,0.1200195000000121,0.1200195000000121,0.1600260000000162,0.1200195000000121,0.2000325000000202,True
