session_id,Awake,Drowsy,metric,delta_drowsy_minus_awake
1,25.206611570247933,40.40816326530612,0V,15.201551695058189
4,59.770529277299104,47.01195219123506,0V,-12.758577086064044
5,59.83263598326359,72.51908396946565,0V,12.686447986202062
6,23.34293640631669,31.1965811965812,0V,7.853644790264511
7,18.828451882845187,47.65625,0V,28.827798117154813
8,22.869955156950677,38.42794759825328,0V,15.557992441302606
9,23.104693140794225,27.816901408450704,0V,4.712208267656479
10,22.77227722772277,25.26050266006237,0V,2.4882254323396005
11,14.285714285714286,32.2707343807088,0V,17.985020094994518
12,25.174825174825173,23.825722031070796,0V,-1.3491031437543768
13,59.19282511210763,65.33276114866072,0V,6.139936036553095
14,35.15625,55.71379151291513,0V,20.55754151291513
15,59.6078431372549,64.0625,0V,4.454656862745097
17,50.0,24.201648456967607,0V,-25.798351543032393
18,44.36860068259386,31.351122517826667,0V,-13.01747816476719
19,25.874125874125877,27.60151842306889,0V,1.727392548943012
21,72.43816254416961,42.583352672700556,0V,-29.854809871469058
22,32.295719844357976,30.612244897959183,0V,-1.6834749463987926
23,58.33333333333333,57.4468085106383,0V,-0.88652482269503
25,22.998575498575498,38.30643111337062,0V,15.307855614795123
1,49.2737823105328,40.0,1V,-9.273782310532802
4,28.745994265474785,41.43426294820717,1V,12.688268682732385
5,30.543933054393303,18.320610687022903,1V,-12.2233223673704
6,43.400215749730314,43.58974358974359,1V,0.18952784001327672
7,43.7246963562753,37.890625,1V,-5.834071356275302
8,43.11111111111111,41.48471615720524,1V,-1.6263949539058657
9,41.91176470588236,42.70833333333333,1V,0.7965686274509665
10,44.01913875598086,43.71858374610163,1V,-0.30055500987923267
11,45.238095238095234,40.974576271186436,1V,-4.263518966908798
12,42.54545454545455,43.30357142857143,1V,0.7581168831168839
13,28.699551569506728,24.334046460553967,1V,-4.36550510895276
14,40.944881889763785,30.2115364903649,1V,-10.733345399398885
15,29.64426877470356,27.34375,1V,-2.3005187747035585
17,33.76623376623377,43.505530847303,1V,9.739297081069232
18,30.37542662116041,40.52110756856156,1V,10.14568094740115
19,41.25874125874126,41.73631910101925,1V,0.47757784227798794
21,19.402985074626866,34.453727340708085,1V,15.050742266081219
22,37.75933609958506,42.52873563218391,1V,4.769399532598847
23,28.82096069868996,31.91489361702128,1V,3.0939329183313227
25,44.89307989307989,40.287874936451445,1V,-4.605204956628448
1,24.632154062533807,19.59183673469388,2V,-5.040317327839926
4,11.930719184104095,12.396694214876034,2V,0.46597503077193814
5,10.638297872340424,9.160305343511451,2V,-1.4779925288289721
6,30.90474310034663,25.213675213675213,2V,-5.691067886671416
7,35.102040816326536,14.453125,2V,-20.648915816326536
8,32.888888888888886,20.087336244541486,2V,-12.8015526443474
9,32.14285714285714,29.090909090909093,2V,-3.0519480519480453
10,29.207920792079207,31.020913593835992,2V,1.812992801756785
11,40.17857142857143,26.61231884057971,2V,-13.56625258799172
12,31.818181818181817,31.37287316564511,2V,-0.44530865253670626
13,11.059907834101384,10.628223954215144,2V,-0.4316838798862399
14,25.390625,14.074671996719966,2V,-11.315953003280034
15,12.941176470588234,8.59375,2V,-4.347426470588234
17,17.105263157894736,31.247843588269124,2V,14.142580430374387
18,25.25597269624573,26.77085704170144,2V,1.5148843454557088
19,31.11888111888112,30.66216247591187,2V,-0.4567186429692498
21,9.818181818181818,22.42528557798922,2V,12.607103759807403
22,29.6,27.272727272727277,2V,-2.3272727272727245
23,13.656387665198238,10.638297872340424,2V,-3.0180897928578148
25,30.201575532900833,24.07473309608541,2V,-6.126842436815423
