metric,source_column,n_paired_sessions,awake_median,drowsy_median,median_delta_drowsy_minus_awake,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,q_BH,BH_supported,CI_excludes_zero
0V,pct_0v,20,29.084922859241928,38.36718935581195,4.583432565200788,-1.1178139832247034,13.943999840630125,20000,20260902,67.0,0.16495704650878906,0.3619047619047619,13,7,0,0.2474355697631836,False,False
1V,pct_1v,20,41.10181157425252,40.747841919874,-0.05551358493297798,-4.314512037930779,1.9452507728911446,20000,20260903,103.0,0.956329345703125,-0.01904761904761905,10,10,0,0.956329345703125,False,False
2V,pct_2v,20,27.299272896039604,23.250009337037316,-2.6726812600652696,-5.365692607255671,-0.4384962662114731,20000,20260904,52.0,0.04844093322753906,-0.5047619047619047,5,15,0,0.1453227996826172,False,True
