Metric,Awake,Drowsy,Median Delta,95% CI,r_rb,q_BH,Direction,Evidence class
0V,29.084922859241928,38.36718935581195,4.583432565200788,"[-1.118, 13.944]",0.3619047619047619,0.2474355697631836,Higher in Drowsy,No clear state effect
1V,41.10181157425252,40.747841919874,-0.05551358493297798,"[-4.315, 1.945]",-0.01904761904761905,0.956329345703125,Lower in Drowsy,No clear state effect
2V,27.299272896039604,23.250009337037316,-2.6726812600652696,"[-5.366, -0.438]",-0.5047619047619047,0.1453227996826172,Lower in Drowsy,Directionally consistent but weaker
