session_id,state,pct_0v,pct_1v,pct_2v
1,Awake,25.206611570247933,49.2737823105328,24.632154062533807
1,Drowsy,40.40816326530612,40.0,19.59183673469388
4,Awake,59.770529277299104,28.745994265474785,11.930719184104095
4,Drowsy,47.01195219123506,41.43426294820717,12.396694214876034
5,Awake,59.83263598326359,30.543933054393303,10.638297872340424
5,Drowsy,72.51908396946565,18.320610687022903,9.160305343511451
6,Awake,23.34293640631669,43.400215749730314,30.90474310034663
6,Drowsy,31.1965811965812,43.58974358974359,25.213675213675213
7,Awake,18.828451882845187,43.7246963562753,35.102040816326536
7,Drowsy,47.65625,37.890625,14.453125
8,Awake,22.869955156950677,43.11111111111111,32.888888888888886
8,Drowsy,38.42794759825328,41.48471615720524,20.087336244541486
9,Awake,23.104693140794225,41.91176470588236,32.14285714285714
9,Drowsy,27.816901408450704,42.70833333333333,29.090909090909093
10,Awake,22.77227722772277,44.01913875598086,29.207920792079207
10,Drowsy,25.26050266006237,43.71858374610163,31.020913593835992
11,Awake,14.285714285714286,45.238095238095234,40.17857142857143
11,Drowsy,32.2707343807088,40.974576271186436,26.61231884057971
12,Awake,25.174825174825173,42.54545454545455,31.818181818181817
12,Drowsy,23.825722031070796,43.30357142857143,31.37287316564511
13,Awake,59.19282511210763,28.699551569506728,11.059907834101384
13,Drowsy,65.33276114866072,24.334046460553967,10.628223954215144
14,Awake,35.15625,40.944881889763785,25.390625
14,Drowsy,55.71379151291513,30.2115364903649,14.074671996719966
15,Awake,59.6078431372549,29.64426877470356,12.941176470588234
15,Drowsy,64.0625,27.34375,8.59375
17,Awake,50.0,33.76623376623377,17.105263157894736
17,Drowsy,24.201648456967607,43.505530847303,31.247843588269124
18,Awake,44.36860068259386,30.37542662116041,25.25597269624573
18,Drowsy,31.351122517826667,40.52110756856156,26.77085704170144
19,Awake,25.874125874125877,41.25874125874126,31.11888111888112
19,Drowsy,27.60151842306889,41.73631910101925,30.66216247591187
21,Awake,72.43816254416961,19.402985074626866,9.818181818181818
21,Drowsy,42.583352672700556,34.453727340708085,22.42528557798922
22,Awake,32.295719844357976,37.75933609958506,29.6
22,Drowsy,30.612244897959183,42.52873563218391,27.272727272727277
23,Awake,58.33333333333333,28.82096069868996,13.656387665198238
23,Drowsy,57.4468085106383,31.91489361702128,10.638297872340424
25,Awake,22.998575498575498,44.89307989307989,30.201575532900833
25,Drowsy,38.30643111337062,40.287874936451445,24.07473309608541
