Metric,Primary_n,Primary_Median_Delta,Primary_CI_low,Primary_CI_high,Primary_raw_p,Primary_r_rb,Primary_q_BH,Primary_BH_supported,Sensitivity_n,Sensitivity_Median_Delta,Sensitivity_CI_low,Sensitivity_CI_high,Sensitivity_raw_p,Sensitivity_r_rb,Sensitivity_q_BH,Sensitivity_BH_supported,Primary_direction,Sensitivity_direction,Direction_preserved,Absolute_magnitude_ratio,Primary_CI_excludes_zero,Sensitivity_CI_excludes_zero
Mean_CC,20,-0.03387057,-0.05946483,-0.00434826,0.02148438,-0.58095238,0.037597665,True,18,-0.038068335,-0.06720391,-0.00988865,0.01387023926,-0.649122807,0.0242729187,True,Lower in Drowsy,Lower in Drowsy,True,1.12393547,True,True
Mean_NRMSE,20,0.02942366,0.00465115,0.05302103,0.00729561,0.66666667,0.025534635,True,18,0.03339069,0.008395495,0.05850312,0.007690429688,0.6959064327,0.01794433594,True,Higher in Drowsy,Higher in Drowsy,True,1.134824492,True,True
DET,20,-0.01864471853,-0.03635360177,-0.006898785814,0.021484375,-0.580952381,0.037597665,True,18,-0.02627537555,-0.0386092048,-0.00801458945,0.004745483398,-0.730994152,0.01660919189,True,Lower in Drowsy,Lower in Drowsy,True,1.40926641,True,True
Lmean,20,-0.06299104072,-0.1247346405,-0.01393812577,0.05825805664,-0.4857142857,0.0815612793,False,18,-0.0898145375,-0.1531156655,-0.01462564,0.02367401123,-0.6023391813,0.02761967977,True,Lower in Drowsy,Lower in Drowsy,True,1.425830348,True,True
LAM,20,0.0165090944,-0.004361232423,0.06348439363,0.142906189,0.380952381,0.1667238872,False,18,0.0241217546,0.00122627075,0.0660819364,0.03036499023,0.5789473684,0.03036499023,True,Higher in Drowsy,Higher in Drowsy,True,1.461119188,False,True
TT,20,0.009515483065,-0.003444039618,0.01596164787,0.2024497986,0.3333333333,0.2024497986,False,18,0.0102971245,0.0025130505,0.01886051,0.02367401123,0.6023391813,0.02761967977,True,Higher in Drowsy,Higher in Drowsy,True,1.082144168,False,True
LLE,20,-0.03757036126,-0.05369761933,-0.02297554368,0.0007076263428,-0.8095238095,0.0049533844,True,18,-0.04097466385,-0.05779684925,-0.02701075765,0.0004196166992,-0.8713450292,0.002937316895,True,Lower in Drowsy,Lower in Drowsy,True,1.090611388,True,True
