Domain,Construct,Metric,n_paired,Awake_median,Drowsy_median,Median_Delta,CI_low,CI_high,raw_p,r_rb,q_BH,BH_supported,expected_direction,Direction_count,n_positive,n_negative,n_zero,direction_coherent,CI_excludes_zero,Evidence_class
Prediction,Forecastability,Mean_CC,20,0.68900725,0.66347182,-0.03387057,-0.05946483,-0.00434826,0.02148438,-0.58095238,0.037597665,True,lower in Drowsy,15/20 lower in Drowsy,5,15,0,True,True,Strong multiplicity-controlled support
Prediction,Forecastability,Mean_NRMSE,20,0.63915426,0.66573242,0.02942366,0.00465115,0.05302103,0.00729561,0.66666667,0.025534635,True,higher in Drowsy,15/20 higher in Drowsy,15,5,0,True,True,Strong multiplicity-controlled support
RQA,Diagonal recurrence,DET,20,0.7126145798,0.6983490906,-0.01864471853,-0.03635360177,-0.006898785814,0.021484375,-0.580952381,0.037597665,True,lower in Drowsy,15/20 lower in Drowsy,5,15,0,True,True,Strong multiplicity-controlled support
RQA,Diagonal recurrence,Lmean,20,4.013234009,3.915069524,-0.06299104072,-0.1247346405,-0.01393812577,0.05825805664,-0.4857142857,0.0815612793,False,lower in Drowsy,16/20 lower in Drowsy,4,16,0,True,True,Directionally consistent but not BH-supported
RQA,Laminar recurrence,LAM,20,0.3146086289,0.328886116,0.0165090944,-0.004361232423,0.06348439363,0.142906189,0.380952381,0.1667238872,False,higher in Drowsy,13/20 higher in Drowsy,13,7,0,True,False,Directionally consistent but not BH-supported
RQA,Laminar recurrence,TT,20,2.026677259,2.033117411,0.009515483065,-0.003444039618,0.01596164787,0.2024497986,0.3333333333,0.2024497986,False,higher in Drowsy,14/20 higher in Drowsy,14,6,0,True,False,Directionally consistent but not BH-supported
Local divergence,Local trajectory divergence,LLE,20,0.8109117134,0.7947168305,-0.03757036126,-0.05369761933,-0.02297554368,0.0007076263428,-0.8095238095,0.0049533844,True,lower in Drowsy,16/20 lower in Drowsy,4,16,0,True,True,Strong multiplicity-controlled support
