metric,source_column,n_paired_sessions,awake_median,drowsy_median,median_delta_drowsy_minus_awake,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,q_BH,BH_supported,CI_excludes_zero
0V,pct_0v,20,22.88702636314996,24.68803176403857,4.0435217703258886,0.35240152177124884,7.184324735694597,20000,20260902,53.0,0.05316925048828125,0.49523809523809526,14,6,0,0.11377716064453125,False,True
1V,pct_1v,20,42.47125257312014,43.40622440622441,0.40828664829261285,-1.4683233433233376,2.2268907563025166,20000,20260903,86.0,0.49800872802734375,0.18095238095238095,10,10,0,0.49800872802734375,False,False
2V,pct_2v,20,33.15453435604005,30.5978793548962,-0.905473056041882,-6.403203587997279,0.371320931947416,20000,20260904,57.0,0.0758514404296875,-0.45714285714285713,7,13,0,0.11377716064453125,False,False
