session,rule,segment_id,retained_interval_id,state,source_start_index,source_end_index,filtered_start_index,filtered_end_index,start_s,end_s,duration_s,n_samples
21,S5,4,1,Awake,9822,34193,0,24371,394.4607253,1373.270528,978.8499247,24371
21,S5,5,2,Drowsy,34193,56226,24371,46404,1373.31065,2258.130768,884.8600839999999,22033
21,S5,6,3,Awake,56226,66211,46404,56389,2258.170734,2659.120831,400.98957900000005,9985
22,S5,2,1,Awake,45,35785,0,35740,1.822562456,1437.469691,1435.687231544,35740
22,S5,3,2,Drowsy,35785,45033,35740,44988,1437.509794,1808.940257,371.46985099999984,9248
22,S5,4,3,Awake,45033,52564,44988,52519,1808.979645,2111.430307,302.4902110000003,7531
22,S5,6,4,Drowsy,53065,63685,52519,63139,2131.692485,2558.100389,426.44715300000007,10620
23,S5,2,1,Awake,51,33532,0,33481,2.101407051,1346.739614,1344.678210949,33481
23,S5,3,2,Awake,33532,61267,33481,61216,1346.813393,2460.540306,1113.766298,27735
23,S5,4,3,Drowsy,61267,69882,61216,69831,2460.579691,2806.509645,345.9708249999999,8615
23,S5,5,4,Awake,69882,96318,69831,96267,2806.550516,3868.059591,1061.5491040000002,26436
23,S5,6,5,Drowsy,96318,109449,96267,109398,3868.09962,4395.29048,527.2308639999997,13131
25,S5,2,1,Awake,83,25996,0,25913,2.151393652,1043.04008,1040.928692848,25913
25,S5,5,2,Awake,30944,39833,25913,34802,1241.962976,1598.870215,356.94728800000007,8889
25,S5,6,3,Drowsy,39833,55553,34802,50522,1598.910264,2230.250614,631.3796010000001,15720
25,S5,8,4,Drowsy,62625,70608,50522,58505,2514.329938,2834.920218,320.63028650000035,7983
