Session,State,Metric,Valid_windows,p_0_05_windows,Expected_direction_rejections,Opposite_direction_rejections,Non_rejected_windows,Rejection_fraction,Expected_direction_rejection_fraction
8,Drowsy,LLE,10,10,10,0,0,1.0,1.0
9,Drowsy,LLE,17,17,17,0,0,1.0,1.0
10,Drowsy,LLE,9,9,9,0,0,1.0,1.0
11,Drowsy,LLE,18,18,18,0,0,1.0,1.0
12,Drowsy,LLE,33,32,32,0,1,0.9696969696969697,0.9696969696969697
13,Drowsy,LLE,23,23,23,0,0,1.0,1.0
14,Drowsy,LLE,14,13,13,0,1,0.9285714285714286,0.9285714285714286
15,Drowsy,LLE,6,6,6,0,0,1.0,1.0
17,Drowsy,LLE,14,13,13,0,1,0.9285714285714286,0.9285714285714286
18,Drowsy,LLE,20,20,20,0,0,1.0,1.0
19,Drowsy,LLE,10,10,10,0,0,1.0,1.0
21,Drowsy,LLE,13,13,13,0,0,1.0,1.0
22,Drowsy,LLE,12,12,12,0,0,1.0,1.0
23,Drowsy,LLE,13,13,13,0,0,1.0,1.0
25,Drowsy,LLE,14,13,13,0,1,0.9285714285714286,0.9285714285714286
