session,state,metric,median_delta_pps,median_surrogate_iqr,median_surrogate_sd,rejection_fraction,fraction_delta_positive,fraction_delta_negative,fraction_delta_zero,n_valid_windows
23,Awake,DET,0.15304506406872387,0.02649133752459576,0.0204303534703387,0.9795918367346939,1.0,0.0,0.0,49
23,Awake,LAM,-0.10078226232183146,0.03682151941258338,0.0284579190782144,0.8775510204081632,0.04081632653061224,0.9591836734693877,0.0,49
23,Awake,Lmean,1.1388992921855992,0.10100930602251923,0.0830030573144244,0.9795918367346939,1.0,0.0,0.0,49
23,Awake,NRMSE,-0.13435848830966501,0.03501198496078872,0.0270326631743344,0.8163265306122449,0.02040816326530612,0.9795918367346939,0.0,49
23,Awake,TT,-0.15083015121473053,0.046612379653494074,0.0371713724830897,0.9591836734693877,0.0,1.0,0.0,49
23,Drowsy,CC,0.1255330833242463,0.06385336835620015,0.0448206386640003,0.6923076923076923,1.0,0.0,0.0,13
23,Drowsy,DET,0.16197149301722902,0.02627537553390602,0.0194558469108283,1.0,1.0,0.0,0.0,13
23,Drowsy,LAM,-0.1007102749916014,0.03494984882660657,0.0267089959446938,0.7692307692307693,0.0,1.0,0.0,13
23,Drowsy,Lmean,1.1196976873780993,0.10166669118382998,0.0727557200586221,1.0,1.0,0.0,0.0,13
23,Drowsy,NRMSE,-0.1418800566878755,0.029288345924222026,0.0238828757341342,1.0,0.0,1.0,0.0,13
23,Drowsy,TT,-0.15656998981720394,0.04396154513355954,0.0316769304444982,0.9230769230769231,0.0,1.0,0.0,13
25,Awake,CC,0.06272900426801997,0.05725035643243498,0.0426770659359384,0.37037037037037035,0.9629629629629629,0.037037037037037035,0.0,27
25,Awake,DET,0.18107213130489042,0.02505159091999798,0.0199961947405562,1.0,1.0,0.0,0.0,27
