config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,theiler_multiplier,w_samples,w_seconds,target_rr,achieved_rr,rr_error,rr_exact,epsilon,zero_distance_fraction,DET,LAM,TT,n_diagonal_lines,n_vertical_lines,valid,qc_reason
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_1,1,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.01,0.009999932834839912,6.716516008815898e-08,True,94.13659933580382,0.0,0.8732488965649587,0.47326568796776053,2.1944830654579834,8249,17981,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_1,1,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.02,0.020000105545251567,1.0554525156636352e-07,True,117.45085492236888,0.0,0.9041222399462682,0.6441404703935139,2.389823343567837,15944,44946,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_1,1,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.03,0.03000003838009148,3.838009147993926e-08,True,136.55161412676276,0.0,0.923439811298125,0.7658377643625315,2.554290286019068,23140,74995,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_1,2,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.01,0.009999932834839912,6.716516008815898e-08,True,85.50830789298438,0.0,0.8895845327192478,0.5303204759163308,2.2109105455272764,8412,19999,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_1,2,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.02,0.020000105545251567,1.0554525156636352e-07,True,109.78248313706062,0.0,0.9134653441596603,0.7050685440829005,2.467688109980061,15825,47645,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_1,2,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.03,0.03000003838009148,3.838009147993926e-08,True,130.19981667400046,0.0,0.9266061647943069,0.8142805741014673,2.674141666119609,22944,76165,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_1,3,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.01,0.009999932834839912,6.716516008815898e-08,True,89.68834427880894,0.0,0.8883851468048359,0.5260986374976012,2.239787581699346,8427,19584,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_1,3,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.02,0.020000105545251567,1.0554525156636352e-07,True,114.6376026093003,0.0,0.9113784376986459,0.7139558871151517,2.4821223809027417,16483,47965,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_1,3,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.03,0.03000003838009148,3.838009147993926e-08,True,135.90958337353632,0.0,0.9238475992483909,0.8262783352656619,2.6928248491876325,24129,76751,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_1,4,Awake,50.000000000045475,3000,8,0.16,8,1.0,56,1.1199999999989814,0.01,0.009999932834839912,6.716516008815898e-08,True,78.83803513184138,0.0,0.904936672423719,0.334616676261754,2.0975114653033606,8011,13301,True,ok
