representation,n_windows,fixed_delay_seconds,median_tau_seconds,median_abs_difference_seconds,iqr_abs_difference_seconds,p90_abs_difference_seconds,p95_abs_difference_seconds,within_1_sample_pct,within_2_samples_pct
Overall,2942,,0.1600680000001375,0.0399804999999879,0.08001199999779368,0.1600912000002063,0.2399999999995998,71.07409925220938,75.42488103331067
Raw,1398,0.2,0.2000500000008287,0.03997579999959272,0.11993700000033411,0.219999999999618,0.28013968000075234,66.1659513590844,74.0343347639485
Processed,1544,0.16,0.1599999999998544,0.039981849999694605,0.00010800000023200584,0.1600799410409672,0.200025405883789,75.51813471502591,76.68393782383419
