representation,n_windows,median_tau_seconds,median_abs_difference_seconds,iqr_abs_difference_seconds,p90_abs_difference_seconds,p95_abs_difference_seconds,within_1_sample_pct,within_2_samples_pct
Overall,2942,0.1600680000001375,0.07994899999989691,0.04009299999834179,0.15999100000071848,0.23998734999963175,48.47042828008158,75.96872875594833
Raw,1398,0.2000500000008287,0.03997579999959272,0.11993700000033411,0.219999999999618,0.28013968000075234,66.1659513590844,74.0343347639485
Processed,1544,0.1599999999998544,0.07997000000018491,0.0400142915036667,0.1200799410409672,0.160025405883789,32.44818652849741,77.720207253886
