session,window_id,window_size_s,label,representation,dimension,fnn_percent,valid_count
sample_1.csv,15,60,Awake,Raw,5,3.457627118644068,2950
sample_1.csv,15,60,Awake,Raw,6,1.598639455782313,2940
sample_1.csv,15,60,Awake,Raw,7,1.3993174061433447,2930
sample_1.csv,15,60,Awake,Raw,8,0.6164383561643836,2920
sample_1.csv,15,60,Awake,Raw,9,0.6185567010309279,2910
sample_1.csv,15,60,Awake,Raw,10,0.3793103448275862,2900
sample_1.csv,16,60,Awake,Raw,1,89.69899665551839,2990
sample_1.csv,16,60,Awake,Raw,2,37.41610738255034,2980
sample_1.csv,16,60,Awake,Raw,3,9.831649831649832,2970
sample_1.csv,16,60,Awake,Raw,4,3.1418918918918917,2960
sample_1.csv,16,60,Awake,Raw,5,1.4915254237288136,2950
sample_1.csv,16,60,Awake,Raw,6,0.9523809523809524,2940
sample_1.csv,16,60,Awake,Raw,7,0.6484641638225256,2930
sample_1.csv,16,60,Awake,Raw,8,0.4452054794520548,2920
sample_1.csv,16,60,Awake,Raw,9,0.48109965635738833,2910
sample_1.csv,16,60,Awake,Raw,10,0.5172413793103449,2900
sample_1.csv,22,60,Awake,Raw,1,89.33110367892976,2990
sample_1.csv,22,60,Awake,Raw,2,41.241610738255034,2980
sample_1.csv,22,60,Awake,Raw,3,12.525252525252526,2970
sample_1.csv,22,60,Awake,Raw,4,3.006756756756757,2960
sample_1.csv,22,60,Awake,Raw,5,1.8305084745762712,2950
sample_1.csv,22,60,Awake,Raw,6,1.0544217687074828,2940
sample_1.csv,22,60,Awake,Raw,7,0.6825938566552902,2930
sample_1.csv,22,60,Awake,Raw,8,0.684931506849315,2920
sample_1.csv,22,60,Awake,Raw,9,0.48109965635738833,2910
sample_1.csv,22,60,Awake,Raw,10,0.3448275862068966,2900
sample_1.csv,23,60,Awake,Raw,1,89.1638795986622,2990
sample_1.csv,23,60,Awake,Raw,2,38.624161073825505,2980
sample_1.csv,23,60,Awake,Raw,3,11.245791245791246,2970
sample_1.csv,23,60,Awake,Raw,4,3.614864864864865,2960
sample_1.csv,23,60,Awake,Raw,5,2.169491525423729,2950
sample_1.csv,23,60,Awake,Raw,6,1.0884353741496597,2940
sample_1.csv,23,60,Awake,Raw,7,0.8191126279863481,2930
sample_1.csv,23,60,Awake,Raw,8,0.410958904109589,2920
sample_1.csv,23,60,Awake,Raw,9,0.5154639175257731,2910
sample_1.csv,23,60,Awake,Raw,10,0.3448275862068966,2900
sample_1.csv,28,60,Awake,Raw,1,87.39130434782608,2990
sample_1.csv,28,60,Awake,Raw,2,30.436241610738257,2980
