candidate_m,representation,n_windows,direct_support_pct,median_fnn_pct,iqr_fnn_pct,p90_fnn_pct,found_window_coverage_pct,valid_session_coverage_pct
5,Raw,1398,7.7968526466380546,2.915254237288136,1.9146630624027616,4.64908359409924,33.130699088145896,18.27956989247312
5,Processed,1544,25.064766839378237,1.418918918918919,0.7927852348993287,2.1631854978710963,36.0,15.384615384615385
6,Raw,1398,14.878397711015737,2.312925170068027,1.8367346938775515,4.0313214175111485,63.829787234042556,54.83870967741935
6,Processed,1544,46.696891191709845,1.016260162601626,0.70018139697526,1.7615176151761516,68.46511627906978,68.37606837606837
7,Raw,1398,17.811158798283262,2.2608672662964144,1.7373992256448105,3.890784982935153,80.24316109422493,78.49462365591397
7,Processed,1544,58.03108808290155,0.8831521739130435,0.7015793915470436,1.648721399730821,88.09302325581395,94.87179487179486
8,Raw,1398,19.599427753934194,2.141733408172339,1.7123287671232879,3.5616438356164384,89.96960486322189,92.47311827956989
8,Processed,1544,58.80829015544041,0.8760107816711591,0.7137315467992613,1.6846361185983827,96.0,98.29059829059828
9,Raw,1398,19.027181688125893,2.1553660718268848,1.6905045912632064,3.616036279318851,96.35258358662614,97.84946236559139
9,Processed,1544,53.75647668393783,0.9296594982078854,0.8196721311475409,1.7759562841530054,98.51162790697674,99.14529914529915
10,Raw,1398,18.240343347639485,2.206896551724138,1.6621464548624565,3.621088847485912,100.0,100.0
10,Processed,1544,48.380829015544045,1.0273972602739725,0.946311198476565,1.9863013698630136,100.0,100.0
