session,window_size_s,label,representation,window_id,factor,factor_value,selected_m,m_found
sample_10.csv,120,Drowsy,Raw,5,fnn_threshold,2.0,,False
sample_10.csv,120,Drowsy,Raw,5,theiler_multiplier,0.0,,False
sample_10.csv,120,Drowsy,Raw,5,theiler_multiplier,1.0,,False
sample_10.csv,120,Drowsy,Raw,5,theiler_multiplier,2.0,,False
sample_10.csv,180,Awake,Processed,1,R_tol,10.0,9.0,True
sample_10.csv,180,Awake,Processed,1,R_tol,15.0,6.0,True
sample_10.csv,180,Awake,Processed,1,R_tol,20.0,5.0,True
sample_10.csv,180,Awake,Processed,1,A_tol,1.5,,False
sample_10.csv,180,Awake,Processed,1,A_tol,2.0,6.0,True
sample_10.csv,180,Awake,Processed,1,A_tol,2.5,6.0,True
sample_10.csv,180,Awake,Processed,1,fnn_threshold,0.5,,False
sample_10.csv,180,Awake,Processed,1,fnn_threshold,1.0,6.0,True
sample_10.csv,180,Awake,Processed,1,fnn_threshold,2.0,5.0,True
sample_10.csv,180,Awake,Processed,1,theiler_multiplier,0.0,6.0,True
sample_10.csv,180,Awake,Processed,1,theiler_multiplier,1.0,6.0,True
sample_10.csv,180,Awake,Processed,1,theiler_multiplier,2.0,6.0,True
sample_10.csv,180,Awake,Raw,1,R_tol,10.0,,False
sample_10.csv,180,Awake,Raw,1,R_tol,15.0,,False
sample_10.csv,180,Awake,Raw,1,R_tol,20.0,,False
sample_10.csv,180,Awake,Raw,1,A_tol,1.5,,False
sample_10.csv,180,Awake,Raw,1,A_tol,2.0,,False
sample_10.csv,180,Awake,Raw,1,A_tol,2.5,,False
sample_10.csv,180,Awake,Raw,1,fnn_threshold,0.5,,False
sample_10.csv,180,Awake,Raw,1,fnn_threshold,1.0,,False
sample_10.csv,180,Awake,Raw,1,fnn_threshold,2.0,,False
sample_10.csv,180,Awake,Raw,1,theiler_multiplier,0.0,,False
sample_10.csv,180,Awake,Raw,1,theiler_multiplier,1.0,,False
sample_10.csv,180,Awake,Raw,1,theiler_multiplier,2.0,,False
sample_10.csv,180,Drowsy,Processed,3,R_tol,10.0,7.0,True
sample_10.csv,180,Drowsy,Processed,3,R_tol,15.0,6.0,True
sample_10.csv,180,Drowsy,Processed,3,R_tol,20.0,5.0,True
sample_10.csv,180,Drowsy,Processed,3,A_tol,1.5,,False
sample_10.csv,180,Drowsy,Processed,3,A_tol,2.0,6.0,True
sample_10.csv,180,Drowsy,Processed,3,A_tol,2.5,6.0,True
sample_10.csv,180,Drowsy,Processed,3,fnn_threshold,0.5,,False
sample_10.csv,180,Drowsy,Processed,3,fnn_threshold,1.0,6.0,True
sample_10.csv,180,Drowsy,Processed,3,fnn_threshold,2.0,5.0,True
sample_10.csv,180,Drowsy,Processed,3,theiler_multiplier,0.0,6.0,True
sample_10.csv,180,Drowsy,Processed,3,theiler_multiplier,1.0,6.0,True
sample_10.csv,180,Drowsy,Processed,3,theiler_multiplier,2.0,6.0,True
sample_10.csv,180,Drowsy,Raw,3,R_tol,10.0,,False
sample_10.csv,180,Drowsy,Raw,3,R_tol,15.0,,False
sample_10.csv,180,Drowsy,Raw,3,R_tol,20.0,,False
sample_10.csv,180,Drowsy,Raw,3,A_tol,1.5,,False
sample_10.csv,180,Drowsy,Raw,3,A_tol,2.0,,False
sample_10.csv,180,Drowsy,Raw,3,A_tol,2.5,,False
sample_10.csv,180,Drowsy,Raw,3,fnn_threshold,0.5,,False
sample_10.csv,180,Drowsy,Raw,3,fnn_threshold,1.0,,False
sample_10.csv,180,Drowsy,Raw,3,fnn_threshold,2.0,,False
sample_10.csv,180,Drowsy,Raw,3,theiler_multiplier,0.0,,False
sample_10.csv,180,Drowsy,Raw,3,theiler_multiplier,1.0,,False
sample_10.csv,180,Drowsy,Raw,3,theiler_multiplier,2.0,,False
sample_11.csv,60,Awake,Processed,1,R_tol,10.0,8.0,True
sample_11.csv,60,Awake,Processed,1,R_tol,15.0,5.0,True
sample_11.csv,60,Awake,Processed,1,R_tol,20.0,5.0,True
sample_11.csv,60,Awake,Processed,1,A_tol,1.5,,False
sample_11.csv,60,Awake,Processed,1,A_tol,2.0,5.0,True
sample_11.csv,60,Awake,Processed,1,A_tol,2.5,5.0,True
sample_11.csv,60,Awake,Processed,1,fnn_threshold,0.5,6.0,True
sample_11.csv,60,Awake,Processed,1,fnn_threshold,1.0,5.0,True
sample_11.csv,60,Awake,Processed,1,fnn_threshold,2.0,5.0,True
sample_11.csv,60,Awake,Processed,1,theiler_multiplier,0.0,5.0,True
sample_11.csv,60,Awake,Processed,1,theiler_multiplier,1.0,5.0,True
sample_11.csv,60,Awake,Processed,1,theiler_multiplier,2.0,5.0,True
sample_11.csv,60,Awake,Raw,1,R_tol,10.0,,False
sample_11.csv,60,Awake,Raw,1,R_tol,15.0,,False
sample_11.csv,60,Awake,Raw,1,R_tol,20.0,,False
sample_11.csv,60,Awake,Raw,1,A_tol,1.5,,False
sample_11.csv,60,Awake,Raw,1,A_tol,2.0,,False
sample_11.csv,60,Awake,Raw,1,A_tol,2.5,,False
sample_11.csv,60,Awake,Raw,1,fnn_threshold,0.5,,False
sample_11.csv,60,Awake,Raw,1,fnn_threshold,1.0,,False
sample_11.csv,60,Awake,Raw,1,fnn_threshold,2.0,,False
sample_11.csv,60,Awake,Raw,1,theiler_multiplier,0.0,,False
sample_11.csv,60,Awake,Raw,1,theiler_multiplier,1.0,,False
sample_11.csv,60,Awake,Raw,1,theiler_multiplier,2.0,,False
sample_11.csv,60,Drowsy,Processed,10,R_tol,10.0,,False
sample_11.csv,60,Drowsy,Processed,10,R_tol,15.0,,False
sample_11.csv,60,Drowsy,Processed,10,R_tol,20.0,,False
sample_11.csv,60,Drowsy,Processed,10,A_tol,1.5,,False
sample_11.csv,60,Drowsy,Processed,10,A_tol,2.0,,False
sample_11.csv,60,Drowsy,Processed,10,A_tol,2.5,5.0,True
sample_11.csv,60,Drowsy,Processed,10,fnn_threshold,0.5,,False
sample_11.csv,60,Drowsy,Processed,10,fnn_threshold,1.0,,False
sample_11.csv,60,Drowsy,Processed,10,fnn_threshold,2.0,4.0,True
sample_11.csv,60,Drowsy,Processed,10,theiler_multiplier,0.0,,False
sample_11.csv,60,Drowsy,Processed,10,theiler_multiplier,1.0,,False
sample_11.csv,60,Drowsy,Processed,10,theiler_multiplier,2.0,,False
sample_11.csv,60,Drowsy,Raw,10,R_tol,10.0,,False
sample_11.csv,60,Drowsy,Raw,10,R_tol,15.0,,False
sample_11.csv,60,Drowsy,Raw,10,R_tol,20.0,,False
sample_11.csv,60,Drowsy,Raw,10,A_tol,1.5,,False
sample_11.csv,60,Drowsy,Raw,10,A_tol,2.0,,False
sample_11.csv,60,Drowsy,Raw,10,A_tol,2.5,,False
sample_11.csv,60,Drowsy,Raw,10,fnn_threshold,0.5,,False
sample_11.csv,60,Drowsy,Raw,10,fnn_threshold,1.0,,False
sample_11.csv,60,Drowsy,Raw,10,fnn_threshold,2.0,,False
sample_11.csv,60,Drowsy,Raw,10,theiler_multiplier,0.0,,False
sample_11.csv,60,Drowsy,Raw,10,theiler_multiplier,1.0,,False
sample_11.csv,60,Drowsy,Raw,10,theiler_multiplier,2.0,,False
sample_11.csv,120,Awake,Processed,1,R_tol,10.0,,False
sample_11.csv,120,Awake,Processed,1,R_tol,15.0,7.0,True
sample_11.csv,120,Awake,Processed,1,R_tol,20.0,7.0,True
sample_11.csv,120,Awake,Processed,1,A_tol,1.5,,False
sample_11.csv,120,Awake,Processed,1,A_tol,2.0,7.0,True
sample_11.csv,120,Awake,Processed,1,A_tol,2.5,6.0,True
sample_11.csv,120,Awake,Processed,1,fnn_threshold,0.5,,False
sample_11.csv,120,Awake,Processed,1,fnn_threshold,1.0,7.0,True
sample_11.csv,120,Awake,Processed,1,fnn_threshold,2.0,5.0,True
sample_11.csv,120,Awake,Processed,1,theiler_multiplier,0.0,7.0,True
sample_11.csv,120,Awake,Processed,1,theiler_multiplier,1.0,7.0,True
