session,window_id,window_size_s,label,representation,fs,tau_samples,max_m,selected_m,min_fnn_percent,valid_count_at_selected_m,m_found
sample_4.csv,7,60,Awake,Raw,24.991877639597273,5,10,,2.1305841924398625,,False
sample_4.csv,8,60,Awake,Raw,24.991877639597273,5,10,,3.5051546391752577,,False
sample_4.csv,9,60,Awake,Raw,24.991877639597273,5,10,,2.413793103448276,,False
sample_4.csv,10,60,Awake,Raw,24.991877639597273,5,10,,1.9727891156462583,,False
sample_4.csv,14,60,Awake,Raw,24.991877639597273,5,10,,1.9243986254295533,,False
sample_4.csv,15,60,Awake,Raw,24.991877639597273,5,10,,1.7808219178082192,,False
sample_4.csv,16,60,Awake,Raw,24.991877639597273,5,10,,4.068965517241379,,False
sample_4.csv,17,60,Awake,Raw,24.991877639597273,5,10,,2.7586206896551726,,False
sample_4.csv,18,60,Awake,Raw,24.991877639597273,5,10,,4.344827586206897,,False
sample_4.csv,19,60,Awake,Raw,24.991877639597273,5,10,,3.517241379310345,,False
sample_4.csv,20,60,Awake,Raw,24.991877639597273,5,10,,3.724137931034482,,False
sample_4.csv,21,60,Awake,Raw,24.991877639597273,5,10,,2.7586206896551726,,False
sample_4.csv,22,60,Awake,Raw,24.991877639597273,5,10,,2.808219178082192,,False
sample_4.csv,23,60,Awake,Raw,24.991877639597273,5,10,,1.8493150684931507,,False
sample_4.csv,24,60,Awake,Raw,24.991877639597273,5,10,8.0,0.8904109589041096,1460.0,True
sample_4.csv,25,60,Awake,Raw,24.991877639597273,5,10,,2.542955326460481,,False
sample_4.csv,26,60,Awake,Raw,24.991877639597273,5,10,,1.2413793103448276,,False
sample_4.csv,27,60,Awake,Raw,24.991877639597273,5,10,,2.268041237113402,,False
sample_4.csv,28,60,Awake,Raw,24.991877639597273,5,10,,3.436426116838488,,False
sample_4.csv,29,60,Awake,Raw,24.991877639597273,5,10,,2.6027397260273974,,False
sample_4.csv,30,60,Awake,Raw,24.991877639597273,5,10,,4.413793103448276,,False
sample_4.csv,31,60,Awake,Raw,24.991877639597273,5,10,,3.4482758620689653,,False
sample_4.csv,32,60,Awake,Raw,24.991877639597273,5,10,,3.1724137931034484,,False
sample_4.csv,11,60,Drowsy,Raw,24.991877639597273,5,10,,3.061224489795918,,False
sample_4.csv,12,60,Drowsy,Raw,24.991877639597273,5,10,,1.5862068965517242,,False
sample_4.csv,13,60,Drowsy,Raw,24.991877639597273,5,10,,2.542955326460481,,False
sample_4.csv,33,60,Drowsy,Raw,24.991877639597273,5,10,,1.095890410958904,,False
sample_4.csv,34,60,Drowsy,Raw,24.991877639597273,5,10,,2.1993127147766325,,False
sample_4.csv,35,60,Drowsy,Raw,24.991877639597273,5,10,,2.206896551724138,,False
sample_4.csv,36,60,Drowsy,Raw,24.991877639597273,5,10,,2.3208191126279862,,False
sample_4.csv,37,60,Drowsy,Raw,24.991877639597273,5,10,,4.068965517241379,,False
sample_4.csv,38,60,Drowsy,Raw,24.991877639597273,5,10,,3.1506849315068495,,False
sample_4.csv,39,60,Drowsy,Raw,24.991877639597273,5,10,,2.1305841924398625,,False
sample_4.csv,40,60,Drowsy,Raw,24.991877639597273,5,10,,1.3651877133105803,,False
sample_4.csv,41,60,Drowsy,Raw,24.991877639597273,5,10,,2.405498281786942,,False
sample_4.csv,42,60,Drowsy,Raw,24.991877639597273,5,10,9.0,0.9621993127147767,1455.0,True
