session,window_size_s,label,representation,n_windows,n_m_found,median_m,iqr_m,mode_m,m_found_rate_pct
sample_15.csv,180,Drowsy,Processed,1,0,,,,0.0
sample_15.csv,180,Drowsy,Raw,1,0,,,,0.0
sample_17.csv,60,Awake,Processed,28,14,6.0,0.75,6.0,50.0
sample_17.csv,60,Awake,Raw,29,3,7.0,1.5,5.0,10.344827586206897
sample_17.csv,60,Drowsy,Processed,14,10,5.5,1.0,5.0,71.42857142857143
sample_17.csv,60,Drowsy,Raw,12,4,5.0,0.25,5.0,33.333333333333336
sample_17.csv,120,Awake,Processed,14,8,6.0,1.0,6.0,57.142857142857146
sample_17.csv,120,Awake,Raw,14,1,10.0,0.0,10.0,7.142857142857143
sample_17.csv,120,Drowsy,Processed,5,4,5.5,1.0,5.0,80.0
sample_17.csv,120,Drowsy,Raw,5,3,7.0,1.0,7.0,60.0
sample_17.csv,180,Awake,Processed,9,5,6.0,0.0,6.0,55.55555555555556
sample_17.csv,180,Awake,Raw,9,0,,,,0.0
sample_17.csv,180,Drowsy,Processed,4,4,6.0,0.0,6.0,100.0
sample_17.csv,180,Drowsy,Raw,4,3,5.0,0.5,5.0,75.0
sample_18.csv,60,Awake,Processed,19,18,5.5,1.75,5.0,94.73684210526316
sample_18.csv,60,Awake,Raw,19,12,5.0,2.0,4.0,63.1578947368421
sample_18.csv,60,Drowsy,Processed,21,18,7.0,1.75,7.0,85.71428571428571
sample_18.csv,60,Drowsy,Raw,21,6,6.5,2.5,4.0,28.571428571428573
sample_18.csv,120,Awake,Processed,8,8,6.0,1.0,6.0,100.0
sample_18.csv,120,Awake,Raw,8,6,5.5,2.5,5.0,75.0
sample_18.csv,120,Drowsy,Processed,10,9,7.0,3.0,5.0,90.0
sample_18.csv,120,Drowsy,Raw,9,1,5.0,0.0,5.0,11.11111111111111
sample_18.csv,180,Awake,Processed,5,5,6.0,0.0,6.0,100.0
sample_18.csv,180,Awake,Raw,5,3,5.0,0.5,5.0,60.0
sample_18.csv,180,Drowsy,Processed,6,6,7.0,0.0,7.0,100.0
sample_18.csv,180,Drowsy,Raw,7,3,5.0,1.5,5.0,42.857142857142854
sample_19.csv,60,Awake,Processed,34,34,5.0,0.0,5.0,100.0
sample_19.csv,60,Awake,Raw,34,14,6.0,1.0,6.0,41.1764705882353
sample_19.csv,60,Drowsy,Processed,10,10,5.5,1.0,5.0,100.0
sample_19.csv,60,Drowsy,Raw,11,6,5.5,1.0,5.0,54.54545454545455
sample_19.csv,120,Awake,Processed,15,15,5.0,0.0,5.0,100.0
sample_19.csv,120,Awake,Raw,15,5,6.0,1.0,6.0,33.333333333333336
sample_19.csv,120,Drowsy,Processed,4,4,5.5,1.0,5.0,100.0
sample_19.csv,120,Drowsy,Raw,4,3,7.0,1.0,7.0,75.0
