window_size_s,label,representation,n_windows,direct_support_pct,median_fnn_pct,iqr_fnn_pct,p90_fnn_pct,median_valid_count
60,Awake,Processed,596,57.88590604026845,0.8174386920980926,0.817438692098093,1.7711171662125342,1468.0
60,Awake,Raw,550,16.363636363636363,2.3972602739726026,1.7629944510689435,3.767123287671233,1460.0
60,Drowsy,Processed,305,55.73770491803278,0.8855585831062671,0.6820811717921429,1.7711171662125342,1468.0
60,Drowsy,Raw,267,22.47191011235955,2.054794520547945,1.6457134272864695,3.425596439670632,1460.0
120,Awake,Processed,269,59.10780669144982,0.8426019548365353,0.7410809106823759,1.5229110512129385,2968.0
120,Awake,Raw,245,19.183673469387756,2.1283783783783785,1.6554054054054053,3.5337837837837838,2960.0
120,Drowsy,Processed,136,58.08823529411765,0.9433962264150944,0.4464285714285715,1.5840916750926863,2968.0
120,Drowsy,Raw,118,22.033898305084744,1.8922115762264462,1.5965035667637895,3.1530922608989522,2960.0
180,Awake,Processed,161,66.45962732919256,0.8282963957913588,0.7162041181736795,1.5443151298119966,4467.0
180,Awake,Raw,147,23.12925170068027,1.9282511210762332,1.5473843901134101,3.493273542600898,4459.0
180,Drowsy,Processed,77,62.33766233766234,0.8952551477170994,0.3807239361404703,1.2712623097582816,4467.0
180,Drowsy,Raw,71,23.943661971830984,1.77209510991476,1.2895041720428377,3.027584660237721,4459.0
