schema_version,analysis_id,session_id,session,source_file,representation,window_uid,window_size_s,window_id,source_row_index,state,label_code,start_time_s,end_time_s,sampling_rate_hz,n_samples,stationarity_score_processed,stationarity_pass_processed,symbolic_n_levels,symbolic_word_length,peak_min_distance_s,peak_prominence_fraction,ppi_min_s,ppi_max_s,abrupt_change_threshold,min_peak_coverage_pct,prominence_threshold,min_required_intervals,n_peaks,peak_coverage_pct,n_intervals,n_words,mean_hr_bpm,median_hr_bpm,mean_ppi_ms,median_ppi_ms,sd_ppi_ms,min_ppi_ms,max_ppi_ms,ppi_cv,n_invalid_ppi,invalid_ppi_pct,n_abrupt_gt_20pct,abrupt_gt_20pct,ppi_qc_pass,pct_0v,pct_1v,pct_2lv,pct_2uv,pct_2v,symbolic_invariants_pass,symbolic_valid,analysis_included,failure_stage,invalid_reason
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w001,60,1,0,Awake,0,1.359906912,61.52963901,24.9893795136852,1499,0.24325343790485424,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,305.9892117894866,28,92,98.77529500008488,91,89,92.56174015345091,93.7101731763195,651.2656813192409,640.2720000005502,44.667104569752304,560.2380000004814,720.306000000619,0.06858507342083814,0,0.0,0,0.0,True,28.08988764044944,44.943820224719104,2.247191011235955,24.719101123595507,26.966292134831463,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w003,60,3,2,Awake,0,121.779484,181.9494545,24.9893795136852,1499,0.11003207988908699,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,477.52670848194794,28,95,98.1083450000843,94,92,96.09802122087689,93.7101731763195,626.2234787239423,640.2720000005502,35.06690604833467,560.2380000004814,760.3230000006533,0.05599743101263246,0,0.0,0,0.0,True,30.43478260869565,31.52173913043478,5.434782608695652,32.608695652173914,38.04347826086956,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w004,60,4,3,Awake,0,181.9902661,242.1600401,24.9893795136852,1499,0.22047586575446515,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,446.48983358609553,28,92,98.97538000008505,91,89,92.19847994243302,93.7101731763195,652.5849230774838,640.2720000005502,34.626105624810336,600.2550000005158,720.306000000619,0.053059922778355466,0,0.0,0,0.0,True,25.842696629213485,47.19101123595506,5.617977528089888,21.348314606741575,26.966292134831463,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w005,60,5,4,Awake,0,242.19976,302.3699107,24.9893795136852,1499,0.056033978763014324,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,460.86585564805466,28,93,98.77529500008488,92,90,93.60536599607319,93.7101731763195,644.1867065222928,640.2720000005502,45.20396517123415,560.2380000004814,720.306000000619,0.07017214840596811,0,0.0,0,0.0,True,20.0,47.77777777777778,2.2222222222222223,30.0,32.22222222222222,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w006,60,6,5,Awake,0,302.4100347,362.5699043,24.9893795136852,1499,0.15112341753755096,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,430.5946429609777,28,97,99.10877000008516,96,94,97.125869614574,99.9575180547408,619.4298125005323,600.2550000005158,32.31711532410545,560.2380000004814,680.2890000005846,0.05217236024473342,0,0.0,0,0.0,True,34.04255319148936,40.42553191489362,1.0638297872340425,24.46808510638298,25.53191489361702,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w007,60,7,6,Awake,0,362.6104941,422.7797089,24.9893795136852,1499,0.13008322684105786,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,401.277831706823,28,91,98.84199000008493,90,88,91.18945798790202,93.7101731763195,658.9466000005663,640.2720000005502,25.59176362406252,600.2550000005158,720.306000000619,0.03883738625260458,0,0.0,0,0.0,True,19.31818181818182,40.909090909090914,2.272727272727273,37.5,39.77272727272727,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w008,60,8,7,Awake,0,422.820317,482.989464,24.9893795136852,1499,0.04336997265141306,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,438.2390745849032,28,91,98.97538000008505,90,88,91.10643227165284,88.19781004830071,659.8358666672337,680.2890000005846,28.921719327131864,600.2550000005158,720.306000000619,0.04383168722429812,0,0.0,0,0.0,True,17.045454545454547,45.45454545454546,5.6818181818181825,31.81818181818182,37.5,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w009,60,9,8,Awake,0,483.0294585,543.189517,24.9893795136852,1499,0.14228113925674463,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,495.32278543547693,28,93,99.30885500008533,92,90,92.99607092420146,93.7101731763195,647.6664456527304,640.2720000005502,39.32024424216369,520.221000000447,720.306000000619,0.060710639722173665,0,0.0,1,1.098901098901099,True,17.77777777777778,41.111111111111114,4.444444444444445,36.66666666666667,41.111111111111114,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w010,60,10,9,Drowsy,1,623.0304239,683.2001839,24.9893795136852,1499,0.19686051208208485,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,453.370904366446,28,98,98.1083450000843,97,95,99.16570781848243,99.9575180547408,606.8557422685626,600.2550000005158,33.52066367940423,560.2380000004814,680.2890000005846,0.05523662601279256,0,0.0,0,0.0,True,22.105263157894736,45.26315789473684,5.263157894736842,27.36842105263158,32.63157894736842,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w011,60,11,10,Drowsy,1,683.2401414,743.3994658,24.9893795136852,1499,0.400331393228683,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,423.8997028150195,28,95,99.64233000008562,94,92,94.84167783581708,93.7101731763195,636.0148723409721,640.2720000005502,47.1183893049945,560.2380000004814,760.3230000006533,0.07408378538628574,0,0.0,1,1.075268817204301,True,23.913043478260867,43.47826086956522,4.3478260869565215,28.26086956521739,32.608695652173914,True,True,True,,
