session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
22,1,Awake,60,processed,1,7467501199813374740,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.49514799457086195,0.7962761985260779,1472,1472,1415,True,ok
22,1,Awake,60,processed,2,11276401972611581912,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5256600808985519,0.7828545419799157,1472,1472,1416,True,ok
22,1,Awake,60,processed,3,5051741568218542017,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4819931808477284,0.8485861980289114,1472,1472,1417,True,ok
22,1,Awake,60,processed,4,1433083806335179506,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5486725682927391,0.8538013140190162,1472,1472,1395,True,ok
22,1,Awake,60,processed,5,18131191735174510573,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4845899473176446,0.8362628652577394,1472,1472,1394,True,ok
22,1,Awake,60,processed,6,2261691008454849775,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5345205036610238,0.924818779701091,1472,1472,1407,True,ok
22,1,Awake,60,processed,7,4527171251435710042,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4706830787653331,0.7148317705896733,1472,1472,1423,True,ok
22,1,Awake,60,processed,8,10328321349847450434,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5270772658597326,0.8395225084722966,1472,1472,1418,True,ok
22,1,Awake,60,processed,9,15848422253663348036,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5877128281824323,0.8837458040934525,1472,1472,1415,True,ok
22,1,Awake,60,processed,10,7148548787157744557,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5400104706063784,0.8375056825553135,1472,1472,1401,True,ok
22,1,Awake,60,processed,11,9005909634880298955,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.48563196788080243,0.8936018842223687,1472,1472,1415,True,ok
22,1,Awake,60,processed,12,6302143120489936850,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5001914484308095,0.8473535830968092,1472,1472,1413,True,ok
22,1,Awake,60,processed,13,743332374841408261,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4851578929391869,0.8606526803851898,1472,1472,1406,True,ok
22,1,Awake,60,processed,14,16196626169693852,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5588194950602502,0.9286251624151903,1472,1472,1409,True,ok
22,1,Awake,60,processed,15,5283178624490163520,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5370305805177313,0.872347630795305,1472,1472,1425,True,ok
22,1,Awake,60,processed,16,17668510973837588546,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5201047351616606,0.7494353874594876,1472,1472,1401,True,ok
22,1,Awake,60,processed,17,5441490091865146278,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5533107918660118,0.8781248787060546,1472,1472,1425,True,ok
22,1,Awake,60,processed,18,757280883240303775,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.49537152100757953,0.939299482407976,1472,1472,1421,True,ok
22,1,Awake,60,processed,19,5033843175696896323,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4068480498120079,0.7634379015271339,1472,1472,1401,True,ok
22,1,Awake,60,processed,20,10229183559259590599,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5200997092649897,0.8086019101211238,1472,1472,1418,True,ok
22,1,Awake,60,processed,21,620867866348060435,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5280167026338942,0.9418711742968717,1472,1472,1402,True,ok
22,1,Awake,60,processed,22,7852173208940905269,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5274213139257304,0.9116167718645418,1472,1472,1400,True,ok
22,1,Awake,60,processed,23,4232175938333112859,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5383327970170898,0.8892010662439047,1472,1472,1420,True,ok
22,1,Awake,60,processed,24,14043078199273468779,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5555774574306703,0.9286265304644549,1472,1472,1401,True,ok
22,1,Awake,60,processed,25,6899460240431775312,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4576688264616273,0.75485147747565,1472,1472,1422,True,ok
22,1,Awake,60,processed,26,12900096083166686269,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.549531635376383,0.9257032425479915,1472,1472,1425,True,ok
22,1,Awake,60,processed,27,10309872271465980010,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5341524395051408,0.8761605756975847,1472,1472,1412,True,ok
22,1,Awake,60,processed,28,6106807951627090036,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5194270137085729,0.8480645584974127,1472,1472,1398,True,ok
22,1,Awake,60,processed,29,13991566553837971278,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.4727124610191628,0.8630364409005098,1472,1472,1388,True,ok
22,1,Awake,60,processed,30,12068814655787771028,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5558907795573369,0.9019579517610722,1472,1472,1400,True,ok
22,1,Awake,60,processed,31,16221291888331874662,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5444388669872487,0.8204835959427988,1472,1472,1412,True,ok
22,1,Awake,60,processed,32,253252932536016983,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5220254871188784,0.8263852720325162,1472,1472,1394,True,ok
22,1,Awake,60,processed,33,3457688979724915927,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5667778633406887,0.9362186391452187,1472,1472,1410,True,ok
22,1,Awake,60,processed,34,3762105904443603809,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5890716596099113,0.9537056303180432,1472,1472,1408,True,ok
22,1,Awake,60,processed,35,778511917201768848,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5293869278160447,0.8489329213504953,1472,1472,1408,True,ok
22,1,Awake,60,processed,36,11747640349319867122,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5463150105231644,0.9063931416547686,1472,1472,1399,True,ok
22,1,Awake,60,processed,37,16761281779101577322,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.610241616660734,0.8644654460688292,1472,1472,1392,True,ok
22,1,Awake,60,processed,38,11579134509773747708,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.557763149839399,0.9120426098533302,1472,1472,1403,True,ok
22,1,Awake,60,processed,39,18195710822871702115,79.52707287670508,25.000625015646552,8,0.16,4,0.4795469534348491,12,0.8,1.3,5.0,0.5737399026006685,0.9088440890998369,1472,1472,1426,True,ok
22,2,Awake,60,processed,1,6635543304028100860,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.4959692458489148,0.8862579853436682,1472,1472,1416,True,ok
22,2,Awake,60,processed,2,3120064308024109952,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.4423312299629171,0.8061092002553544,1472,1472,1414,True,ok
22,2,Awake,60,processed,3,10213918548567271347,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.5895210170619523,0.7977194996942913,1472,1440,1373,True,ok
22,2,Awake,60,processed,4,3628751702269178185,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.5015245023245738,0.8447746574100005,1472,1472,1397,True,ok
22,2,Awake,60,processed,5,9160958076324402014,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.5396886667994728,0.9236130824977844,1472,1452,1381,True,ok
22,2,Awake,60,processed,6,10220155032640807394,79.52707287670508,25.000625015646552,8,0.16,4,0.4981160168727244,12,0.8,1.3,5.0,0.5842692877951191,0.8333387022921972,1472,1431,1363,True,ok
