session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,original_lle,original_fit_r2,original_valid,original_qc_reason,n_surrogates_expected,n_surrogates_valid,surrogate_lle_mean,surrogate_lle_std,surrogate_lle_median,surrogate_lle_q25,surrogate_lle_q75,surrogate_lle_min,surrogate_lle_max,lle_gap_mean,lle_gap_median,z_score_surrogate,rank_ascending,rank_direction,p_two_sided,reject_alpha_0_05,rho_star,master_seed
9,1,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4228100924173832,11,0.8,1.3,5.0,0.6316704633888456,0.9294241650986232,True,ok,39,39,0.49868056180785475,0.03890541588430535,0.5007288878904651,0.4701466737812756,0.5255688762687802,0.41820376631871053,0.5787753047825831,0.13298990158099083,0.13094157549838048,3.4182876228972443,40.0,higher,0.05,True,31.622776601683796,20260828
9,2,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4200903504697262,11,0.8,1.3,5.0,0.6707531853307169,0.933842751885052,True,ok,39,39,0.5400362464655841,0.043234086104341575,0.5403109196393618,0.510232991804209,0.5692542698446406,0.4598024887034917,0.6294153546351579,0.1307169388651328,0.13044226569135509,3.023469457632555,40.0,higher,0.05,True,26.296442576539505,20260828
9,3,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.419322906146794,10,0.8,1.3,5.0,0.679834958483587,0.9557255170580815,True,ok,39,39,0.5434711725779755,0.04168018380821095,0.5474908369877431,0.5086678894278581,0.5735428471483888,0.4672128982446648,0.622487771137139,0.1363637859056115,0.13234412149584385,3.271669494863119,40.0,higher,0.05,True,26.296442576539505,20260828
9,5,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4274108834825262,11,0.8,1.3,5.0,0.7577041302375193,0.9504649894983244,True,ok,39,39,0.5743555458471291,0.047746787118521435,0.56735814705136,0.5391738919339546,0.5973089950057855,0.4976475180299368,0.712452244893567,0.18334858439039015,0.19034598318615925,3.8400193071685753,40.0,higher,0.05,True,31.622776601683796,20260828
9,6,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4512691129197183,11,0.8,1.3,5.0,0.7390550101670138,0.8657578019064203,False,low_fit_r2,39,39,0.5424300528573699,0.038547006296317236,0.5439550925010058,0.5216409375845281,0.5660884450521717,0.4597766267975829,0.6468361481686117,0.1966249573096439,0.19509991766600798,5.100913824491459,40.0,higher,0.05,True,31.622776601683796,20260828
9,7,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4478776183699272,11,0.8,1.3,5.0,0.7500412418756021,0.9628600798728189,True,ok,39,39,0.4625400009858373,0.039449453541816004,0.4634159562390749,0.4420229804248184,0.4905040406855101,0.3437258893985696,0.5316315690322468,0.28750124088976475,0.28662528563652717,7.287838362197247,40.0,higher,0.05,True,38.02795747331068,20260828
9,8,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4185936528043846,10,0.8,1.3,5.0,0.6674150521029014,0.9860871343880527,True,ok,39,39,0.49009750091724424,0.044900364620291996,0.48464380556008646,0.45498651624492753,0.5171806582620305,0.4009916983023892,0.6069410456469482,0.17731755118565717,0.18277124654281496,3.9491338808754652,40.0,higher,0.05,True,38.02795747331068,20260828
9,9,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4370272925122587,11,0.8,1.3,5.0,0.6651199951045068,0.9317561165249476,True,ok,39,39,0.4955693836446108,0.05027682403043119,0.49390481141967435,0.4547706578086218,0.5213075447737565,0.422284576991013,0.6358560008130113,0.16955061145989603,0.17121518368483246,3.372341326836231,40.0,higher,0.05,True,31.622776601683796,20260828
9,10,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4464711072148283,11,0.8,1.3,5.0,0.6860724444113395,0.8744420627834706,False,low_fit_r2,39,39,0.5597092884968338,0.037241326640894044,0.5566006258688879,0.5455420817136114,0.57950183769551,0.4711682863975397,0.6346834751846946,0.12636315591450575,0.1294718185424516,3.393089540901279,40.0,higher,0.05,True,26.296442576539505,20260828
9,11,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4418988966655273,11,0.8,1.3,5.0,0.7794517467538733,0.9671789663181377,True,ok,39,39,0.5127400970037195,0.045668541438977306,0.5061218647789172,0.4824681105300047,0.5488910071543052,0.41977670992074434,0.6218940751809475,0.2667116497501538,0.2733298819749561,5.840161330891993,40.0,higher,0.05,True,38.02795747331068,20260828
9,12,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4594462625506478,11,0.8,1.3,5.0,0.916637186230757,0.9852512678306609,True,ok,39,39,0.5489242200962641,0.0405549184010043,0.5536662253151757,0.5275937274907994,0.5773336096428283,0.46740130668760654,0.6213172764951465,0.3677129661344929,0.36297096091558123,9.067037504516021,40.0,higher,0.05,True,38.02795747331068,20260828
9,13,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4400016285480704,11,0.8,1.3,5.0,0.8301512597329749,0.9720274922190535,True,ok,39,39,0.547261680820026,0.04241889626846563,0.5507028097569847,0.5152274752264007,0.5775142098274989,0.46451213518236706,0.6472399787131522,0.28288957891294886,0.27944844997599017,6.6689519011188905,40.0,higher,0.05,True,31.622776601683796,20260828
9,14,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4511083257171462,11,0.8,1.3,5.0,0.8700334076464542,0.9634126583939943,True,ok,39,39,0.5507216059600798,0.05013277184286544,0.5474421474247346,0.5188981628903541,0.5893009736011443,0.45001469406969313,0.6534489319673441,0.3193118016863744,0.3225912602217196,6.369322699475209,40.0,higher,0.05,True,31.622776601683796,20260828
9,15,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4387739760879682,11,0.8,1.3,5.0,0.7249658408370898,0.9596774765519899,True,ok,39,39,0.4841754195367087,0.04083124427339791,0.48957122581062584,0.4619964762343579,0.5091342042784291,0.39030524868047795,0.564732809586482,0.24079042130038114,0.23539461502646397,5.897209981848612,40.0,higher,0.05,True,38.02795747331068,20260828
9,16,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4450181309335032,11,0.8,1.3,5.0,0.8348428157003029,0.9513834833487157,True,ok,39,39,0.5226467200722161,0.032345815402653855,0.5278620650447329,0.4966372199284669,0.5458143452159883,0.44824138183430273,0.5876689742607164,0.3121960956280868,0.30698075065557007,9.651823326811922,40.0,higher,0.05,True,38.02795747331068,20260828
9,17,Awake,60,processed,25.000625015575494,1500,8,0.16,4,0.4402075290427768,11,0.8,1.3,5.0,0.8066520009973781,0.9910385744166311,True,ok,39,39,0.5141880747400794,0.0415402702679605,0.5204143597202728,0.4804854517711958,0.5481934678774454,0.43805117850549563,0.5801039249200125,0.29246392625729867,0.28623764127710527,7.040491657149196,40.0,higher,0.05,True,38.02795747331068,20260828
