session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,original_lle,original_fit_r2,original_valid,original_qc_reason,n_surrogates_expected,n_surrogates_valid,surrogate_lle_mean,surrogate_lle_std,surrogate_lle_median,surrogate_lle_q25,surrogate_lle_q75,surrogate_lle_min,surrogate_lle_max,lle_gap_mean,lle_gap_median,z_score_surrogate,rank_ascending,rank_direction,p_two_sided,reject_alpha_0_05,rho_star,master_seed
13,1,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.59819369766977,15,0.8,1.3,5.0,0.7425877282084448,0.9784028726330154,True,ok,39,39,0.5308486974695895,0.03829646537828974,0.5378067196997748,0.501530676403413,0.5537784338992087,0.4409530631880293,0.6058586512606216,0.21173903073885525,0.20478100850866998,5.528944476920057,40.0,higher,0.05,True,230.31116978242653,20260828
13,2,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.6150536040876103,15,0.8,1.3,5.0,0.7767848344698872,0.9811286054668124,True,ok,39,39,0.5119198979264292,0.047612701215490376,0.5087581218144576,0.4783402117968325,0.5406468496848229,0.3955605646655398,0.6297013528849271,0.264864936543458,0.26802671265542966,5.562905060662396,40.0,higher,0.05,True,230.31116978242653,20260828
13,3,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.6436249973123648,16,0.8,1.3,5.0,0.7898160304840502,0.9668598551454473,True,ok,39,39,0.5697535011527154,0.04074897138919012,0.5615213848843132,0.5382157214931059,0.5919475105659322,0.5151988075635262,0.6692051679592057,0.22006252933133486,0.228294645599737,5.400443786164208,40.0,higher,0.05,True,181.28252384140612,20260828
13,4,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5946242654651986,15,0.8,1.3,5.0,0.8433119894123979,0.9383073316991822,True,ok,39,39,0.5321132692140039,0.04515010009830899,0.5361344922712218,0.4984372816744836,0.5617543216744452,0.4538836785895546,0.6379976349809201,0.311198720198394,0.30717749714117615,6.892536661508959,40.0,higher,0.05,True,230.31116978242653,20260828
13,5,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5690456636887314,14,0.8,1.3,5.0,0.7910090075776367,0.97064142996728,True,ok,39,39,0.5348360384137951,0.031089320991727284,0.5348671603764102,0.5173197254149337,0.551556262927257,0.4468215561667515,0.590739090635195,0.2561729691638416,0.25614184720122646,8.239902352065133,40.0,higher,0.05,True,230.31116978242653,20260828
13,6,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5928339260787977,15,0.8,1.3,5.0,0.713195161463106,0.9917076421328582,True,ok,39,39,0.5284836979314258,0.052585065452418714,0.5298931797775132,0.4978811283847257,0.548454452693849,0.41109529470337025,0.6739087312453981,0.18471146353168022,0.18330198168559286,3.5126221093860823,40.0,higher,0.05,True,181.28252384140612,20260828
13,7,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5230632846146296,13,0.8,1.3,5.0,0.847238245792004,0.9681701460268657,True,ok,39,39,0.5018728570979905,0.03619305380512709,0.49779861283325527,0.47552811535736444,0.5257768243379113,0.4452964830860072,0.6115770591396029,0.34536538869401356,0.34943963295874875,9.542311365975127,40.0,higher,0.05,True,230.31116978242653,20260828
13,8,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5400214843632081,14,0.8,1.3,5.0,0.8985986312762504,0.9968287419242932,True,ok,39,39,0.571209074621037,0.043214673478690416,0.573626411797869,0.5391658913390196,0.6007492390150471,0.44969415519847505,0.6576366911365953,0.3273895566552134,0.3249722194783814,7.575888704022083,40.0,higher,0.05,True,181.28252384140612,20260828
13,9,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5277387428361067,13,0.8,1.3,5.0,0.7190939648612091,0.9683776667267668,True,ok,39,39,0.5935193938705204,0.039254250241779885,0.5873509013385733,0.563349096821302,0.620214701727362,0.5140195491511251,0.7008637019312667,0.1255745709906887,0.13174306352263587,3.1990057182912284,40.0,higher,0.05,True,181.28252384140612,20260828
13,10,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5319571026046916,13,0.8,1.3,5.0,0.7903371207029642,0.98896910679186,True,ok,39,39,0.6046683874639044,0.054651907567976346,0.6015771176591433,0.5803782465258027,0.6395575253609449,0.4467773312170506,0.7054062845795845,0.18566873323905986,0.1887600030438209,3.39729648060544,40.0,higher,0.05,True,142.69109692489403,20260828
13,11,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5406068958600774,14,0.8,1.3,5.0,0.8013719011798515,0.9896118169496176,True,ok,39,39,0.5574477766451923,0.042831710574215615,0.5525827878994528,0.5271730163341986,0.5847241618057946,0.4687312824065891,0.6461405673627212,0.24392412453465917,0.24878911328039865,5.69494239815628,40.0,higher,0.05,True,181.28252384140612,20260828
13,12,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.540289031761575,14,0.8,1.3,5.0,0.8497068785233873,0.9893922391137165,True,ok,39,39,0.5787085059952704,0.04117482090887053,0.5710445575962236,0.55485811840086,0.6091177615587287,0.4868553670579625,0.6689320671433854,0.270998372528117,0.2786623209271637,6.581652732088369,40.0,higher,0.05,True,181.28252384140612,20260828
13,13,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5424342776303024,14,0.8,1.3,5.0,0.7518249467879302,0.9865563861054025,True,ok,39,39,0.5080806345619181,0.04457286605632298,0.5021371630660196,0.4819017092029614,0.5402313848621281,0.3798087337067871,0.6017230736609641,0.24374431222601212,0.24968778372191058,5.4684460253916125,40.0,higher,0.05,True,230.31116978242653,20260828
13,14,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5085208752141624,13,0.8,1.3,5.0,0.7364807766926342,0.9861230286798577,True,ok,39,39,0.5231744937218191,0.03771737634204391,0.5266973930197753,0.49769316232347094,0.5534583178935117,0.4311261159247739,0.6066226940565642,0.2133062829708151,0.20978338367285898,5.655384961998022,40.0,higher,0.05,True,181.28252384140612,20260828
13,15,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5371502637432315,13,0.8,1.3,5.0,0.7656521473144953,0.9851038045038958,True,ok,39,39,0.5857351596081511,0.04766715994543076,0.6013830030434362,0.5497470127785222,0.6144435801663747,0.46799651725682767,0.6712812241912961,0.17991698770634412,0.1642691442710591,3.7744431997272883,40.0,higher,0.05,True,181.28252384140612,20260828
13,16,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5469935752579377,14,0.8,1.3,5.0,0.7940652369362599,0.9802453038652408,True,ok,39,39,0.4822888409307501,0.03203416046738523,0.4901730457446184,0.4568088600933351,0.506286507397723,0.4142893242875488,0.5369276672184138,0.31177639600550977,0.30389219119164146,9.732622658331785,40.0,higher,0.05,True,230.31116978242653,20260828
13,17,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5574678350754876,14,0.8,1.3,5.0,0.8656294333869131,0.9949696156355011,True,ok,39,39,0.5785922432173477,0.04343146290834539,0.5825940799874331,0.5505901932334518,0.5982392353539698,0.4945650723449984,0.6663492288217672,0.2870371901695654,0.28303535339948005,6.608968958179187,40.0,higher,0.05,True,181.28252384140612,20260828
13,18,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5836294471676303,15,0.8,1.3,5.0,0.9446015651041296,0.9911831570763386,True,ok,39,39,0.5917322329787421,0.04617773252260037,0.5859967502325638,0.5648731576883272,0.6159213541090647,0.47951115534185695,0.687711924248524,0.3528693321253875,0.3586048148715658,7.641547404968091,40.0,higher,0.05,True,181.28252384140612,20260828
13,19,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5350897459801763,13,0.8,1.3,5.0,0.7281229526056674,0.9922678723252186,True,ok,39,39,0.4877422436960784,0.03585298110684203,0.48551153450046414,0.46901024835919614,0.5032713086416615,0.4245889517937319,0.5975885474261503,0.240380708909589,0.24261141810520326,6.704622641929092,40.0,higher,0.05,True,230.31116978242653,20260828
13,20,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.4904269401694493,12,0.8,1.3,5.0,0.7845329613630232,0.923993971042149,True,ok,39,39,0.5250565597433883,0.039213458871619145,0.5246424866445276,0.49455591383472874,0.5561203011072167,0.45463991352537636,0.6119698269525742,0.2594764016196349,0.2598904747184956,6.6170240801540645,40.0,higher,0.05,True,181.28252384140612,20260828
13,21,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.4854145477986044,12,0.8,1.3,5.0,0.8225397415957921,0.991419584758464,True,ok,39,39,0.5376343396914561,0.03846107580984277,0.5448629504744535,0.5094355098921655,0.5613168145458802,0.4632224528302671,0.6364260904796897,0.284905401904336,0.2776767911213386,7.407629555474484,40.0,higher,0.05,True,181.28252384140612,20260828
13,22,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5825236337561902,15,0.8,1.3,5.0,0.8666180616792257,0.9924620296234857,True,ok,39,39,0.5950813817659791,0.05243066183211882,0.5925202026265388,0.5604625220967341,0.6214186136628528,0.47771110177116877,0.7255791652524013,0.2715366799132466,0.2740978590526869,5.178967238344191,40.0,higher,0.05,True,181.28252384140612,20260828
13,23,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.619333381460461,15,0.8,1.3,5.0,0.7714133268897608,0.9835015978790839,True,ok,39,39,0.6205936757430631,0.04094565728804951,0.6201025127806834,0.5959748504890263,0.6489741430477993,0.5312996156917832,0.7039295743067839,0.1508196511466977,0.15131081410907743,3.683410186474556,40.0,higher,0.05,True,181.28252384140612,20260828
13,24,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5556512439333807,14,0.8,1.3,5.0,0.783438033774116,0.9708659925996043,True,ok,39,39,0.5651518164612463,0.03993741686206957,0.568379150676211,0.5388117090794442,0.5960028794306029,0.4667086954251218,0.6369712203240949,0.21828621731286968,0.215058883097905,5.465706960136079,40.0,higher,0.05,True,181.28252384140612,20260828
13,25,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5749450036926245,14,0.8,1.3,5.0,0.8862046408464194,0.9926263481410378,True,ok,39,39,0.5680583372003691,0.04545009044576008,0.5678724864991673,0.5366560985857054,0.5983075305917447,0.42810290021646635,0.6498799096740383,0.31814630364605023,0.31833215434725204,6.999904742229821,40.0,higher,0.05,True,181.28252384140612,20260828
13,26,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5914760948435325,15,0.8,1.3,5.0,0.7741567378810754,0.9865349671758866,True,ok,39,39,0.5443370675762838,0.047239808956605324,0.5480802461147093,0.5172714212262197,0.5808271799190602,0.41932269724897714,0.6603236051685015,0.22981967030479167,0.22607649176636613,4.864957657129921,40.0,higher,0.05,True,230.31116978242653,20260828
13,27,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.579047553955707,14,0.8,1.3,5.0,0.9408725280698079,0.9876459611586796,True,ok,39,39,0.6071370120731719,0.045180310147371484,0.6075584139159153,0.5802331899090619,0.6276124644311913,0.5057122297518174,0.7057484895048216,0.333735515996636,0.33331411415389267,7.386746901648973,40.0,higher,0.05,True,181.28252384140612,20260828
13,28,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5294043361059333,13,0.8,1.3,5.0,0.7990942537592983,0.9700045729580762,True,ok,39,39,0.48399452015933747,0.02900161281796649,0.48950481753794656,0.4646535017124209,0.5041773187497836,0.41420549991766864,0.5380815588377238,0.31509973359996085,0.30958943622135177,10.864903809927311,40.0,higher,0.05,True,230.31116978242653,20260828
13,29,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5499669779280494,14,0.8,1.3,5.0,0.6868050124681558,0.9592569068866422,True,ok,39,39,0.48082643568917977,0.03951361757050468,0.4815768526761722,0.45349911208537885,0.5078954563188507,0.3950310938502966,0.5672742291753495,0.20597857677897607,0.20522815979198367,5.212850390411501,40.0,higher,0.05,True,230.31116978242653,20260828
13,30,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5747006765188175,14,0.8,1.3,5.0,0.800388304123319,0.9864393317474897,True,ok,39,39,0.5912407150050804,0.03967782843086289,0.5844919255228388,0.567398364383495,0.6144672304137326,0.5127513042151537,0.6765949987556753,0.2091475891182386,0.21589637860048017,5.2711450547922585,40.0,higher,0.05,True,142.69109692489403,20260828
13,31,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5484367538992563,14,0.8,1.3,5.0,0.7427703224610696,0.9834264414100292,True,ok,39,39,0.5879917426125019,0.04898555562100364,0.580954658886842,0.5558513092804704,0.6131476279137027,0.4926547267248287,0.7179134025145186,0.1547785798485677,0.1618156635742276,3.1596779476397927,40.0,higher,0.05,True,181.28252384140612,20260828
13,32,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.545428021273627,14,0.8,1.3,5.0,0.7789566862402272,0.9620294105426779,True,ok,39,39,0.5835637285931049,0.04029026400118984,0.5841575692826277,0.5577876599769858,0.61771984502712,0.49915491634108106,0.6567024214745338,0.19539295764712228,0.19479911695759944,4.849632100731631,40.0,higher,0.05,True,181.28252384140612,20260828
13,33,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5407684753117266,14,0.8,1.3,5.0,0.7405641541520178,0.9724790152605358,True,ok,39,39,0.45845927673733416,0.04438023207456958,0.45991201668584186,0.4226735642832784,0.48509306262195884,0.3695078799279434,0.5466870196744569,0.28210487741468365,0.28065213746617595,6.356543538138307,40.0,higher,0.05,True,230.31116978242653,20260828
13,34,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5571241327205718,14,0.8,1.3,5.0,0.7932430835705985,0.9618997977793861,True,ok,39,39,0.5755423297326951,0.05189867144109185,0.570113991094227,0.5409806000007313,0.6043183466197557,0.4475907108782069,0.7078771497734724,0.21770075383790333,0.22312909247637147,4.194726912903867,40.0,higher,0.05,True,142.69109692489403,20260828
13,35,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5960647195255685,15,0.8,1.3,5.0,0.9501967726333788,0.9847307824618929,True,ok,39,39,0.5177960993212969,0.03700413250912397,0.5185479579403668,0.4908925950303267,0.5349807531001758,0.433610429386464,0.5966042242976413,0.4324006733120819,0.431648814693012,11.685199570763253,40.0,higher,0.05,True,230.31116978242653,20260828
13,36,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5601274647507425,14,0.8,1.3,5.0,0.721734965355792,0.9774327251692186,True,ok,39,39,0.5122546242496452,0.03458090511259391,0.5038490869148519,0.4834012483740121,0.5364519822816712,0.45702722046501115,0.5895173080153582,0.20948034110614677,0.2178858784409401,6.05768820752632,40.0,higher,0.05,True,181.28252384140612,20260828
13,37,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5870115287545946,15,0.8,1.3,5.0,0.9320186718381738,0.9969547105997294,True,ok,39,39,0.5807516338361649,0.05746066740369083,0.5733708505628204,0.5444168904389102,0.609433128633344,0.46661058780130077,0.7273774082475907,0.35126703800200887,0.35864782127535333,6.113173652059707,40.0,higher,0.05,True,181.28252384140612,20260828
13,38,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5879004048063811,15,0.8,1.3,5.0,0.7414727434308511,0.9565392915393878,True,ok,39,39,0.554204437539045,0.043948140897848056,0.5519221781258777,0.5318525405158641,0.577935393174992,0.46206784249636423,0.6743904477317285,0.1872683058918061,0.18955056530497338,4.261120085308905,40.0,higher,0.05,True,142.69109692489403,20260828
13,39,Awake,60,processed,25.000378130691093,1500,8,0.16,4,0.5759293359273981,14,0.8,1.3,5.0,0.6957370679439622,0.9453341238558551,True,ok,39,39,0.5259095357459664,0.03327000921476047,0.5205732341717921,0.5021712530556453,0.5463156625958165,0.4648196143007421,0.584751275707954,0.16982753219799573,0.17516383377217004,5.1045231488138745,40.0,higher,0.05,True,181.28252384140612,20260828
13,40,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5985337660202816,15,0.8,1.3,5.0,0.9678527627479293,0.9688139654658721,True,ok,39,39,0.590182069094872,0.04191952575258992,0.5889244774350589,0.5634261679604344,0.6148903316880878,0.500622420780764,0.7116962004904323,0.3776706936530573,0.37892828531287037,9.009421907157993,40.0,higher,0.05,True,142.69109692489403,20260828
13,41,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5948576497347007,15,0.8,1.3,5.0,0.8832389898468068,0.9850210580558411,True,ok,39,39,0.6076989475262737,0.04102268014600993,0.6070554315983816,0.577944680184564,0.6333373088348945,0.5344804684376419,0.7164097178752693,0.2755400423205331,0.2761835582484252,6.716773290770313,40.0,higher,0.05,True,181.28252384140612,20260828
13,42,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5441911657030434,14,0.8,1.3,5.0,0.8731825166576032,0.9818157358564304,True,ok,39,39,0.5287062815973871,0.030210098309333914,0.5282757732041868,0.5099977876926396,0.5483849634202491,0.46534867792714874,0.5938720654951825,0.3444762350602161,0.3449067434534163,11.40268500727733,40.0,higher,0.05,True,230.31116978242653,20260828
13,43,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5561211186626505,14,0.8,1.3,5.0,0.8750793206387263,0.9894484593909876,True,ok,39,39,0.5709290879321782,0.03834266475163314,0.5662084068332324,0.5448914934405089,0.6001236469375308,0.4992045230620735,0.6537113482638979,0.30415023270654806,0.3088709138054939,7.932422920438603,40.0,higher,0.05,True,181.28252384140612,20260828
13,44,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5071338713625785,13,0.8,1.3,5.0,0.7576068098295708,0.9609740544252805,True,ok,39,39,0.4123601296391762,0.029825402630191164,0.4170868761044792,0.381797707477658,0.43854788561777974,0.3549281277287204,0.45244995064699395,0.3452466801903947,0.34051993372509165,11.575591601265227,40.0,higher,0.05,True,292.5998259653216,20260828
13,45,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5817747494969318,15,0.8,1.3,5.0,0.8820759982778618,0.99419664049331,True,ok,39,39,0.5200136207297379,0.037088205185544204,0.521410008901194,0.5030678878450998,0.5423861229240897,0.4377851568540683,0.6128597655142519,0.36206237754812387,0.3606659893766677,9.76219732760873,40.0,higher,0.05,True,230.31116978242653,20260828
13,46,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5179024239597575,13,0.8,1.3,5.0,0.7668761259032951,0.9541466561047308,True,ok,39,39,0.4702654435512147,0.031065154633913995,0.47001277388609025,0.44544226738232656,0.4896663478430513,0.4170965621493948,0.5398913488338122,0.29661068235208043,0.2968633520172049,9.548018860600454,40.0,higher,0.05,True,230.31116978242653,20260828
13,47,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.4856082880379178,12,0.8,1.3,5.0,0.8029733650544364,0.9954906559275652,True,ok,39,39,0.5563724844225997,0.050869324357345334,0.5563171696250214,0.5257884212091466,0.582655356095227,0.4526800779487278,0.6840591724045056,0.24660088063183672,0.24665619542941497,4.8477325725720695,40.0,higher,0.05,True,112.315013660346,20260828
13,48,Drowsy,60,processed,25.000378130691093,1500,8,0.16,4,0.5290327086210268,13,0.8,1.3,5.0,0.8137374786667326,0.9915447209914566,True,ok,39,39,0.5544247523816258,0.04567853814713003,0.5503582589766853,0.5228707162104689,0.5778054652802596,0.45994785751667056,0.6725163485529786,0.2593127262851068,0.2633792196900473,5.6769051025640005,40.0,higher,0.05,True,181.28252384140612,20260828
