session,rule,segment_id,retained_interval_id,state,source_start_index,source_end_index,filtered_start_index,filtered_end_index,start_s,end_s,duration_s,n_samples
01,S3,1,1,Awake,0,52737,0,52737,2.63,1057.35,1054.7399999999998,52737
01,S3,2,2,Drowsy,52737,68474,52737,68474,1057.37,1372.09,314.74,15737
01,S3,4,3,Drowsy,76661,87021,68474,78834,1535.85,1743.03,207.20000000000005,10360
01,S3,5,4,Awake,87021,100381,78834,92194,1743.05,2010.23,267.20000000000005,13360
04,S3,1,1,Awake,0,4824,0,4824,1.589780092,195.3005199,193.75075280800027,4824
04,S3,2,2,Awake,4824,17440,4824,17440,195.4344797,701.9905512,506.5955563,12616
04,S3,3,3,Drowsy,17440,22459,17440,22459,702.030036,903.5603042,201.57043740000006,5019
04,S3,4,4,Awake,22459,51804,22459,51804,903.6004734,2082.049838,1178.4894336,29345
04,S3,7,5,Drowsy,54769,74700,51804,71735,2201.150328,3001.500009,800.389694,19931
05,S3,2,1,Awake,26,39946,0,39920,1.021755695,1599.1096,1598.127840305,39920
05,S3,5,2,Drowsy,41613,52077,39920,50384,1665.879285,2084.669559,418.830234,10464
05,S3,6,3,Awake,52077,67197,50384,65504,2084.709519,2689.849437,605.1907190000002,15120
05,S3,7,4,Drowsy,67197,79828,65504,78135,2689.900238,3195.379294,505.51978199999985,12631
05,S3,9,5,Drowsy,82330,91208,78135,87013,3295.539625,3650.799804,355.3001750000003,8878
06,S3,2,1,Awake,22,7859,0,7837,0.952121973,315.6207809,314.7086699269999,7837
06,S3,5,2,Awake,7975,22514,7837,22376,320.4570489,904.2607927,583.8527923,14539
06,S3,8,3,Drowsy,26277,36938,22376,33037,1055.440102,1483.550895,428.1498220000001,10661
06,S3,9,4,Awake,36938,65630,33037,61729,1483.589924,2635.809972,1152.2602569999997,28692
06,S3,10,5,Drowsy,65630,79176,61729,75275,2635.850181,3179.750769,543.9405990000002,13546
07,S3,3,1,Awake,362,27846,0,27484,14.61673331,1118.399525,1103.8229766900001,27484
07,S3,5,2,Awake,32246,63625,27484,58863,1295.150019,2555.319575,1260.2096159999999,31379
07,S3,6,3,Drowsy,63625,79765,58863,75003,2555.359635,3203.449967,648.1303420000002,16140
08,S3,2,1,Awake,21,44119,0,44098,0.889225483,1771.870669,1771.021453517,44098
08,S3,5,2,Drowsy,48505,55561,44098,51154,1948.050501,2231.380618,283.370005,7056
08,S3,6,3,Awake,55561,68461,51154,64054,2231.420506,2749.431056,518.0499180000002,12900
08,S3,7,4,Drowsy,68461,77593,64054,73186,2749.470424,3116.160144,366.72973,9132
09,S3,3,1,Awake,937,24874,0,23937,10.94799399,969.1200893,958.2120943100001,23937
09,S3,4,2,Awake,24874,44838,23937,43901,969.2121582,1768.380407,799.2084918,19964
09,S3,5,3,Drowsy,44838,67203,43901,66266,1768.42065,2663.509785,895.1291340000002,22365
09,S3,8,4,Awake,68726,78154,66266,75694,2724.499784,3101.790095,377.3303099999998,9428
09,S3,9,5,Awake,78154,101098,75694,98638,3101.935892,4020.049869,918.1539760000001,22944
09,S3,10,6,Awake,101098,107519,98638,105059,4020.142181,4277.029788,256.9276259999997,6421
09,S3,11,7,Drowsy,107519,119267,105059,116807,4277.069807,4747.220085,470.19027700000015,11748
10,S3,2,1,Awake,31,15807,0,15776,1.325752019882202,634.8102760314941,633.524331331253,15776
10,S3,3,2,Drowsy,15807,22971,15776,22940,634.8500833511353,922.5294148921968,287.72011876106274,7164
10,S3,4,3,Awake,22971,48618,22940,48587,922.570202112198,1952.570098876953,1030.0398995876308,25647
10,S3,6,4,Drowsy,52529,60382,48587,56440,2109.689926147461,2425.050050973892,315.40012764930725,7853
11,S3,2,1,Awake,32,15830,0,15798,1.306063175201416,635.6597483158112,634.3937675952911,15798
11,S3,3,2,Drowsy,15830,29847,15798,29815,635.6998307704926,1198.5894412994385,562.9295506477354,14017
11,S3,4,3,Awake,29847,47079,29815,47047,1198.629381418228,1890.6000683307648,692.0103569030764,17232
11,S3,5,4,Drowsy,47079,61579,47047,61547,1890.6397383213043,2472.8601813316345,582.2604529857635,14500
12,S3,1,1,Awake,0,14085,0,14085,1.359906912,567.0503671,565.730062688,14085
12,S3,4,2,Drowsy,15478,20691,14085,19298,623.0304239,832.359935,209.37903760000006,5213
12,S3,5,3,Awake,20691,28245,19298,26852,832.4094615,1135.740159,303.3700775000001,7554
12,S3,6,4,Drowsy,28245,36183,26852,34790,1135.779539,1454.530464,318.7905239999998,7938
12,S3,8,5,Drowsy,36957,45483,34790,43316,1485.659535,1828.0001,342.38992200000007,8526
12,S3,9,6,Awake,45483,56168,43316,54001,1828.049457,2257.080007,429.0704270000001,10685
12,S3,10,7,Drowsy,56168,89816,54001,87649,2257.119884,3608.199698,1351.1198309999997,33648
