config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,fit_start_s,fit_end_s,theiler_multiplier,theiler_base_s,theiler_s,theiler_samples,lle,fit_r2,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,18,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5474339689325064,0.5474339689325064,27,0.9922830454604018,0.974957914585026,2944,2873,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,21,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5592449708332209,0.559244970833221,28,0.9421648418538598,0.9857012603796635,2944,2822,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,22,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5534842967071117,0.5534842967071119,28,0.8550782432674915,0.9848540833426416,2944,2803,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,23,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.559021854977186,0.5590218549771859,28,0.9145965983973486,0.9889245515166154,2944,2819,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,24,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5791053585444256,0.5791053585444256,29,0.8013539247279471,0.989166332723905,2944,2796,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,25,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5901664250045131,0.5901664250045131,30,0.8162442077084744,0.997595388996107,2944,2865,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,26,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5769267558318371,0.5769267558318371,29,0.8833207560797833,0.9915316058036848,2944,2853,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,27,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5891967978300546,0.5891967978300545,29,0.9012354588357542,0.9932012883243814,2944,2862,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,28,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.6268567935121061,0.6268567935121061,31,1.011417493410193,0.9910191454336316,2944,2802,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,29,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.6085199783932133,0.6085199783932134,30,1.028058603608312,0.9935051123236256,2944,2806,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,30,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.6041966699094115,0.6041966699094116,30,0.921818994889974,0.9912654459803356,2944,2790,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,31,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.6106145121255815,0.6106145121255815,31,0.7021028507556002,0.982038090934276,2944,2792,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,33,Awake,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5951472323147307,0.5951472323147307,30,0.8930032308553342,0.993867850447576,2944,2852,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),1,34,Drowsy,50.00000000004548,3000,8,0.16,8,0.8,1.3,1.0,0.5969485368100336,0.5969485368100336,30,0.8508454421393316,0.9911475161521024,2944,2851,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,1,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.486649785472999,0.486649785472999,12,0.640124674935554,0.9452879495988078,1472,1388,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,2,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5097943577009518,0.5097943577009518,13,0.7899486334791744,0.9822983254662216,1472,1417,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,3,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5448969011310193,0.5448969011310193,14,0.8774702478488547,0.9892291837872036,1472,1381,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,4,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5596502199266864,0.5596502199266866,14,0.8679927250631551,0.9823196698133508,1472,1413,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,5,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5730538629169175,0.5730538629169175,14,0.7655131964468765,0.979998365402047,1472,1412,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,6,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5245342318024375,0.5245342318024374,13,0.868912584531585,0.9816752152384371,1472,1424,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,7,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.592312316794564,0.5923123167945639,15,0.8082048466294136,0.9645758512174648,1472,1413,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,8,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5415584855473823,0.5415584855473823,14,0.8456319558790418,0.9708049431826664,1472,1408,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,9,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5595329439809358,0.559532943980936,14,0.8677791570518432,0.9725312603848912,1472,1404,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,10,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.49771172240242806,0.497711722402428,12,0.7987880680629765,0.9770228841173288,1472,1393,True,ok
