representation,metric,n_paired_sessions,mean_delta_60,median_delta_60,mean_delta_120,median_delta_120,mean_delta_180,median_delta_180,mean_difference_120_60,ci_low_difference_120_60,ci_high_difference_120_60,mean_difference_180_60,ci_low_difference_180_60,ci_high_difference_180_60,pearson_r_60_120,pearson_r_60_180,sign_agreement_60_120,sign_agreement_60_180,directionally_preserved
Processed,DET,20,-0.017596467352501383,-0.017633220362739947,-0.024154686705608268,-0.02122669426740205,-0.024400103341359614,-0.025515223889341,-0.006558219353106884,-0.012606968529736603,-0.0013148876821729172,-0.006803635988858229,-0.013455633708503924,-0.00034719562146556945,0.946128918721391,0.9255532300326156,0.95,0.95,True
Processed,Lmean,20,-0.04513515996293409,-0.0466701772151281,-0.06150818548405038,-0.0563396467918795,-0.05999890930455233,-0.06329289636968435,-0.016373025521116292,-0.04831403975852182,0.011587603474401378,-0.014863749341618233,-0.04905013860662795,0.017705312336588473,0.9114867140496826,0.9035132119975895,0.8,0.8,True
Processed,ENTR,20,-0.028736197521753076,-0.02082766500648265,-0.04051303859437614,-0.02906839853933605,-0.03677951800026356,-0.02446062587919335,-0.011776841072623065,-0.022528097478378018,-0.0018878480303440542,-0.008043320478510477,-0.016872238410425382,0.00031042207357902577,0.9731060046004713,0.9827688108238797,0.95,0.9,True
Processed,Lmax,20,2.4564229993134084,2.874172464684797,7.099890970742363,2.205357142857139,9.317931096681097,9.844047619047622,4.643467971428955,0.6413721332463058,8.94559914148094,6.861508097367688,-2.264194171979106,16.275006899868853,0.7972802552404251,0.26030109939545176,0.85,0.65,True
Processed,LAM,20,0.025538222233686163,0.01139311526712095,0.02961393259776492,0.009143851650815,0.03818259437554141,0.02535473202332525,0.0040757103640787565,-0.0027687687850454254,0.011871187271104101,0.01264437214185526,-8.993327672278377e-05,0.02527486785932098,0.9606806670522821,0.8947101840076775,0.95,0.85,True
Processed,TT,20,0.009418249810525994,0.00621630533242905,0.014709181219019627,0.014521002068901449,0.022219867919710288,0.0161839968994208,0.005290931408493632,-0.004344249578250832,0.01647988265629037,0.01280161810918429,0.00031170021804029,0.025498228243390594,0.6460806165384565,0.7069048607243261,0.85,0.8,True
Processed,Vmax,20,0.14704327542178425,0.0516666666666667,0.7636664296745566,0.23809523809523808,0.7950487012987012,0.2889610389610391,0.6166231542527723,-0.06575276642677573,1.6821574168199434,0.648005425876917,-0.7014104037086927,2.4374387710671277,0.04555931964201547,-0.07078475365786216,0.75,0.6,True
Raw,DET,20,0.005548275278442516,0.0079082460672091,0.0046319606073763455,0.006427889205227549,0.003988628563972646,0.0026519295892578998,-0.0009163146710661704,-0.004313423948722618,0.00252779033784532,-0.0015596467144698698,-0.007805518349672631,0.004692653577891569,0.9512577133795509,0.8149277296735365,0.9,0.8,True
Raw,Lmean,20,0.19236383666794826,0.08183039144699619,0.23375158295103118,0.10391270275799575,0.23751898109368547,0.047263716926442205,0.04138774628308291,-0.018739080967201862,0.11744253972446535,0.04515514442573727,-0.07464246465766629,0.21298081316733175,0.9910224368884994,0.9813298545096235,0.95,0.9,True
Raw,ENTR,20,0.03065566792222558,0.01192725612584055,0.03514950766100872,0.01331598922476335,0.030002641002530354,-0.0026561980614621004,0.004493839738783142,-0.007834435685613338,0.018406865803948215,-0.0006530269196952238,-0.022375688507147638,0.0224040127956984,0.9715455136268691,0.9422096317932385,0.85,0.8,True
Raw,Lmax,20,9.60510683241943,4.639582828037838,23.36054181929182,20.06845238095238,26.196465409590417,27.811111111111117,13.755434986872391,4.681951984099623,23.585004099334814,16.591358577170972,1.0974949953872932,32.78949133857823,0.8183217417621114,0.6779614928035104,0.7,0.7,True
Raw,LAM,20,0.0420238379042454,0.0169073465055728,0.043019590339925445,0.0304976220154053,0.0390781174681123,0.0250368345183734,0.0009957524356800401,-0.005153491514969756,0.007924811882194611,-0.0029457204361331103,-0.013386514817491318,0.008292468742091098,0.9627604732075515,0.9052079475550607,0.85,0.85,True
Raw,TT,20,0.1608995182616899,0.06796694766164066,0.230931225698435,0.1141888271479225,0.21358944679076183,0.07839601636624641,0.0700317074367451,0.009677008564289826,0.1622034148770808,0.052689928529071915,-0.005045494598682213,0.1165821004340064,0.9879915089950689,0.9754207748521073,0.8,0.85,True
Raw,Vmax,20,3.211457510812251,0.552436974789916,15.593788086913088,0.6339285714285716,9.409858197358197,0.6875,12.382330576100838,0.8118058184122875,32.931253288628845,6.198400686545947,0.27764655541709116,14.374680035946005,0.9605139448382906,0.6252053337623373,0.8,0.8,True
