session,representation,state,window_size,window_id,fs,tau_samples,theiler_samples,epsilon,target_rr,achieved_rr,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines
sample_1,Processed,Awake,60,1,50.00000000004548,8,56,117.45085492236888,0.02,0.0200001055452515,0.9041222399462682,4.727985449071751,1.9353996555776007,132,0.6441404703935139,2.389823343567837,5,15944,44946
sample_1,Processed,Awake,60,2,50.00000000004548,8,56,109.78248313706062,0.02,0.0200001055452515,0.9134653441596604,4.812764612954187,1.942603892090622,164,0.7050685440829005,2.467688109980061,5,15825,47645
sample_1,Processed,Awake,60,3,50.00000000004548,8,56,114.6376026093003,0.02,0.0200001055452515,0.911378437698646,4.610083115937632,1.914763549502713,149,0.7139558871151517,2.4821223809027417,5,16483,47965
sample_1,Processed,Awake,60,4,50.00000000004548,8,56,101.61409454350223,0.02,0.0200001055452515,0.929392998069012,5.26605504587156,2.0475860458741,161,0.5601125010494501,2.272143430559272,5,14715,41107
sample_1,Processed,Awake,60,5,50.00000000004548,8,56,108.73457682479234,0.02,0.0200001055452515,0.9156721877736066,4.775206404803603,1.9178503008257093,168,0.6382575530422059,2.351672632462769,5,15988,45258
sample_1,Processed,Awake,60,6,50.00000000004548,8,56,140.8763755564307,0.02,0.0200001055452515,0.928829293450232,5.0828957731688105,1.937568727558142,232,0.8837808988090241,3.12929185688502,11,15236,47095
sample_1,Processed,Awake,60,7,50.00000000004548,8,56,105.66818560228374,0.02,0.0200001055452515,0.9227364860812934,4.8551684967815225,1.9611605470076032,142,0.6901963371193495,2.393980364422997,5,15846,48076
sample_1,Processed,Awake,60,8,50.00000000004548,8,56,137.4814020713594,0.02,0.0200001055452515,0.8894779135732876,4.214947428246661,1.703165875807985,241,0.8551099224006621,2.938002225244159,8,17595,48534
sample_1,Processed,Awake,60,9,50.00000000004548,8,56,111.80685747539768,0.02,0.0200001055452515,0.90668889501901,4.73606064402957,1.9246317288050008,209,0.7374995502356765,2.4516276937184776,5,15962,50163
sample_1,Processed,Awake,60,10,50.00000000004548,8,56,94.32849690982712,0.02,0.0200001055452515,0.91459275339722,4.966846870318505,1.943967055783844,170,0.6619211533156626,2.3539773939006183,5,15353,46890
sample_1,Processed,Awake,60,11,50.00000000004548,8,56,102.51331709527663,0.02,0.0200001055452515,0.9220408505942886,5.036161152964297,1.998266596549224,132,0.6475107043908992,2.3641399544578734,5,15265,45672
sample_1,Processed,Awake,60,12,50.00000000004548,8,56,102.83288699591628,0.02,0.0200001055452515,0.9172793456228936,4.746772591857001,1.931448308883375,153,0.6227077011645897,2.290229378032642,5,16112,45340
sample_1,Processed,Awake,60,13,50.00000000004548,8,56,129.03845416327192,0.02,0.0200001055452515,0.901411660290008,4.589740458015267,1.873662238267247,191,0.780682922148794,2.608125976679889,6,16375,49914
sample_1,Processed,Awake,60,14,50.00000000004548,8,56,129.9690104362087,0.02,0.0200001055452515,0.8967341113256654,4.63096934035305,1.850614492292138,173,0.80712906437027,2.7259139240506327,7,16145,49375
sample_1,Processed,Awake,60,15,50.00000000004548,8,56,94.5052084625174,0.02,0.0200001055452515,0.9139330990560948,4.977529557776472,1.9721364473687537,134,0.6518104513235065,2.33675882529991,5,15309,46514
sample_1,Processed,Awake,60,16,50.00000000004548,8,56,89.4974202974725,0.02,0.0200001055452515,0.9195341640980128,5.0419571221886095,1.9250982661449751,194,0.7653069791429291,2.5501668565034072,7,15206,50043
sample_1,Processed,Awake,60,17,50.00000000004548,8,56,98.67874812274574,0.02,0.0200001055452515,0.9216450579896136,5.103878852284804,1.938386881195201,206,0.8226489319596532,2.615193975788771,6,15056,52455
sample_1,Processed,Awake,60,22,50.00000000004548,8,56,117.09089764874368,0.02,0.0200001055452515,0.9188145411804216,4.756488265242767,1.894737969664334,138,0.7930004677548964,2.58187711111545,7,16106,51217
sample_1,Processed,Awake,60,23,50.00000000004548,8,56,100.92161623163904,0.02,0.0200001055452515,0.9311560742171102,5.209837605690511,1.996205660953906,229,0.6620830684721206,2.305965161452024,6,14902,47878
sample_1,Processed,Awake,60,27,50.00000000004548,8,56,91.62713259667449,0.02,0.0200001055452515,0.936025522626144,5.539679159568427,2.031724282080785,200,0.8501385274116363,2.581281864530226,7,14088,54920
sample_1,Processed,Awake,60,28,50.00000000004548,8,56,94.34275204559194,0.02,0.0200001055452515,0.9196660949662376,5.225857016288421,1.967376344698672,264,0.8138155606462214,2.5240300561693263,6,14673,53766
sample_1,Processed,Awake,60,29,50.00000000004548,8,56,92.90537034743382,0.02,0.0200001055452515,0.9335668109910408,5.571796707229778,2.061160911180216,251,0.7864399054895235,2.3889172252987465,6,13970,54896
sample_1,Processed,Awake,60,30,50.00000000004548,8,56,106.0951138347579,0.02,0.0200001055452515,0.9291771111937344,5.349906774394033,1.969948121687293,214,0.8847343991748324,2.8528086628637728,8,14481,51715
sample_1,Processed,Awake,60,33,50.00000000004548,8,56,67.82750351202287,0.02,0.0200001055452515,0.9366851769672692,5.376428473082748,2.0386074329226105,175,0.665615217625964,2.2656460502143294,5,14526,48990
sample_1,Processed,Awake,120,1,50.00000000004548,8,56,116.83866168986516,0.02,0.0200000253875525,0.9060921393890262,4.70187730171562,1.91084833366094,244,0.6877089782388561,2.4511801995876628,5,66798,194501
sample_1,Processed,Awake,120,2,50.00000000004548,8,56,111.94116416142025,0.02,0.0200000253875525,0.9198504444258526,4.994204532995004,2.0008460309290386,197,0.6533334102652131,2.380963895956431,5,63843,190228
sample_1,Processed,Awake,120,3,50.00000000004548,8,56,131.85739115367912,0.02,0.0200000253875525,0.9245904098642056,4.998798995523528,1.967652778913042,245,0.8109711591999469,2.649242513488679,11,64113,212215
sample_1,Processed,Awake,120,4,50.00000000004548,8,56,132.914611096266,0.02,0.0200000253875525,0.9150383553502756,4.7933655735227445,1.9140306005878385,217,0.8259454687603678,2.655292824648374,8,66170,215641
sample_1,Processed,Awake,120,5,50.00000000004548,8,56,103.73448774269416,0.02,0.0200000253875525,0.9128429118331808,4.899066375586418,1.9511120492449152,200,0.7054369682684846,2.4228718924328447,5,64587,201846
sample_1,Processed,Awake,120,6,50.00000000004548,8,56,108.52171561548197,0.02,0.0200000253875525,0.9222824534730416,4.846988901692037,1.9534810870331127,157,0.6652511200800861,2.3596576053866265,5,65956,195447
sample_1,Processed,Awake,120,7,50.00000000004548,8,56,130.88277535637354,0.02,0.0200000253875525,0.8969122428431715,4.553622169493512,1.8536364935887903,199,0.7887931407536055,2.650326908257281,7,68274,206327
sample_1,Processed,Awake,120,8,50.00000000004548,8,56,108.31502607484477,0.02,0.0200000253875525,0.917579992326045,4.998946954813359,1.9227262780191845,272,0.7832280809054113,2.5728704173162305,8,63625,211039
