session,representation,window_size,n_awake_windows,n_drowsy_windows,delta_DET,delta_Lmean,delta_ENTR,delta_Lmax,delta_LAM,delta_TT,delta_Vmax
sample_1,Processed,60,24,7,0.013208721487083519,0.289376213880451,0.04349401567083522,25.60714285714286,0.06757887438410848,0.01853377587558125,1.3869047619047619
sample_1,Processed,120,11,1,0.016507920355572137,0.38222885693681263,0.04635817942382214,29.454545454545467,0.057133198195492785,-0.01668295364270289,4.0
sample_1,Processed,180,6,1,0.019067314700052407,0.38298140034886075,0.04044819733513405,29.333333333333343,0.05311132830385823,-0.02258918157366141,4.333333333333333
sample_1,Raw,60,24,10,0.018614539377012407,1.920452145369734,0.2426338674869073,40.04166666666666,0.010597347145061331,1.229786437299338,33.425
sample_1,Raw,120,11,3,0.0213042603988568,2.4933979283975276,0.3018261172506058,117.5151515151515,0.009935763519804075,2.03476730045708,225.3939393939394
sample_1,Raw,180,6,1,0.025973468825660873,3.2810687634407953,0.3749174942721418,149.0,0.011989910802752357,1.629790908714976,27.666666666666664
sample_10,Processed,60,27,9,-0.03901535551965074,-0.22900164471358053,-0.02819038617538827,-10.777777777777771,-0.004149491911645764,0.005128894859015354,0.0
sample_10,Processed,120,12,4,-0.034173187753437584,-0.21049462083145443,-0.04038191157946347,-12.916666666666671,-0.002452621130629551,0.004106508023557609,0.0
sample_10,Processed,180,7,2,-0.04245551609147924,-0.26917827692440444,-0.03708854778391113,-7.0,0.013015065887482191,0.008559438851238,0.2142857142857144
sample_10,Raw,60,27,9,-0.007135542687292107,-0.010237754846449842,-0.07001100176447994,-4.740740740740733,0.015307796173957278,0.0652896659068003,0.33333333333333304
sample_10,Raw,120,12,4,-0.01466172183376857,-0.05881121328765371,-0.10620419330290987,-2.3333333333333286,-0.0005153404679110185,-0.028945527045403097,-0.33333333333333304
sample_10,Raw,180,7,2,-0.012216953017995857,-0.10609637985870712,-0.12086704315701424,-11.142857142857139,0.008929326041165586,0.05820016596229971,-0.2857142857142856
sample_11,Processed,60,20,18,-0.018847616152890434,-0.05299677661685642,0.023237226413441503,1.7000000000000028,-0.01501335764905376,-0.006514997152013535,-0.18888888888888866
sample_11,Processed,120,9,8,-0.018985256449741916,-0.047560022443891015,0.01872801687403669,4.125,-0.028859258061535664,-0.009590418230492226,-0.4166666666666665
sample_11,Processed,180,5,6,-0.028004296738431078,-0.06586805304416732,0.022223827354472814,5.366666666666674,-0.015786122413132042,-0.002217500054039423,-0.6666666666666665
sample_11,Raw,60,20,18,0.0009702851860913242,0.09652191474132321,0.016184401753287503,13.138888888888886,-0.004418209498953218,0.02105581526838085,0.09999999999999964
sample_11,Raw,120,9,8,-0.0063042638687746955,0.13136980521168873,0.03161189079893156,18.83333333333333,-0.017287785046845805,-0.017433895449220582,-0.09722222222222232
sample_11,Raw,180,5,6,-0.02139433737850016,0.020089872051661573,-0.02050539758079184,18.066666666666677,-0.032281597148684504,-0.07749283666088358,-0.2333333333333334
sample_12,Processed,60,20,35,0.024300954943946018,0.08326770126131677,0.07260937319604577,0.5785714285714221,-0.0021872404110859223,-0.0007571184567534139,0.04999999999999982
sample_12,Processed,120,8,16,0.03610727732606489,0.1537081474686377,0.10995503530431616,14.25,-0.011779745680495224,-0.00031182094413173544,0.25
sample_12,Processed,180,5,10,0.02403558574542508,0.08725463377833842,0.0946985124512667,20.39999999999999,-0.010259035839205177,0.0038058788810100275,0.0
sample_12,Raw,60,21,35,0.024233148158646634,0.03052701360833643,0.006588856825503919,3.2476190476190396,0.09518812697438084,0.10123036129340157,0.5142857142857142
sample_12,Raw,120,9,16,0.029519192649425152,-0.002120745163910698,0.00432651461575051,-3.9513888888888857,0.07450265301389636,0.0929186409613485,0.3472222222222223
sample_12,Raw,180,6,10,0.02295014044462762,-0.059401635029341815,-0.01251417846009617,-2.7333333333333485,0.05826227201597267,0.07482736853485905,0.033333333333333215
sample_13,Processed,60,25,23,-0.00705242138253237,-0.04034357781339981,0.0075142394682925495,8.540869565217392,-0.06916580247093901,-0.010388037442580433,-0.2452173913043474
sample_13,Processed,120,11,12,0.000830918310316342,-0.021643928826607706,0.008149505099004362,21.522727272727266,-0.06629754062869642,-0.0068399058200210305,-0.1363636363636367
sample_13,Processed,180,7,6,0.010859213093230347,0.07184481902405349,0.022804503858786962,16.47619047619048,-0.07041359139896974,-0.030970614057860057,-0.4285714285714288
sample_13,Raw,60,25,24,-0.008080662262458183,0.14408849922221778,0.029536325317477408,15.909999999999997,-0.04722424761438704,-0.11901602587739069,-0.3483333333333327
sample_13,Raw,120,11,12,-0.006103999981193042,0.20109103709708576,0.048319705377006805,24.37121212121211,-0.03660709227448977,-0.14663270896179315,0.09090909090909083
sample_13,Raw,180,7,7,-0.013387601160593676,0.1652466732639981,0.029136220926758716,42.85714285714286,-0.04056034686752563,-0.16695395496567267,-0.4285714285714288
sample_14,Processed,60,31,17,-0.04063145227995857,-0.053200543256952226,-0.11247298214275303,1.5009487666034147,0.12190109569178825,0.039156076088802116,0.3795066413662238
sample_14,Processed,120,16,7,-0.08380311522419193,-0.26659781134609517,-0.18294461896039182,0.2321428571428612,0.10814822888755427,0.05522786883885633,0.9732142857142856
sample_14,Processed,180,9,4,-0.05293708982671741,-0.13996886870763348,-0.14204851890842263,-17.416666666666657,0.1345989063359439,0.06794048501437544,0.6944444444444446
sample_14,Raw,60,33,19,-0.009305563250771476,-0.08379138423776711,-0.036363371777304865,2.7049441786283808,0.10451341363600475,0.2871866037595008,3.9074960127591716
sample_14,Raw,120,16,8,-0.015285475258186909,-0.19015791955058203,-0.05423989166227483,-15.5625,0.08832489911117236,0.3573225545795604,13.625
sample_14,Raw,180,9,5,0.003989972550236587,-0.04525979448587325,-0.029933810080557288,55.44444444444446,0.09085706310335862,0.48941667018858137,29.088888888888892
sample_15,Processed,60,28,6,-0.016418824572589585,0.013375761838723577,-0.04235077971345591,7.083333333333329,0.05364912918183545,0.06517786361572231,0.8095238095238098
sample_15,Processed,120,12,3,-0.03208444978286984,-0.1217235439512323,-0.10544422649677831,7.916666666666686,0.06435369121315726,0.036157693916154976,0.08333333333333348
sample_15,Processed,180,7,1,-0.030897284354182708,-0.027170444648422887,-0.04361752676681241,-19.285714285714278,0.10608839728616376,0.1075580368952509,0.7142857142857144
sample_15,Raw,60,32,8,0.01280431857107911,0.2213281669947671,0.05296186824768112,13.875,0.05849415830682658,0.1345352995782254,3.125
sample_15,Raw,120,14,4,0.009244236006401119,0.11186758030669175,0.017520882726651532,8.0,0.05620044221842602,0.17814247570965458,10.071428571428571
sample_15,Raw,180,8,1,-0.008904403610747957,-0.2187312077186334,-0.042191498099065416,-34.5,0.024181744773858593,0.08063589748764999,18.625
sample_17,Processed,60,28,14,-0.004080996030412898,0.018138328746076127,-0.05226701026248115,4.464285714285708,-0.06518367053112939,-0.04970274340920122,-0.535714285714286
sample_17,Processed,120,14,5,-0.005240658122252939,0.025164605545170637,-0.044796558314126544,-0.4285714285714306,-0.07233693787040818,-0.0619463527728481,-0.871428571428571
sample_17,Processed,180,9,4,-0.004590759873012051,0.06978270369545747,-0.04950098142586756,16.66666666666667,-0.03367692603045436,-0.022802114350099156,-0.8055555555555554
sample_17,Raw,60,29,14,0.040022086736410056,0.15306920275271585,0.021393254654841876,20.423645320197053,0.002205392366651404,-0.029743663041652102,-0.4507389162561575
sample_17,Raw,120,14,6,0.04167152507326477,0.3124455612189454,0.055956526385248395,54.97619047619048,0.03604965458117204,0.11879078798256515,-0.3809523809523814
