session,representation,state,window_size,n_windows,DET_mean,DET_std,DET_median,Lmean_mean,Lmean_std,Lmean_median,ENTR_mean,ENTR_std,ENTR_median,Lmax_mean,Lmax_std,Lmax_median,LAM_mean,LAM_std,LAM_median,TT_mean,TT_std,TT_median,Vmax_mean,Vmax_std,Vmax_median
sample_1,Processed,Awake,60,24,0.9180844237619489,0.012298966399525312,0.9191743526392172,4.966875704921666,0.3290731848525282,4.972188214047488,1.9449196388634187,0.07393656269715501,1.9404953866429113,184.25,39.8019553812864,174.0,0.7351527799433097,0.09197350477259156,0.7257277186754141,2.5092243522542064,0.22057569033418636,2.459657901849269,6.041666666666667,1.458980187804412,5.5
sample_1,Processed,Awake,120,11,0.9185750362519627,0.010608522984144698,0.9198504444258526,4.985234338784121,0.29168731480689425,4.994204532995004,1.9537093989876708,0.05198867009901902,1.9534810870331127,234.54545454545453,45.3593730917076,244.0,0.7598949040585151,0.07361493935734242,0.7832280809054113,2.520243316264863,0.11731200719585667,2.569769680422836,7.0,1.8973665961010275,7.0
sample_1,Processed,Awake,180,6,0.9176760010313844,0.010462724416185912,0.9149291598565346,4.973382209690448,0.31155921518229746,4.823271845203019,1.9574985150608528,0.05231169833006235,1.9482884428299743,234.66666666666666,35.79757906153245,243.0,0.7548264898627677,0.05849201958997529,0.7497373008708951,2.5006797007649646,0.06800345682572179,2.5071255925350435,6.666666666666667,1.632993161855452,6.5
sample_1,Processed,Drowsy,60,7,0.9312931452490324,0.014919059954215304,0.9390959137411996,5.256251918802117,0.35305723699120467,5.256884422110553,1.988413654534254,0.07077091135408842,1.9852776356293729,209.85714285714286,42.768479715122645,204.0,0.8027316543274182,0.04388825847369496,0.7914352879091356,2.5277581281297876,0.15291633514894118,2.448310750491004,7.428571428571429,2.63673679998231,7.0
sample_1,Processed,Drowsy,120,1,0.9350829566075348,,0.9350829566075348,5.3674631957209336,,5.3674631957209336,2.000067578411493,,2.000067578411493,264.0,,264.0,0.8170281022540079,,0.8170281022540079,2.50356036262216,,2.50356036262216,11.0,,11.0
sample_1,Processed,Drowsy,180,1,0.9367433157314368,,0.9367433157314368,5.356363610039309,,5.356363610039309,1.9979467123959869,,1.9979467123959869,264.0,,264.0,0.8079378181666259,,0.8079378181666259,2.478090519191303,,2.478090519191303,11.0,,11.0
sample_1,Raw,Awake,60,24,0.9528345251951574,0.016289025101128788,0.9497795420674782,5.431056846278342,0.9356329965173781,4.999858980019412,2.10059861057833,0.13075697476386913,2.0492527886718643,205.45833333333334,50.91594024482405,190.5,0.9754457667435091,0.011095176686198503,0.9752138631832137,5.105384863333378,0.9712529119846853,4.7992305850619505,18.875,15.962762373997045,12.5
sample_1,Raw,Awake,120,11,0.9561672075412374,0.015221965340691458,0.9481736709199944,5.488960077979859,0.749783679561815,5.13550608508005,2.1218234143035346,0.10977149497807263,2.065497515986962,266.8181818181818,59.854520600900614,240.0,0.9794684052124335,0.008897781831428002,0.9769935836010474,5.386829400917436,0.8881160775838861,5.185906652443455,35.27272727272727,26.60861104639214,22.0
sample_1,Raw,Awake,180,6,0.9574208479894727,0.016226511903593692,0.9564984049900761,5.514058968379355,0.8793986089447419,5.302983868889845,2.1302151980420376,0.12831791408068843,2.110841472206701,288.0,57.94825277780168,293.5,0.9812615619738136,0.008589349382163556,0.9815610166815063,5.586561275078164,0.8783372594185586,5.578975933774759,32.333333333333336,23.491842555803633,21.5
sample_1,Raw,Drowsy,60,10,0.9714490645721698,0.009147851232007113,0.9698613304680725,7.3515089916480765,1.9990749801987566,6.764167157015294,2.343232478065237,0.2115418218188635,2.289463103926532,245.5,54.772762898684924,241.5,0.9860431138885705,0.0043765032122025874,0.9852175833127039,6.335171300632716,2.0169566810924864,5.521265379900774,52.3,61.57389417963139,23.0
sample_1,Raw,Drowsy,120,3,0.9774714679400942,0.003800225775999931,0.9786945264010206,7.982358006377386,0.5565763641679607,7.711925089507023,2.4236495315541404,0.10301034011679702,2.381970446502884,384.3333333333333,119.1819337539601,330.0,0.9894041687322376,0.0016978976080119492,0.9901572165849226,7.421596701374516,1.3842305033440916,7.002478493901872,260.6666666666667,204.1306771000707,334.0
sample_1,Raw,Drowsy,180,1,0.9833943168151336,,0.9833943168151336,8.79512773182015,,8.79512773182015,2.5051326923141795,,2.5051326923141795,437.0,,437.0,0.993251472776566,,0.993251472776566,7.21635218379314,,7.21635218379314,60.0,,60.0
sample_10,Processed,Awake,60,27,0.7526390910755262,0.020073551897912066,0.7545711954695974,4.336321007445379,0.1942197761748721,4.283780049737497,1.4581040940812662,0.06767738802782873,1.440581264036888,96.44444444444444,27.12695697773333,89.0,0.3322090867562864,0.08800669625800431,0.3303018668714306,2.0262260680579423,0.05071901407864843,2.0071450288841595,3.111111111111111,0.5063696835418332,3.0
sample_10,Processed,Awake,120,12,0.7502289113055255,0.017460874426914436,0.7559497703192447,4.346065128204522,0.14251354112597467,4.326371461166135,1.4768596461172612,0.043407493411406976,1.470646483817297,119.16666666666667,31.88568596873791,106.5,0.35448454560144044,0.05969662660347091,0.33717481129244475,2.0282314561482577,0.03972295293544571,2.013454274340634,3.25,0.621581560508061,3.0
sample_10,Processed,Awake,180,7,0.74741937981187,0.016649791484932307,0.7460331126834037,4.32902096386812,0.06678564238802456,4.319521888717523,1.4686382138840532,0.02526641082036575,1.4771126501048233,138.0,32.715949219506584,137.0,0.36540547228225445,0.07715024456839391,0.339655705075286,2.0359444950609724,0.052088405944525025,2.0146490990380705,3.2857142857142856,0.7559289460184544,3.0
sample_10,Processed,Drowsy,60,9,0.7136237355558754,0.04035105714122819,0.7174257330709795,4.107319362731799,0.18792003192535076,4.105045492142266,1.429913707905878,0.04447729453031191,1.423389304595552,85.66666666666667,13.964240043768942,90.0,0.32805959484464065,0.09049669994296321,0.3584489129913135,2.0313549629169576,0.04866232601768326,2.0102691769099112,3.111111111111111,0.3333333333333333,3.0
sample_10,Processed,Drowsy,120,4,0.7160557235520879,0.01998944861297053,0.7180582165693312,4.1355705073730675,0.11442090303870096,4.132322803165302,1.4364777345377977,0.027121913157804184,1.4448986318437766,106.25,17.651723239767083,105.5,0.3520319244708109,0.047710272540614385,0.3548279125597285,2.0323379641718153,0.02646748427267991,2.029994322130918,3.25,0.5,3.0
sample_10,Processed,Drowsy,180,2,0.7049638637203908,0.021029091447970355,0.7049638637203908,4.059842686943716,0.12252799691221428,4.059842686943716,1.4315496661001421,0.0308303596124809,1.4315496661001421,131.0,4.242640687119285,131.0,0.37842053816973664,0.07702549367556999,0.37842053816973664,2.0445039339122104,0.053087249219796746,2.0445039339122104,3.5,0.7071067811865476,3.5
sample_10,Raw,Awake,60,27,0.7737994907067576,0.029681035536500013,0.7768534377293859,2.9999291413850875,0.14608456730368202,2.9777208201892744,1.1797320129906408,0.08648840919569079,1.1585643609315055,80.29629629629629,25.74552211224136,75.0,0.7225819898685081,0.05712258938355048,0.7164423782725716,2.397440898644613,0.17096631252619918,2.357213102352674,4.444444444444445,0.8473185457363235,4.0
sample_10,Raw,Awake,120,12,0.7813507220668144,0.016065385592573218,0.7747902586809602,3.0403467571802754,0.10369039783371267,3.037476714523642,1.2094308440959278,0.06410739064752852,1.2123413770876572,113.08333333333333,28.855307793866764,108.5,0.7632207121761375,0.04109795239591005,0.7744232113726404,2.525708945366033,0.13215547086983245,2.5139938574623306,5.083333333333333,0.9962049198956223,5.0
sample_10,Raw,Awake,180,7,0.7867237983595875,0.016455042275823194,0.7937565301597819,3.0612506432431865,0.11730495146044002,3.087935143503147,1.2154764738730883,0.05544308602018689,1.2389695993522023,123.14285714285714,40.27997257293245,115.0,0.7831229726925555,0.04353373120428146,0.7631864631380444,2.6000260190886872,0.1941030195634532,2.544581711896953,5.285714285714286,1.2535663410560176,5.0
sample_10,Raw,Drowsy,60,9,0.7666639480194655,0.02718832035692678,0.7682407633961341,2.9896913865386376,0.26273621942140585,2.874795862819815,1.1097210112261608,0.11217677882905179,1.0633079168285442,75.55555555555556,15.3794596061688,72.0,0.7378897860424654,0.07900106894827158,0.7503058478101297,2.4627305645514133,0.18667431096462514,2.3992028696691907,4.777777777777778,1.6414763002993507,4.0
sample_10,Raw,Drowsy,120,4,0.7666890002330459,0.007356173148736998,0.7662374737823351,2.9815355438926217,0.32896837061078743,2.8557169057773883,1.103226650793018,0.12640566356370095,1.0509879313646757,110.75,45.95196767640461,95.0,0.7627053717082265,0.03679986333000289,0.7580663015614075,2.4967634183206298,0.14955637944705308,2.4606170770642892,4.75,0.4999999999999999,5.0
sample_10,Raw,Drowsy,180,2,0.7745068453415916,0.008043112389151166,0.7745068453415916,2.9551542633844794,0.1969554106061092,2.9551542633844794,1.094609430716074,0.07035781068777852,1.094609430716074,112.0,11.313708498984761,112.0,0.7920522987337211,0.04892952402934704,0.7920522987337211,2.658226185050987,0.28238217095036094,2.658226185050987,5.0,1.4142135623730951,5.0
sample_11,Processed,Awake,60,20,0.7196549407304315,0.029177192224687593,0.7275519508566493,4.139108120336901,0.16190388630772987,4.217204770776199,1.4397234365569582,0.048677000893277665,1.4251496360897042,80.3,19.262999711746268,74.5,0.3557733838844363,0.08831111174192459,0.355989345875126,2.046136611329107,0.06709655818827341,2.0244050449461817,3.3,0.9233805168766387,3.0
sample_11,Processed,Awake,120,9,0.7165693943967066,0.024711879403434986,0.7195093781761065,4.1282269948631924,0.09187453895875956,4.133715707276623,1.4554864292966103,0.019688378539218596,1.454282022006548,94.0,14.44818327679989,96.0,0.37919246050078537,0.06066347496098767,0.3588307308509655,2.0489441993207134,0.03481098623058182,2.038982772764561,3.6666666666666665,1.0,3.0
sample_11,Processed,Awake,180,5,0.7204454825977027,0.0187766677231414,0.7281046215272675,4.147881872226149,0.09160607374841007,4.137274578672412,1.4657806223607757,0.01788162715817255,1.4749495950549707,104.8,12.833549781724463,105.0,0.38266661261964235,0.04750856044939599,0.3592590152969968,2.0499241769855403,0.033026833811129544,2.034855839522779,4.0,1.224744871391589,4.0
sample_11,Processed,Drowsy,60,18,0.700807324577541,0.027121344294544904,0.6974612468205595,4.086111343720044,0.1925528169742511,4.089707998100481,1.4629606629703997,0.040646580260768554,1.4685760967148949,82.0,17.26267650163207,76.0,0.34076002623538254,0.07167195797665153,0.3485146614195902,2.0396216141770935,0.027470320792738756,2.0354087901211733,3.111111111111111,0.47140452079103157,3.0
sample_11,Processed,Drowsy,120,8,0.6975841379469647,0.0162149240541717,0.702167837013767,4.080666972419301,0.12964223623492357,4.1362362526371355,1.474214446170647,0.029530755499749265,1.4757039025474539,98.125,13.653230910144101,98.0,0.3503332024392497,0.05317959273831659,0.3318136145246235,2.039353781090221,0.020218569371539805,2.036598348570642,3.25,0.46291004988627577,3.0
sample_11,Processed,Drowsy,180,6,0.6924411858592716,0.012712529469167346,0.6909287136639322,4.082013819181982,0.07343456342695279,4.111814384745127,1.4880044497152485,0.02130092943727551,1.4792129005852859,110.16666666666667,12.106472098289688,110.5,0.3668804902065103,0.045641676025315214,0.353676548827264,2.047706676931501,0.019904595456313515,2.046832554094273,3.3333333333333335,0.5163977794943222,3.0
sample_11,Raw,Awake,60,20,0.7546586738438953,0.02927169398207959,0.7538781502324443,2.8613980762348445,0.16195766084643312,2.823203790256269,1.0932979850983822,0.098594886673056,1.058205362099525,61.75,18.811740455028833,56.5,0.7819023733790066,0.04413867478000112,0.7809395644727184,2.571573388216589,0.16197747248272992,2.5176443398280486,4.9,0.4472135954999578,5.0
sample_11,Raw,Awake,120,9,0.7627690987677709,0.02010589240124258,0.7673122442078751,2.85917575319618,0.10922284341550714,2.854549356223176,1.094913735372353,0.06223840403250525,1.0987390501130343,79.66666666666667,18.377975949489105,79.0,0.803762303682174,0.02988662115083886,0.812510202653856,2.648939342752663,0.12565786371844176,2.6072256279904304,5.222222222222222,0.4409585518440985,5.0
sample_11,Raw,Awake,180,5,0.7779391094489648,0.0206570929616623,0.775206763275171,2.9524167401841424,0.1866073609134786,2.9254926108374386,1.140810609249322,0.08900901628544083,1.1580895516470122,103.6,18.836135484753765,110.0,0.8316676552477,0.025334343372591845,0.8213821341342158,2.7655194641188396,0.15592295351375476,2.682279872119356,5.4,0.5477225575051662,5.0
sample_11,Raw,Drowsy,60,18,0.7556289590299866,0.01721356708881304,0.7591142647418645,2.9579199909761678,0.20161064901468026,2.893491678431011,1.1094823868516697,0.08773528045472181,1.0811688412014457,74.88888888888889,21.04865201465374,70.0,0.7774841638800534,0.04642387558561909,0.7899070222657205,2.59262920348497,0.14331686293177254,2.6094902156852346,5.0,0.34299717028501764,5.0
sample_11,Raw,Drowsy,120,8,0.7564648348989962,0.00838670839114529,0.7551304773675986,2.990545558407869,0.18385906763201887,2.9125415370885923,1.1265256261712846,0.07761091749752809,1.0951036184435783,98.5,25.478282068123374,93.5,0.7864745186353282,0.02525526345520894,0.7927578647886011,2.6315054473034425,0.07975043627848134,2.6331867608047546,5.125,0.35355339059327373,5.0
