representation,window_size,metric,n_paired_sessions,mean_delta,ci_low,ci_high,effect_size_dz,fraction_sessions_same_direction,raw_p,fdr_q,fdr_significant,window_direction_robustness,cross_rep_mean_difference,cross_rep_ci_low,cross_rep_ci_high,cross_rep_effect_size_dz,cross_rep_raw_p,cross_rep_fdr_q,cross_rep_fdr_significant
Processed,60,DET,20,-0.017596467352501383,-0.028416060057348334,-0.006422168480650736,-0.6860719764568196,0.8,0.007358551025390625,0.023773780235877402,True,True,0.023144742630943894,0.011569748697599375,0.034668936751585076,0.8603744972233898,0.0010585784912109375,0.00391387939453125,True
Processed,60,ENTR,20,-0.028736197521753076,-0.056746136432217924,-0.00368863761454592,-0.4601244346659553,0.65,0.05138397216796875,0.0867145244891827,False,True,0.05939186544397866,0.022541596354114353,0.09847950613010811,0.6696533866046924,0.00634002685546875,0.012198081383338341,True
Processed,60,LAM,20,0.025538222233686163,0.002506627754038839,0.048927259360838034,0.46350892409901717,0.6,0.052822113037109375,0.0867145244891827,False,True,0.01648561567055925,0.0005155110741474612,0.032342833445524494,0.44589189715804384,0.06036186218261719,0.06671574241236637,False
Processed,60,Lmax,20,2.4564229993134084,-1.4029599871145402,6.429754806922012,0.2696522241642518,0.75,0.247802734375,0.2812895903716216,False,True,7.1486838331060225,4.684831275061246,9.712139931299376,1.2139473442580035,2.47955322265625e-05,0.0005207061767578125,True
Processed,60,Lmean,20,-0.04513515996293409,-0.0996124703298041,0.011407075625056419,-0.3478222001492763,0.75,0.1371173858642578,0.16938030018525965,False,True,0.2374989966308823,0.10813387430424687,0.4210707573192425,0.6365342776362419,0.000217437744140625,0.0022296905517578125,True
Processed,60,TT,20,0.009418249810525994,-0.0023460610016420398,0.021248209593093266,0.3425969473950987,0.65,0.1436595916748047,0.17239151000976563,False,True,0.1514812684511639,0.05834618999330804,0.28589203427773546,0.5500769462377826,0.0003185272216796875,0.0022296905517578125,True
Processed,60,Vmax,20,0.14704327542178425,-0.04773246725970283,0.3568934804442568,0.3082312429154526,0.55,0.1866607666015625,0.2177708943684896,False,True,3.0644142353904664,0.43130603545325413,6.935787163731978,0.3895722183403868,0.007152557373046875,0.012198081383338341,True
Processed,120,DET,20,-0.024154686705608268,-0.03904305714451325,-0.009436144337622897,-0.6999852873323723,0.75,0.0055065155029296875,0.021024877374822445,True,True,0.028786647312984616,0.014166871585453747,0.043713198262355396,0.8373132160996448,0.001270294189453125,0.00391387939453125,True
Processed,120,ENTR,20,-0.04051303859437614,-0.07598193325550266,-0.008078088752657765,-0.5039721659844718,0.7,0.03497886657714844,0.07345561981201172,False,True,0.07566254625538486,0.027293470971248894,0.12795975089282463,0.6449205596400436,0.0071315765380859375,0.012198081383338341,True
Processed,120,LAM,20,0.02961393259776492,0.004230665555822084,0.055112466434570254,0.49153390460881713,0.65,0.04191780090332031,0.08261987437372623,False,True,0.013405657742160525,-0.005312114373446856,0.033324865558238215,0.2957110510652167,0.20222091674804688,0.21233196258544923,False
Processed,120,Lmax,20,7.099890970742363,0.7396052326801147,13.842225147594922,0.4610826368807983,0.6,0.053680419921875,0.0867145244891827,False,True,16.26065084854946,6.7251375441616394,27.064531009131034,0.6737478393734484,0.0028018951416015625,0.0065377553304036455,True
Processed,120,Lmean,20,-0.06150818548405038,-0.12837955722538827,0.010815697726878784,-0.37701182620757856,0.65,0.10839271545410156,0.1436448097229004,False,True,0.29525976843508156,0.11794052373953438,0.5327129985179904,0.5909461423686497,0.0008697509765625,0.00391387939453125,True
Processed,120,TT,20,0.014709181219019627,0.001278776261108674,0.02749920624043393,0.4805640959326828,0.6,0.04524421691894531,0.08261987437372623,False,True,0.21622204447941534,0.06786555155457581,0.44173020195267876,0.46901417432094666,0.00130462646484375,0.00391387939453125,True
Processed,120,Vmax,20,0.7636664296745566,0.04678485668743023,1.7895782034174457,0.36553597037157076,0.6,0.073516845703125,0.10647267308728449,False,True,14.830121657238527,0.8793546850358966,38.96972478144275,0.29793698845687966,0.031528472900390625,0.040940228630514705,True
Processed,180,DET,20,-0.024400103341359614,-0.03927870280161601,-0.00967904835577345,-0.6872116128854958,0.75,0.006282806396484375,0.021989822387695312,True,True,0.028388731905332254,0.012397848546195541,0.043001568663422446,0.8031848947452924,0.002559661865234375,0.0065377553304036455,True
Processed,180,ENTR,20,-0.03677951800026356,-0.07220582861193214,-0.005608878245915816,-0.47143313327612585,0.75,0.04523468017578125,0.08261987437372623,False,True,0.06678215900279391,0.013807123154380468,0.12649097857771532,0.5086977957922578,0.028987884521484375,0.040583038330078126,True
Processed,180,LAM,20,0.03818259437554141,0.010195647853843698,0.06621629393078163,0.5865799028406404,0.65,0.017198562622070312,0.04249056647805607,True,True,0.0008955230925708797,-0.021312752101464955,0.023246856616836547,0.017213962198640607,0.93865966796875,0.93865966796875,False
Processed,180,Lmax,20,9.317931096681097,0.3483011363636369,19.11543258477633,0.4226499864931159,0.6,0.06991386413574219,0.10487079620361328,False,True,16.878534312909313,1.5095519636613366,33.94001210421522,0.44515803205061805,0.056758880615234375,0.06621869405110677,False
Processed,180,Lmean,20,-0.05999890930455233,-0.1314354838890064,0.015636079331226516,-0.3484740156138765,0.65,0.1361846923828125,0.16938030018525965,False,True,0.29751789039823784,0.07457782146084026,0.6264585666985897,0.44433205747022736,0.0075511932373046875,0.012198081383338341,True
Processed,180,TT,20,0.022219867919710288,0.005264015726596439,0.04045597595688591,0.5365154123719551,0.65,0.024724960327148438,0.054655175460012334,False,True,0.19136957887105152,0.05109174611918924,0.3866814621113497,0.4761799606320264,0.009725570678710938,0.014588356018066406,True
Processed,180,Vmax,20,0.7950487012987012,-0.5829487734487735,2.512804879148628,0.2182790454976692,0.6,0.40633392333984375,0.4244194961175686,False,True,8.614809496059497,1.4299690552503057,18.50452060786435,0.42494832133337224,0.03314208984375,0.040940228630514705,True
Raw,60,DET,20,0.005548275278442516,-0.0042829387600417145,0.014469581714212374,0.25586785656916883,0.65,0.2656993865966797,0.2880090566781851,False,True,0.023144742630943894,0.011569748697599375,0.034668936751585076,0.8603744972233898,0.0010585784912109375,0.00391387939453125,True
Raw,60,ENTR,20,0.03065566792222558,0.002864435937336412,0.06282352526572796,0.43630798363138734,0.7,0.05609703063964844,0.08726204766167535,False,True,0.05939186544397866,0.022541596354114353,0.09847950613010811,0.6696533866046924,0.00634002685546875,0.012198081383338341,True
Raw,60,LAM,20,0.0420238379042454,0.019850945543456344,0.06508408493284086,0.7899044506492989,0.85,0.001583099365234375,0.00949859619140625,True,True,0.01648561567055925,0.0005155110741474612,0.032342833445524494,0.44589189715804384,0.06036186218261719,0.06671574241236637,False
Raw,60,Lmax,20,9.60510683241943,4.686718570914705,14.935397299402814,0.7950705973660036,0.85,0.00089263916015625,0.00949859619140625,True,True,7.1486838331060225,4.684831275061246,9.712139931299376,1.2139473442580035,2.47955322265625e-05,0.0005207061767578125,True
Raw,60,Lmean,20,0.19236383666794826,0.06110893814001214,0.4044777418699703,0.4509981904640682,0.75,0.0012054443359375,0.00949859619140625,True,True,0.2374989966308823,0.10813387430424687,0.4210707573192425,0.6365342776362419,0.000217437744140625,0.0022296905517578125,True
Raw,60,TT,20,0.1608995182616899,0.06288524921566227,0.3002637598304328,0.5673633706892026,0.8,0.000751495361328125,0.00949859619140625,True,True,0.1514812684511639,0.05834618999330804,0.28589203427773546,0.5500769462377826,0.0003185272216796875,0.0022296905517578125,True
Raw,60,Vmax,20,3.211457510812251,0.5226337762669406,7.163716386785967,0.39723513562750595,0.85,0.003795623779296875,0.017712910970052082,True,True,3.0644142353904664,0.43130603545325413,6.935787163731978,0.3895722183403868,0.007152557373046875,0.012198081383338341,True
