Time (s),IR Value raw,PPG processed,Label,source_row_index,segment_id,retained_interval_id,sqi_artifact,rule
3.5895257,127011,826.1484452000354,0,90,2,2,False,T30
3.629585743,126885,1027.8023786601866,0,91,2,2,False,T30
3.661022902,127082,782.7804470778633,0,92,2,2,False,T30
3.702161789,127327,545.277112659551,0,93,2,2,False,T30
3.743210554,127501,370.1272460097577,0,94,2,2,False,T30
3.789476156,127603,287.3382479493296,0,95,2,2,False,T30
3.830120802,127552,331.22728807182875,0,96,2,2,False,T30
3.870190144,127511,376.87779175598143,0,97,2,2,False,T30
3.909846544,127610,289.7747354696148,0,98,2,2,False,T30
3.949904442,127813,95.7674036302302,0,99,2,2,False,T30
3.989942551,128044,-129.9246621959777,0,100,2,2,False,T30
4.029926777,128293,-374.6483165780097,0,101,2,2,False,T30
4.070033073,128515,-584.1786589998337,0,102,2,2,False,T30
4.104255438,128660,-692.3507991069268,0,103,2,2,False,T30
4.149538517,128809,-879.0005013969562,0,104,2,2,False,T30
4.189459085,129020,-1112.128287562144,0,105,2,2,False,T30
4.229584455,128824,-703.5654784366918,0,106,2,2,False,T30
4.26954627,127497,349.9127634235469,0,107,2,2,False,T30
4.310020924,127076,965.2638736901156,0,108,2,2,False,T30
4.35198617,127185,839.474661416182,0,109,2,2,False,T30
4.390544653,127432,577.9050782066727,0,110,2,2,False,T30
4.429567575,127624,403.3475490575844,0,111,2,2,False,T30
4.4695189,127785,268.9717588342002,0,112,2,2,False,T30
4.509550333,127812,250.65537925462203,0,113,2,2,False,T30
4.549716473,127735,337.55572087000706,0,114,2,2,False,T30
4.590207577,127724,370.9007792554129,0,115,2,2,False,T30
4.629997015,127865,232.16448020612776,0,116,2,2,False,T30
4.669898033,128169,-38.27259247885348,0,117,2,2,False,T30
4.709532976,128463,-332.833062616777,0,118,2,2,False,T30
4.754973412,128744,-599.1698407855866,0,119,2,2,False,T30
4.786663055,128944,-776.7990367506044,0,120,2,2,False,T30
4.833483696,129089,-884.4638174202148,0,121,2,2,False,T30
4.869972706,129238,-1110.0307071214283,0,122,2,2,False,T30
4.910384655,129380,-1153.5652334326146,0,123,2,2,False,T30
4.950445652,128656,-353.20878379009787,0,124,2,2,False,T30
4.989981174,127308,785.0900726823326,0,125,2,2,False,T30
5.030092239,127161,1155.383254128416,0,126,2,2,False,T30
5.069937468,127365,896.7563983793999,0,127,2,2,False,T30
5.109894514,127611,635.0132163453753,0,128,2,2,False,T30
5.149545908,127868,415.6658280513672,0,129,2,2,False,T30
5.190002441,128025,283.8187703016887,0,130,2,2,False,T30
5.229800224,127936,373.1109312561054,0,131,2,2,False,T30
5.270109415,127806,511.3452534539893,0,132,2,2,False,T30
5.309626341,127886,461.6667840447952,0,133,2,2,False,T30
5.349464655,128126,226.83140097761165,0,134,2,2,False,T30
5.389500141,128452,-79.84081382171397,0,135,2,2,False,T30
5.43293047,128801,-418.42712618646704,0,136,2,2,False,T30
5.470442772,129149,-765.1803379358939,0,137,2,2,False,T30
5.510053873,129412,-986.1608854370204,0,138,2,2,False,T30
5.549958944,129568,-1120.9092713714,0,139,2,2,False,T30
5.590109348,129655,-1346.227084065021,0,140,2,2,False,T30
5.630081654,129700,-1106.9893656002148,0,141,2,2,False,T30
5.669979095,128299,90.60981378347856,0,142,2,2,False,T30
5.71006918,127187,1214.5414732960826,0,143,2,2,False,T30
5.749742985,127211,1315.0507596525194,0,144,2,2,False,T30
5.789983273,127556,907.742626172439,0,145,2,2,False,T30
5.82995224,127907,546.5496583025438,0,146,2,2,False,T30
5.869587421,128238,252.1392363915599,0,147,2,2,False,T30
5.91118741,128350,147.5582662115139,0,148,2,2,False,T30
5.95154953,128209,269.4974493695994,0,149,2,2,False,T30
5.993131876,128131,365.0710486170661,0,150,2,2,False,T30
6.032422066,128238,263.4018559662525,0,151,2,2,False,T30
6.07350564,128491,6.358891681961303,0,152,2,2,False,T30
6.120898485,128837,-333.4073153063728,0,153,2,2,False,T30
6.160063267,129166,-678.6540904856028,0,154,2,2,False,T30
6.200434208,129417,-897.2335781662931,0,155,2,2,False,T30
6.239510298,129574,-1063.5397705880048,0,156,2,2,False,T30
6.279465914,129678,-1291.9459522876998,0,157,2,2,False,T30
6.320095062,129627,-984.427666897452,0,158,2,2,False,T30
6.360120296,128195,203.22632395666693,0,159,2,2,False,T30
6.40007329,127258,1184.8405975927744,0,160,2,2,False,T30
6.439469099,127338,1182.1265438244411,0,161,2,2,False,T30
6.479648352,127680,763.6180522768739,0,162,2,2,False,T30
6.519822598,128018,409.7356004569528,0,163,2,2,False,T30
6.559498787,128303,143.1206984664809,0,164,2,2,False,T30
6.600212574,128351,78.3265433454628,0,165,2,2,False,T30
6.640315771,128199,204.3411057558208,0,166,2,2,False,T30
6.679837465,128127,275.3400914411333,0,167,2,2,False,T30
6.71951437,128233,155.21874946635418,0,168,2,2,False,T30
6.760085821,128493,-111.8429031284303,0,169,2,2,False,T30
6.79966116,128786,-443.6152832044692,0,170,2,2,False,T30
6.839477301,129079,-708.6998778477532,0,171,2,2,False,T30
6.879922628,129291,-939.616712039078,0,172,2,2,False,T30
6.919552088,129448,-1242.2313402145862,0,173,2,2,False,T30
6.959934235,129512,-1049.92010277474,0,174,2,2,False,T30
7.000003576,128180,22.724454632453,0,175,2,2,False,T30
7.040274858,127272,978.5013084771168,0,176,2,2,False,T30
7.079962492,127259,1046.3182388077144,0,177,2,2,False,T30
7.119492292,127496,740.1733152727442,0,178,2,2,False,T30
7.160378456,127712,506.69737917515545,0,179,2,2,False,T30
7.199667692,127906,313.5012087181487,0,180,2,2,False,T30
7.24027729,127992,226.3280458860193,0,181,2,2,False,T30
7.280192375,127899,284.9845489853444,0,182,2,2,False,T30
7.319774151,127869,318.3983388701606,0,183,2,2,False,T30
7.359969378,127974,200.6852970705319,0,184,2,2,False,T30
7.400524855,128206,-35.07799965383053,0,185,2,2,False,T30
7.43945694,128466,-318.3862760339348,0,186,2,2,False,T30
7.479660034,128707,-549.5556698241595,0,187,2,2,False,T30
7.520540953,128896,-724.7186404071956,0,188,2,2,False,T30
7.560456753,129051,-988.7651804976402,0,189,2,2,False,T30
7.599685907,129220,-1026.5918550894078,0,190,2,2,False,T30
7.640268564,128455,-303.9240145591152,0,191,2,2,False,T30
7.680047035,127385,657.1589511103836,0,192,2,2,False,T30
7.719589949,127217,952.1247717224576,0,193,2,2,False,T30
7.759587049,127368,745.344335843796,0,194,2,2,False,T30
7.799685955,127543,567.6710680533454,0,195,2,2,False,T30
7.839463234,127658,442.6202068581048,0,196,2,2,False,T30
7.879694223,127803,318.3752456938407,0,197,2,2,False,T30
7.920513391,127827,285.13607800431794,0,198,2,2,False,T30
7.960162163,127809,291.769333965861,0,199,2,2,False,T30
7.999468327,127914,198.0100030208825,0,200,2,2,False,T30
8.039467096,128107,6.85109961826079,0,201,2,2,False,T30
8.079690695,128329,-224.70648617582933,0,202,2,2,False,T30
8.119455099,128590,-487.8779038334816,0,203,2,2,False,T30
8.16023469,128820,-707.4224355498534,0,204,2,2,False,T30
8.199753523,129024,-893.1837148469501,0,205,2,2,False,T30
8.239450693,129187,-1172.794223074257,0,206,2,2,False,T30
8.27959919,129342,-1152.694603693103,0,207,2,2,False,T30
8.31974864,128428,-346.6534239245589,0,208,2,2,False,T30
8.359657526,127434,598.6137771311244,0,209,2,2,False,T30
8.399632931,127284,843.320686045577,0,210,2,2,False,T30
8.449476719,127433,650.7768737926315,0,211,2,2,False,T30
8.489468098,127567,495.9964985336496,0,212,2,2,False,T30
8.529965401,127707,363.0627451525348,0,213,2,2,False,T30
8.569945574,127839,238.1212672593492,0,214,2,2,False,T30
8.610165358,127845,215.39152677354627,0,215,2,2,False,T30
8.650107145,127807,252.67322971109053,0,216,2,2,False,T30
8.689464808,127829,236.40104981161585,0,217,2,2,False,T30
8.730338812,127941,110.4219013866208,0,218,2,2,False,T30
8.769453287,128170,-107.82814037855444,0,219,2,2,False,T30
8.810124397,128389,-335.1815353370281,0,220,2,2,False,T30
8.849793196,128536,-478.6374727402922,0,221,2,2,False,T30
8.889474154,128636,-559.4520014377799,0,222,2,2,False,T30
8.929787159,128740,-714.7588375741486,0,223,2,2,False,T30
8.969501257,128834,-765.4007976048609,0,224,2,2,False,T30
9.009990692,128388,-258.6782277941915,0,225,2,2,False,T30
9.049523592,127470,521.6541312172928,0,226,2,2,False,T30
9.089567423,127303,801.7173098171593,0,227,2,2,False,T30
9.129465103,127459,645.4050882879548,0,228,2,2,False,T30
9.170198441,127536,544.9696475743896,0,229,2,2,False,T30
9.209525347,127597,486.7200902860896,0,230,2,2,False,T30
9.249528885,127749,385.7852453405147,0,231,2,2,False,T30
9.28952837,127744,366.921992156217,0,232,2,2,False,T30
9.329589605,127737,393.3563269342563,0,233,2,2,False,T30
9.370164156,127820,324.4614268702771,0,234,2,2,False,T30
9.40952158,128001,156.5533184536166,0,235,2,2,False,T30
9.449743271,128229,-66.78029682139885,0,236,2,2,False,T30
9.489458561,128518,-341.2659702963475,0,237,2,2,False,T30
9.530035496,128792,-612.9923971126962,0,238,2,2,False,T30
9.570037603,128985,-775.7580489825218,0,239,2,2,False,T30
9.6097579,129175,-955.4897303293276,0,240,2,2,False,T30
9.649743557,129378,-1276.0704971060431,0,241,2,2,False,T30
9.689466238,129477,-1105.447953521534,0,242,2,2,False,T30
9.730296373,128174,-46.83519887904593,0,243,2,2,False,T30
9.769828796,127308,896.4568129217582,0,244,2,2,False,T30
9.809613228,127288,975.2929586411708,0,245,2,2,False,T30
9.849604368,127526,691.6292947117615,0,246,2,2,False,T30
9.889476538,127736,465.8874800229895,0,247,2,2,False,T30
9.92960453,127961,272.01700963797725,0,248,2,2,False,T30
9.9694736,128062,156.26450840033644,0,249,2,2,False,T30
10.01019835,128063,139.33388290902585,0,250,2,2,False,T30
10.05016732,128085,136.96805132589,0,251,2,2,False,T30
10.08945966,128100,92.77183912988404,0,252,2,2,False,T30
10.13037324,128231,-25.80499668769062,0,253,2,2,False,T30
10.16950488,128413,-229.6427561833416,0,254,2,2,False,T30
10.21020818,128630,-451.4737927310188,0,255,2,2,False,T30
10.24950981,128783,-593.6095415536779,0,256,2,2,False,T30
10.28990316,128956,-788.9695077995125,0,257,2,2,False,T30
10.33011055,129155,-1095.0900560046332,0,258,2,2,False,T30
10.36949611,129123,-831.3609372419216,0,259,2,2,False,T30
10.40953875,127778,259.822212677217,0,260,2,2,False,T30
10.44977665,127055,1035.1711872467476,0,261,2,2,False,T30
10.48946285,127275,884.2306383819965,0,262,2,2,False,T30
10.5296042,127556,525.244646010908,0,263,2,2,False,T30
10.56954622,127710,346.6329576382429,0,264,2,2,False,T30
10.61030746,127874,198.0395899649397,0,265,2,2,False,T30
10.65022182,127904,168.9389752411838,0,266,2,2,False,T30
10.68946409,127714,305.7235495094893,0,267,2,2,False,T30
10.73019314,127662,380.5818845337409,0,268,2,2,False,T30
10.76983714,127743,273.3760263609184,0,269,2,2,False,T30
10.81994605,127955,57.74782800020207,0,270,2,2,False,T30
