session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
15,1,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.49808423477125585,12,0.8,1.3,0.5,5.0,0.9098882954757469,0.9959621108034574,1472,1472,1399,True,True,True,ok
15,2,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.490516691687896,12,0.8,1.3,0.5,5.0,0.8118141226996184,0.9882774448228137,1472,1472,1431,True,True,True,ok
15,3,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4980820600293869,12,0.8,1.3,0.5,5.0,0.7787750596229733,0.9536165378884962,1472,1472,1417,True,True,True,ok
15,4,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5021019419840127,13,0.8,1.3,0.5,5.0,0.8291701399709112,0.9703686261108064,1472,1472,1389,True,True,True,ok
15,5,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.47599885444253714,12,0.8,1.3,0.5,5.0,0.7896660772612556,0.9274886870054195,1472,1472,1422,True,True,True,ok
15,6,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.457700714728732,11,0.8,1.3,0.5,5.0,0.5893878416350882,0.9518683543871773,1472,1472,1402,True,True,True,ok
15,7,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5190059170682341,13,0.8,1.3,0.5,5.0,0.9206015097856391,0.9972000277137464,1472,1472,1407,True,True,True,ok
15,8,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4975892344307113,12,0.8,1.3,0.5,5.0,0.8298185783987673,0.9856167468630233,1472,1472,1401,True,True,True,ok
15,9,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.46351741437078037,12,0.8,1.3,0.5,5.0,0.7912182241311784,0.9761059667815044,1472,1472,1422,True,True,True,ok
15,10,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4633970223249695,12,0.8,1.3,0.5,5.0,0.7460472286644031,0.9460612728035217,1472,1472,1429,True,True,True,ok
15,11,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5186866772926104,13,0.8,1.3,0.5,5.0,0.9087077676044607,0.9944009678039828,1472,1472,1402,True,True,True,ok
15,12,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.49664976220127127,12,0.8,1.3,0.5,5.0,0.7436615042365947,0.972971560576083,1472,1472,1415,True,True,True,ok
15,13,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4746851791356479,12,0.8,1.3,0.5,5.0,0.7686158801317814,0.9676635547025878,1472,1472,1404,True,True,True,ok
15,14,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5243036873748024,13,0.8,1.3,0.5,5.0,0.7437347516658704,0.9847792098924375,1472,1472,1416,True,True,True,ok
15,15,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5299532710943872,13,0.8,1.3,0.5,5.0,0.8810535537519325,0.9607229987359102,1472,1472,1414,True,True,True,ok
15,16,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5009474475668583,13,0.8,1.3,0.5,5.0,0.7739782646850252,0.9875071072593833,1472,1472,1389,True,True,True,ok
15,17,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5410264542903679,14,0.8,1.3,0.5,5.0,0.8156273619911308,0.9806456995321138,1472,1472,1427,True,True,True,ok
15,18,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5238516883323558,13,0.8,1.3,0.5,5.0,0.8141832743390847,0.994634734040738,1472,1472,1430,True,True,True,ok
15,19,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5161456783972006,13,0.8,1.3,0.5,5.0,0.7841966773302154,0.9754278329340986,1472,1472,1435,True,True,True,ok
15,20,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.497080993814052,12,0.8,1.3,0.5,5.0,0.8635729579163046,0.9468520869823578,1472,1472,1426,True,True,True,ok
15,21,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5070357458188245,13,0.8,1.3,0.5,5.0,0.8143668160027566,0.97036779024551,1472,1472,1410,True,True,True,ok
15,22,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5257340630360088,13,0.8,1.3,0.5,5.0,0.8127242148165877,0.9366951221222464,1472,1472,1378,True,True,True,ok
15,24,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.49015085949021386,12,0.8,1.3,0.5,5.0,0.7887153584136195,0.9822356064253679,1472,1472,1378,True,True,True,ok
15,25,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4835866929918049,12,0.8,1.3,0.5,5.0,0.773306969742822,0.9527151138620688,1472,1472,1423,True,True,True,ok
15,27,Drowsy,60,processed,24.99562576559584,1500,8,0.16,4,0.45499359879780743,11,0.8,1.3,0.5,5.0,0.7761617649589713,0.916209615020839,1472,1472,1429,True,True,True,ok
15,29,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.4613712549267272,12,0.8,1.3,0.5,5.0,0.7406905025881791,0.9139419318788634,1472,1472,1412,True,True,True,ok
15,30,Drowsy,60,processed,24.99562576559584,1500,8,0.16,4,0.4599512450661324,11,0.8,1.3,0.5,5.0,0.7884618155480201,0.9675006827592989,1472,1472,1399,True,True,True,ok
15,31,Drowsy,60,processed,24.99562576559584,1500,8,0.16,4,0.4748097283052797,12,0.8,1.3,0.5,5.0,0.7314685111215216,0.9248210571258083,1472,1472,1430,True,True,True,ok
15,32,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.47188536493331423,12,0.8,1.3,0.5,5.0,0.7036814520938894,0.9482181995820979,1472,1472,1405,True,True,True,ok
15,33,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.47983910059511037,12,0.8,1.3,0.5,5.0,0.7792406614861962,0.9555862518291849,1472,1472,1421,True,True,True,ok
15,36,Awake,60,processed,24.99562576559584,1500,8,0.16,4,0.5315228532478558,13,0.8,1.3,0.5,5.0,0.9847525329422712,0.9781956088039628,1472,1472,1408,True,True,True,ok
