rule,session,input_windows,simplex_success,rqa_success,lle_success,LLE_pass_R2_090,LLE_pass_R2_095,simplex_errors,simplex_error_sessions,rqa_errors,rqa_error_sessions,lle_errors,lle_error_sessions,windows_missing_any_metric,identical_signal_reused
T60,01,20,20,20,20,20,19,0,,0,,0,,0,0
T60,04,40,40,40,40,40,37,0,,0,,0,,0,0
T60,05,44,44,44,44,43,39,0,,0,,0,,0,0
T60,06,41,41,41,41,40,37,0,,0,,0,,0,0
T60,07,40,40,40,40,39,30,0,,0,,0,,0,0
T60,08,42,42,42,42,42,39,0,,0,,0,,0,0
T60,09,63,63,63,63,56,40,0,,0,,0,,0,0
T60,10,32,32,32,32,32,28,0,,0,,0,,0,0
T60,11,33,33,33,33,33,27,0,,0,,0,,0,0
T60,12,43,43,43,43,42,22,0,,0,,0,,0,0
T60,13,43,43,43,43,43,43,0,,0,,0,,0,0
T60,14,39,39,39,39,31,24,0,,0,,0,,0,0
T60,15,30,30,30,30,30,28,0,,0,,0,,0,0
T60,17,36,36,36,36,36,35,0,,0,,0,,0,0
T60,18,37,37,37,37,35,24,0,,0,,0,,0,0
T60,19,39,39,39,39,39,35,0,,0,,0,,0,0
T60,21,32,32,32,32,29,20,0,,0,,0,,0,0
T60,22,35,35,35,35,35,33,0,,0,,0,,0,0
T60,23,60,60,60,60,60,58,0,,0,,0,,0,0
T60,25,38,38,38,38,37,28,0,,0,,0,,0,0
