window_size_s,horizon_seconds,n_paired_sessions,mean_delta_cc_processed,sd_delta_cc_processed,median_delta_cc_processed,iqr_delta_cc_processed,fraction_positive_delta_cc_processed,mean_delta_cc_raw,sd_delta_cc_raw,median_delta_cc_raw,iqr_delta_cc_raw,fraction_positive_delta_cc_raw,mean_representation_difference_cc,sd_representation_difference_cc,median_representation_difference_cc,iqr_representation_difference_cc,direction_agreement_cc,mean_delta_nrmse_processed,sd_delta_nrmse_processed,median_delta_nrmse_processed,iqr_delta_nrmse_processed,fraction_positive_delta_nrmse_processed,mean_delta_nrmse_raw,sd_delta_nrmse_raw,median_delta_nrmse_raw,iqr_delta_nrmse_raw,fraction_positive_delta_nrmse_raw,mean_representation_difference_nrmse,sd_representation_difference_nrmse,median_representation_difference_nrmse,iqr_representation_difference_nrmse,direction_agreement_nrmse
60,0.04,20,-0.005184996659490593,0.007129647290253149,-0.005804791239580109,0.009533903762433932,0.25,-0.00027109250768099226,0.010294935652188223,-0.0005683069786210915,0.012981295298141793,0.45,0.004913904151809601,0.00919373918365678,0.0051344595277748595,0.010091009707243692,0.7,0.019322658707115713,0.02534821004573592,0.022733803344108558,0.03790223861311158,0.75,0.00046715559521678663,0.028752284583250624,0.0007210225827584682,0.03961564860308266,0.55,-0.018855503111898923,0.026142375224952743,-0.014521754553250166,0.031410587901866245,0.7
60,0.08,20,-0.008499226716691172,0.012807012261155031,-0.010127086696717413,0.015562726668770482,0.25,0.0020186342115837918,0.02231425366108386,-0.0002696397736215994,0.027225590403838984,0.5,0.010517860928274964,0.018604286640394613,0.011496820651909712,0.019991115617716992,0.65,0.02258003121227843,0.03248884226773821,0.027016106402025702,0.04374475305455666,0.75,-0.005013178374551963,0.041717656793337374,-0.0014311278069699673,0.056486441629274145,0.45,-0.02759320958683039,0.034346456186381075,-0.02421952989685605,0.0315422575172981,0.6
60,0.12,20,-0.008026998502621879,0.012522688434273756,-0.010380949782147597,0.015903389603464435,0.25,0.0019409238668370687,0.027229663934406765,-0.0016612713966766557,0.025622807080973836,0.45,0.009967922369458948,0.02077718278977898,0.010348104995456742,0.017790770167883357,0.7,0.02174111169755826,0.031503811696473025,0.025603105134221066,0.04381518943892666,0.75,-0.004182045070026843,0.04523858366614697,0.0024821638079844943,0.042112964199412045,0.55,-0.025923156767585102,0.030932771206742843,-0.029448433125724455,0.0348211182474059,0.8
60,0.16,20,-0.0080116269481389,0.013362325051880015,-0.009660687545249402,0.013828946738196707,0.25,0.003317298679406544,0.025783644652973586,-0.000272842658432082,0.026439009446370898,0.5,0.011328925627545445,0.01902873989330928,0.011157419567031368,0.02828021189810251,0.65,0.02062751969521259,0.0320285148627576,0.023449383044613137,0.03327793104159532,0.75,-0.006174039341302395,0.04253788000717338,-0.004670671880631139,0.041081829998648095,0.45,-0.026801559036514988,0.029032751721829862,-0.021446182992156476,0.04046737314203887,0.7
60,0.2,20,-0.008545798412547795,0.014445352138097696,-0.010220289791316617,0.016670109520234205,0.25,0.003665076180870486,0.028060150095716684,0.00267191974465647,0.040919902367446775,0.5,0.01221087459341828,0.023789419754252132,0.01140855769370458,0.04404386280469219,0.65,0.020966976103078218,0.03321519879045311,0.020808737092776614,0.03917544373683286,0.75,-0.0062243031846491185,0.046515813241089554,-0.0015879951650863144,0.07165740922476586,0.5,-0.027191279287727337,0.038896232131270234,-0.02828972752063158,0.06599691652041177,0.65
60,0.28,20,-0.009186568355566338,0.015619869512079422,-0.014157597706237257,0.0198017816929347,0.3,0.003974213789062819,0.03131393932426162,-0.00245291591719915,0.04615604461483025,0.45,0.013160782144629157,0.023282545472918924,0.016871890344224483,0.03538461636714793,0.75,0.02158434864071315,0.03431815088492203,0.0324364123755618,0.04404105084853084,0.75,-0.00575629253685353,0.04962782105612548,0.002334217527728999,0.06808722595151244,0.5,-0.027340641177566672,0.034818760451283154,-0.021638431159189675,0.041810250228572446,0.75
60,0.4,20,-0.011154432557694438,0.01836827092336718,-0.013353623719021435,0.022952862865471935,0.3,0.006064059113735221,0.030972854284728176,0.000812885311002598,0.03809819822403318,0.5,0.017218491671429657,0.026323095146445923,0.014019529824825072,0.04477703431448868,0.6,0.02311093923475526,0.03528803378079476,0.02868908676095111,0.04690722514960244,0.75,-0.008961198070052906,0.048078152041081984,-0.0032823333385363918,0.06132562579172307,0.5,-0.032072137304808165,0.03945650942436954,-0.030513537278769404,0.0688643467421209,0.65
60,0.6,20,-0.014008049796059708,0.025046418750312112,-0.02094455779790666,0.026169172846636585,0.25,0.007762393435154507,0.03191865470490002,-0.0015236739127739152,0.034722445886746556,0.5,0.021770443231214215,0.02434974118159234,0.015972763791090194,0.03625436780435068,0.65,0.024722962889040127,0.04160922690926607,0.03451253494488224,0.04755713756156507,0.8,-0.010914103857609849,0.04763442952838135,-0.007033481175633904,0.058830493702149794,0.5,-0.03563706674664997,0.03464931404225852,-0.029472757665361587,0.05186636134736572,0.7
60,0.8,20,-0.01990117354157997,0.03293591334313278,-0.0212982283784085,0.040874267160358635,0.25,-0.003237671684229565,0.038200770149215454,-0.011277870541729018,0.036433454626733336,0.4,0.016663501857350403,0.028782741805937068,0.010471465215654396,0.05173209005144552,0.75,0.027386810768813045,0.04509664756499815,0.02850272584006447,0.056070305282459626,0.75,0.00390491155049974,0.04913025914699146,0.010468568495451913,0.05106434513148997,0.6,-0.02348189921831331,0.03400029198301506,-0.021402062817687695,0.05382552910014313,0.75
60,1.0,20,-0.021073524179079976,0.03934699843479051,-0.02762815679454439,0.04810852497957091,0.25,0.004369498113602416,0.04971012376870881,0.0019257231217382764,0.07690266760300618,0.55,0.025443022292682395,0.03548044547512542,0.021274658395384505,0.05681586299757027,0.7,0.026067485308229006,0.045505831117326256,0.0324299737807322,0.052154829149415494,0.75,-0.0039596681000237,0.05338541811564599,-0.009873514502754754,0.07173739555486236,0.45,-0.030027153408252703,0.03625386674868259,-0.03700560546363163,0.05384902711985812,0.7
