analysis,representation,window_size,metric,comparison,n_sessions,mean_difference,median_difference,ci95_lower,ci95_upper,effect_size_dz,sign_consistency,same_direction_fraction,p_raw,p_adjusted,fdr_significant,fdr_family
state_effect,Processed,60 s,CC,Drowsy - Awake,20,-0.02625188360195991,-0.02572406329329724,-0.042600530269146154,-0.007404122039968117,-0.6362973354340665,0.75,,0.01130988690113099,0.02899171008289917,True,primary_state_effect
state_effect,Processed,60 s,NRMSE,Drowsy - Awake,20,0.02473013421005149,0.02693234168706099,0.007253162421590463,0.03942270138356637,0.6592134511522424,0.75,,0.009439905600943991,0.02899171008289917,True,primary_state_effect
state_effect,Processed,120 s,CC,Drowsy - Awake,20,-0.02653064452544119,-0.032905389672202745,-0.04330123578885355,-0.008217665791862712,-0.6405745226566885,0.8,,0.012079879201207988,0.02899171008289917,True,primary_state_effect
state_effect,Processed,120 s,NRMSE,Drowsy - Awake,20,0.026017191474761985,0.03166740915534055,0.009686793810751784,0.04067414121225939,0.7104792714220666,0.8,,0.006789932100678993,0.02899171008289917,True,primary_state_effect
state_effect,Processed,180 s,CC,Drowsy - Awake,20,-0.027471476879383942,-0.04176558769286548,-0.04595717006449296,-0.007832002695372533,-0.6120439514571913,0.75,,0.014949850501494985,0.02989970100298997,True,primary_state_effect
state_effect,Processed,180 s,NRMSE,Drowsy - Awake,20,0.02676681433021998,0.033932631117038425,0.009581490952572436,0.042613311738863,0.6898209667808602,0.75,,0.008079919200807991,0.02899171008289917,True,primary_state_effect
state_effect,Raw,60 s,CC,Drowsy - Awake,20,0.002621473176555167,-0.000990428911553265,-0.017273890767565435,0.024120120396299783,0.0541540984878805,0.45,,0.8205017949820502,0.8205017949820502,False,primary_state_effect
state_effect,Raw,60 s,NRMSE,Drowsy - Awake,20,-0.0029761307232517575,-0.011431456209678559,-0.02474169649277839,0.015823240654366154,-0.06281674589346013,0.55,,0.8019619803801962,0.8205017949820502,False,primary_state_effect
state_effect,Raw,120 s,CC,Drowsy - Awake,20,0.01597353962502331,0.024946782390133204,-0.00610936370037389,0.038763147881805946,0.30622322525091983,0.6,,0.18869811301886982,0.3234824794609197,False,primary_state_effect
state_effect,Raw,120 s,NRMSE,Drowsy - Awake,20,-0.015391392208389374,-0.01936275642432067,-0.03958647552661777,0.007728304834878488,-0.27703683192304096,0.6,,0.23269767302326977,0.3490465095349047,False,primary_state_effect
state_effect,Raw,180 s,CC,Drowsy - Awake,20,0.01275886518663733,0.001215228507332744,-0.013900367597917176,0.03991808993884878,0.20040087620846908,0.6,,0.3819061809381906,0.45828741712582877,False,primary_state_effect
state_effect,Raw,180 s,NRMSE,Drowsy - Awake,20,-0.01467661237208862,-0.004663155279056919,-0.04475941562738446,0.015458637551026567,-0.20720968607085224,0.5,,0.3662763372366276,0.45828741712582877,False,primary_state_effect
window_robustness,Processed,60 s - 120 s,CC,Difference between state effects,20,0.00027876092348128045,0.0014212741025638187,-0.005560690342528253,0.005710311098573668,0.021056475884308277,0.55,0.95,0.926770732292677,0.9318006819931801,False,window_robustness
window_robustness,Processed,60 s - 180 s,CC,Difference between state effects,20,0.001219593277424036,4.221559199585334e-05,-0.007331939682512668,0.01038774641863528,0.05863623102684194,0.5,0.9,0.7980420195798043,0.9318006819931801,False,window_robustness
window_robustness,Processed,120 s - 180 s,CC,Difference between state effects,20,0.0009408323539427555,0.0029615160846077626,-0.005956867296059322,0.008099282139069087,0.05688056975773981,0.6,0.95,0.8041619583804162,0.9318006819931801,False,window_robustness
window_robustness,Processed,60 s - 120 s,NRMSE,Difference between state effects,20,-0.001287057264710495,-0.0014921043845677051,-0.007013798947384071,0.004659042066257825,-0.09429176436159799,0.5,0.95,0.6805531944680553,0.9318006819931801,False,window_robustness
window_robustness,Processed,60 s - 180 s,NRMSE,Difference between state effects,20,-0.002036680120168488,-0.00180774443113485,-0.010110861980706919,0.005982356545630682,-0.1073778832832992,0.55,1.0,0.6362236377636223,0.9318006819931801,False,window_robustness
window_robustness,Processed,120 s - 180 s,NRMSE,Difference between state effects,20,-0.0007496228554579931,-0.002531775621114951,-0.006885681892862172,0.005049497654648906,-0.05349930442130772,0.6,0.95,0.8195318046819532,0.9318006819931801,False,window_robustness
window_robustness,Raw,60 s - 120 s,CC,Difference between state effects,20,-0.013352066448468142,-0.010206900918872164,-0.022136277417510775,-0.0048260677391501194,-0.6642341135863512,0.7,0.85,0.007019929800701993,0.08423915760842392,False,window_robustness
window_robustness,Raw,60 s - 180 s,CC,Difference between state effects,20,-0.010137392010082163,-0.01445643694438975,-0.02574860633953556,0.007100409134820565,-0.2640456555625717,0.7,0.65,0.25516744832551674,0.7655023449765502,False,window_robustness
window_robustness,Raw,120 s - 180 s,CC,Difference between state effects,20,0.0032146744383859784,-0.001411433640685411,-0.008512938141071385,0.017396845076097407,0.10555602740308011,0.5,0.8,0.6856131438685613,0.9318006819931801,False,window_robustness
window_robustness,Raw,60 s - 120 s,NRMSE,Difference between state effects,20,0.012415261485137616,0.007818194558293745,0.003243707146626433,0.022812928166567544,0.541768197630902,0.85,0.95,0.015179848201517986,0.09107908920910791,False,window_robustness
window_robustness,Raw,60 s - 180 s,NRMSE,Difference between state effects,20,0.011700481648836863,0.020881312137156605,-0.006435776595950787,0.02887156716164657,0.28354151455162985,0.6,0.85,0.2200577994220058,0.7655023449765502,False,window_robustness
window_robustness,Raw,120 s - 180 s,NRMSE,Difference between state effects,20,-0.0007147798363007524,0.0007179398193440378,-0.0163689535847836,0.013116518310324376,-0.020699328330156246,0.5,0.8,0.9318006819931801,0.9318006819931801,False,window_robustness
representation_interaction,Processed - Raw,60 s,CC,State-effect interaction,20,-0.028873356778515075,-0.02350303489759692,-0.042955133746528346,-0.014750220578100432,-0.8753399975132662,0.8,0.7,0.001089989100108999,0.0023099769002309974,True,representation_interaction
representation_interaction,Processed - Raw,60 s,NRMSE,State-effect interaction,20,0.02770626493330325,0.02497797603379409,0.014335047338346443,0.04107773214235985,0.8845193367994785,0.85,0.7,0.0012799872001279988,0.0023099769002309974,True,representation_interaction
representation_interaction,Processed - Raw,120 s,CC,State-effect interaction,20,-0.042504184150464495,-0.0392455308161645,-0.06243128664066305,-0.0226214345194482,-0.9137078595745309,0.85,0.6,0.0007599924000759993,0.0023099769002309974,True,representation_interaction
representation_interaction,Processed - Raw,120 s,NRMSE,State-effect interaction,20,0.041408583683151354,0.036647562301742265,0.019942439171677803,0.06377538723755866,0.8068448290495459,0.8,0.6,0.0015399846001539984,0.0023099769002309974,True,representation_interaction
representation_interaction,Processed - Raw,180 s,CC,State-effect interaction,20,-0.040230342066021274,-0.021790597644685716,-0.06667069605201661,-0.014572428293655753,-0.6628872352307617,0.75,0.55,0.008129918700812993,0.009755902440975591,True,representation_interaction
representation_interaction,Processed - Raw,180 s,NRMSE,State-effect interaction,20,0.0414434267023086,0.022740183482651888,0.013348879031436323,0.07008424771759467,0.6257682645330331,0.75,0.65,0.011989880101198988,0.011989880101198988,True,representation_interaction
