session,representation,state,window_size,window_id,N,sampling_rate,tau_samples,rho_star,median_NN_distance,rho_NN,attractor_diameter,rho_D,peak_C2,peak_C2_sd,boundary_flag
23,Processed,Awake,60,1,1500,24.997500250004045,4,69.5856502117081,129.34136943549032,0.5379999494006773,2893.215288493737,0.02405132120255583,329.6666666666667,11.930353445448853,False
23,Processed,Awake,60,2,1500,24.997500250004045,4,69.5856502117081,129.2179480676287,0.5385138152425165,3007.300566450699,0.023138907692833326,315.0,6.244997998398398,False
23,Processed,Awake,60,3,1500,24.997500250004045,4,69.5856502117081,137.92141263318848,0.5045311593260428,3245.293016335994,0.02144202383619332,342.3333333333333,26.501572280401277,False
23,Processed,Awake,60,4,1500,24.997500250004045,4,69.5856502117081,129.13232159601696,0.5388708988707165,3390.2528705211776,0.0205252094369618,323.0,8.717797887081348,False
23,Processed,Awake,60,5,1500,24.997500250004045,4,88.40539154424945,177.83720444740766,0.4971141545940903,3534.1049283934312,0.025014931173658633,336.0,11.789826122551595,False
23,Processed,Awake,60,6,1500,24.997500250004045,4,69.5856502117081,159.84979156976084,0.4353189924638712,3615.849219305344,0.019244621661817108,306.6666666666667,16.072751268321593,False
23,Processed,Awake,60,7,1500,24.997500250004045,4,112.315013660346,200.6305116161147,0.5598102340248672,4202.5741154493735,0.02672529039939046,332.3333333333333,21.07921567168317,False
23,Processed,Awake,60,8,1500,24.997500250004045,4,88.40539154424945,168.23558573348504,0.5254856822283679,3825.8085869996335,0.023107635819695,325.3333333333333,9.451631252505216,False
23,Processed,Awake,60,9,1500,24.997500250004045,4,112.315013660346,208.22143994431573,0.5394017719327183,4331.254675693887,0.025931288291735605,302.0,7.0,False
23,Processed,Awake,60,10,1500,24.997500250004045,4,112.315013660346,208.498292724911,0.5386855316294242,4480.346822487473,0.025068374862548943,312.0,27.622454633866266,False
23,Processed,Awake,60,11,1500,24.997500250004045,4,142.69109692489405,267.7877282652436,0.5328515158228558,4623.2696181084875,0.03086367629653256,329.6666666666667,15.01110699893027,False
