Metric,Awake,Drowsy,Median Delta,95% CI,r_rb,q_BH,Direction,Evidence class
0V,27.40323206245732,27.644586833328557,2.318792506014674,"[-2.635, 5.633]",0.19047619047619047,0.7123575210571289,Higher in Drowsy,No clear state effect
1V,41.84236825262518,41.93870752831445,0.02747680367087746,"[-1.666, 2.128]",0.02857142857142857,0.9272785186767578,Higher in Drowsy,No clear state effect
2V,30.341902077036348,28.17765567765568,-2.2974541693226147,"[-4.684, 1.785]",-0.2571428571428571,0.7123575210571289,Lower in Drowsy,No clear state effect
