session_id,Awake,Drowsy,metric,delta_drowsy_minus_awake
1,34.61538461538462,42.85714285714285,0V,8.241758241758227
4,50.99337748344372,29.585798816568047,0V,-21.407578666875676
5,60.64583333333333,60.7646229739253,0V,0.11878964059197017
6,20.428507662550217,25.675675675675677,0V,5.24716801312546
7,16.56441717791411,44.04761904761904,0V,27.483201869704928
8,15.107913669064748,20.512820512820515,0V,5.404906843755766
9,23.03664921465969,26.701570680628272,0V,3.6649214659685825
10,20.95200834637454,26.185462999517483,0V,5.2334546531429424
11,16.89189189189189,27.511395888879335,0V,10.619503996987444
12,27.762438967681934,23.494152046783626,0V,-4.2682869208983085
13,60.64516129032258,61.61782483638334,0V,0.9726635460607653
14,22.83467202141901,48.91304347826087,0V,26.078371456841857
15,44.56091311437223,27.77777777777778,0V,-16.783135336594448
17,36.907794192562406,19.745222929936304,0V,-17.162571262626102
18,38.53951890034364,29.04837430610626,0V,-9.491144594237376
19,25.824175824175825,26.16286561010179,0V,0.33868978592596477
21,66.26932389644254,58.73015873015873,0V,-7.539165166283816
22,27.044025157232703,26.04133031966419,0V,-1.0026948375685123
23,49.35200185142328,61.315002300966405,0V,11.963000449543124
25,21.0625446515555,26.923076923076927,0V,5.8605322715214285
1,42.94871794871795,36.64596273291925,1V,-6.3027552157986975
4,33.333333333333336,43.45238095238095,1V,10.119047619047613
5,29.523952868323732,27.94221282593376,1V,-1.5817400423899741
6,44.61047254150702,43.87096774193548,1V,-0.7395047995715416
7,41.91616766467065,35.714285714285715,1V,-6.201881950384937
8,42.06896551724138,46.15384615384616,1V,4.08488063660478
9,41.43646408839779,43.45549738219895,1V,2.019033293801158
10,43.67715617715618,44.582933844678806,1V,0.9057776675226279
11,42.5531914893617,42.822966507177036,1V,0.2697750178153342
12,41.76856884057971,43.343499197431775,1V,1.5749303568520645
13,27.97202797202797,27.75720656155439,1V,-0.21482141047357928
14,43.067653890824616,33.51351351351352,1V,-9.554140377311093
15,36.89407884644884,43.88888888888889,1V,6.994810042440051
17,42.49092074343089,41.77215189873418,1V,-0.7187688446967115
18,36.77248677248677,40.58823529411765,1V,3.81574852163088
19,43.22916666666667,41.47930373517069,1V,-1.7498629314959828
21,22.67379359770664,30.0,1V,7.326206402293359
22,41.50943396226415,43.74555539752525,1V,2.2361214352611043
23,34.37258687258687,26.603006596103697,1V,-7.769580276483175
25,46.54351277240583,42.10526315789473,1V,-4.438249614511101
1,22.43589743589744,20.496894409937884,2V,-1.9390030259595576
4,13.245033112582782,27.2189349112426,2V,13.973901798659817
5,10.693515844443567,10.264004680415386,2V,-0.429511164028181
6,37.94326241134752,27.814569536423843,2V,-10.128692874923676
7,37.42331288343559,20.23809523809524,2V,-17.18521764534035
8,38.19444444444444,33.333333333333336,2V,-4.861111111111107
9,33.51648351648352,29.629629629629623,2V,-3.8868538868538955
10,35.45077924639968,30.920314253647582,2V,-4.530464992752094
11,36.66666666666666,29.584746463727356,2V,-7.081920202939301
12,30.47547082073936,32.26142278773858,2V,1.785951966999221
13,10.96774193548387,12.751677852348994,2V,1.7839359168651239
14,32.73560398325877,12.834224598930485,2V,-19.901379384328287
15,18.88259489103767,28.333333333333336,2V,9.450738442295666
17,16.307048214942952,33.12101910828025,2V,16.8139708933373
18,23.651863600317206,28.626373626373624,2V,4.974510026056418
19,30.208333333333336,32.86299920655911,2V,2.654665873225774
21,11.095246868091376,11.64021164021164,2V,0.5449647721202631
22,31.70731707317073,29.05141176048506,2V,-2.6559053126856718
23,15.612857647474392,11.206695665682773,2V,-4.4061619817916196
25,32.859848484848484,28.021978021978025,2V,-4.837870462870459
