metric,source_column,n_paired_sessions,awake_median,drowsy_median,median_delta_drowsy_minus_awake,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,q_BH,BH_supported,CI_excludes_zero
0V,pct_0v,20,27.40323206245732,27.644586833328557,2.318792506014674,-2.6354908792334104,5.632719557638597,20000,20260902,85.0,0.47490501403808594,0.19047619047619047,13,7,0,0.7123575210571289,False,False
1V,pct_1v,20,41.84236825262518,41.93870752831445,0.02747680367087746,-1.6658014869429785,2.127577364531131,20000,20260903,102.0,0.9272785186767578,0.02857142857142857,10,10,0,0.9272785186767578,False,False
2V,pct_2v,20,30.341902077036348,28.17765567765568,-2.2974541693226147,-4.6841677278112765,1.7849439419321724,20000,20260904,78.0,0.3299827575683594,-0.2571428571428571,8,12,0,0.7123575210571289,False,False
