session_id,state,pct_0v,pct_1v,pct_2v
1,Awake,34.61538461538462,42.94871794871795,22.43589743589744
1,Drowsy,42.85714285714285,36.64596273291925,20.496894409937884
4,Awake,50.99337748344372,33.333333333333336,13.245033112582782
4,Drowsy,29.585798816568047,43.45238095238095,27.2189349112426
5,Awake,60.64583333333333,29.523952868323732,10.693515844443567
5,Drowsy,60.7646229739253,27.94221282593376,10.264004680415386
6,Awake,20.428507662550217,44.61047254150702,37.94326241134752
6,Drowsy,25.675675675675677,43.87096774193548,27.814569536423843
7,Awake,16.56441717791411,41.91616766467065,37.42331288343559
7,Drowsy,44.04761904761904,35.714285714285715,20.23809523809524
8,Awake,15.107913669064748,42.06896551724138,38.19444444444444
8,Drowsy,20.512820512820515,46.15384615384616,33.333333333333336
9,Awake,23.03664921465969,41.43646408839779,33.51648351648352
9,Drowsy,26.701570680628272,43.45549738219895,29.629629629629623
10,Awake,20.95200834637454,43.67715617715618,35.45077924639968
10,Drowsy,26.185462999517483,44.582933844678806,30.920314253647582
11,Awake,16.89189189189189,42.5531914893617,36.66666666666666
11,Drowsy,27.511395888879335,42.822966507177036,29.584746463727356
12,Awake,27.762438967681934,41.76856884057971,30.47547082073936
12,Drowsy,23.494152046783626,43.343499197431775,32.26142278773858
13,Awake,60.64516129032258,27.97202797202797,10.96774193548387
13,Drowsy,61.61782483638334,27.75720656155439,12.751677852348994
14,Awake,22.83467202141901,43.067653890824616,32.73560398325877
14,Drowsy,48.91304347826087,33.51351351351352,12.834224598930485
15,Awake,44.56091311437223,36.89407884644884,18.88259489103767
15,Drowsy,27.77777777777778,43.88888888888889,28.333333333333336
17,Awake,36.907794192562406,42.49092074343089,16.307048214942952
17,Drowsy,19.745222929936304,41.77215189873418,33.12101910828025
18,Awake,38.53951890034364,36.77248677248677,23.651863600317206
18,Drowsy,29.04837430610626,40.58823529411765,28.626373626373624
19,Awake,25.824175824175825,43.22916666666667,30.208333333333336
19,Drowsy,26.16286561010179,41.47930373517069,32.86299920655911
21,Awake,66.26932389644254,22.67379359770664,11.095246868091376
21,Drowsy,58.73015873015873,30.0,11.64021164021164
22,Awake,27.044025157232703,41.50943396226415,31.70731707317073
22,Drowsy,26.04133031966419,43.74555539752525,29.05141176048506
23,Awake,49.35200185142328,34.37258687258687,15.612857647474392
23,Drowsy,61.315002300966405,26.603006596103697,11.206695665682773
25,Awake,21.0625446515555,46.54351277240583,32.859848484848484
25,Drowsy,26.923076923076927,42.10526315789473,28.021978021978025
