Metric,Direction_preserved,Expected_direction_preserved,Same_sign_sessions,n_common,Absolute_delta_min,Absolute_delta_max,Absolute_delta_range,median_delta_30s,ci95_low_30s,ci95_high_30s,abs_ratio_vs_60_30s,median_delta_60s,ci95_low_60s,ci95_high_60s,abs_ratio_vs_60_60s,median_delta_120s,ci95_low_120s,ci95_high_120s,abs_ratio_vs_60_120s,median_delta_180s,ci95_low_180s,ci95_high_180s,abs_ratio_vs_60_180s
Mean_CC,True,True,12,20,0.014698238516020534,0.0427673845300095,0.028069146013988966,-0.014698238516020534,-0.07119744018234575,-0.003889859877842239,0.43395306796582744,-0.033870571730070076,-0.05946482568723216,-0.004348256712285115,1.0,-0.02712428034052905,-0.04904185158324892,-0.015585033107036572,0.800821449271501,-0.0427673845300095,-0.051641154578286386,-0.013331158865044879,1.2626708775642217
Mean_NRMSE,True,True,13,20,0.02027504847661521,0.032094852517358496,0.011819804040743287,0.02027504847661521,0.0008980689060910096,0.055400052695157964,0.6890728911229017,0.029423662921313487,0.004651150672353388,0.05302102988284507,1.0,0.03207537017000878,0.01961323242762597,0.04953059186032083,1.0901215887289983,0.032094852517358496,0.01864687227343831,0.046484101209590345,1.0907837206804762
DET,True,True,12,20,0.016895404449989604,0.02481130561794237,0.007915901167952766,-0.016895404449989604,-0.03176232253474831,0.00020794343938446147,0.9061764286343172,-0.018644718529538862,-0.036353601766089205,-0.006898785813696795,1.0,-0.020089121739592875,-0.039936953073792525,-0.013408943915734994,1.0774698318864746,-0.02481130561794237,-0.04164535293015342,0.000801480903736218,1.330741763606341
LLE,True,True,15,20,0.03248080607360038,0.04984971010910705,0.01736890403550667,-0.03248080607360038,-0.05487877551484571,-0.006559726584234815,0.8645327056420641,-0.037570361261784535,-0.05369761932841827,-0.022975543677125287,1.0,-0.04421390977562112,-0.0590983784594421,-0.021612105658393055,1.1768295084400533,-0.04984971010910705,-0.05839676098715768,-0.021317583182464295,1.326836059993192
