session,window_id,window_size_s,label,representation,fs,tau_samples,tau_seconds,ami_at_tau,tau_found,max_lag_samples
sample_1.csv,3,60,Awake,Raw,50.000000000045475,13,0.25999999999976353,1.1307284548906589,True,50
sample_1.csv,4,60,Awake,Raw,50.000000000045475,18,0.3599999999996726,0.814998660038377,True,50
sample_1.csv,5,60,Awake,Raw,50.000000000045475,22,0.4399999999995998,0.875907504520729,True,50
sample_1.csv,6,60,Awake,Raw,50.000000000045475,21,0.419999999999618,0.7288521935160261,True,50
sample_1.csv,8,60,Awake,Raw,50.000000000045475,16,0.31999999999970896,1.0315434712611307,True,50
sample_1.csv,9,60,Awake,Raw,50.000000000045475,20,0.3999999999996362,0.9836585801809594,True,50
sample_1.csv,10,60,Awake,Raw,50.000000000045475,20,0.3999999999996362,0.7065857724875038,True,50
sample_1.csv,14,60,Awake,Raw,50.000000000045475,21,0.419999999999618,0.8102372737120245,True,50
sample_1.csv,15,60,Awake,Raw,50.000000000045475,13,0.25999999999976353,0.9045575315944774,True,50
sample_1.csv,16,60,Awake,Raw,50.000000000045475,13,0.25999999999976353,0.6165325036125822,True,50
sample_1.csv,22,60,Awake,Raw,50.000000000045475,16,0.31999999999970896,0.5984613096236799,True,50
sample_1.csv,23,60,Awake,Raw,50.000000000045475,17,0.33999999999969077,0.5189997269044948,True,50
sample_1.csv,28,60,Awake,Raw,50.000000000045475,22,0.4399999999995998,1.1053005073959516,True,50
sample_1.csv,29,60,Awake,Raw,50.000000000045475,21,0.419999999999618,1.0159152997787988,True,50
sample_1.csv,2,120,Awake,Raw,50.000000000045475,20,0.3999999999996362,1.039827664057979,True,50
sample_1.csv,3,120,Awake,Raw,50.000000000045475,22,0.4399999999995998,0.7255496585307082,True,50
sample_1.csv,4,120,Awake,Raw,50.000000000045475,20,0.3999999999996362,1.1156880666432567,True,50
sample_1.csv,5,120,Awake,Raw,50.000000000045475,15,0.29999999999972715,1.0326418192724347,True,50
sample_1.csv,7,120,Awake,Raw,50.000000000045475,20,0.3999999999996362,1.0767525024924716,True,50
sample_1.csv,8,120,Awake,Raw,50.000000000045475,13,0.25999999999976353,0.9809900060667918,True,50
sample_1.csv,10,120,Awake,Raw,50.000000000045475,19,0.3799999999996544,0.531046350536764,True,50
sample_1.csv,12,120,Awake,Raw,50.000000000045475,21,0.419999999999618,1.043328856772332,True,50
sample_1.csv,2,180,Awake,Raw,50.000000000045475,23,0.45999999999958163,0.8149518795199668,True,50
sample_1.csv,3,180,Awake,Raw,50.000000000045475,20,0.3999999999996362,1.0921975062420461,True,50
sample_1.csv,4,180,Awake,Raw,50.000000000045475,21,0.419999999999618,0.892026396463045,True,50
sample_1.csv,5,180,Awake,Raw,50.000000000045475,21,0.419999999999618,1.0220097684543052,True,50
sample_1.csv,7,180,Awake,Raw,50.000000000045475,22,0.4399999999995998,1.01474635650961,True,50
sample_1.csv,18,60,Drowsy,Raw,50.000000000045475,18,0.3599999999996726,1.0548604041655896,True,50
sample_1.csv,19,60,Drowsy,Raw,50.000000000045475,20,0.3999999999996362,0.7903584409668412,True,50
sample_1.csv,21,60,Drowsy,Raw,50.000000000045475,19,0.3799999999996544,0.8946601998542079,True,50
sample_1.csv,1,60,Awake,Processed,50.000000000045475,15,0.29999999999972715,1.0728803747909765,True,50
sample_1.csv,2,60,Awake,Processed,50.000000000045475,7,0.13999999999987267,1.3954553658305793,True,50
sample_1.csv,3,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.3379246855466027,True,50
sample_1.csv,4,60,Awake,Processed,50.000000000045475,15,0.29999999999972715,1.170972741460643,True,50
sample_1.csv,5,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.3345448503250799,True,50
sample_1.csv,6,60,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.8048489988085912,True,50
sample_1.csv,7,60,Awake,Processed,50.000000000045475,15,0.29999999999972715,0.9152900549149692,True,50
sample_1.csv,8,60,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.4877955081734253,True,50
sample_1.csv,9,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.1265308035076904,True,50
sample_1.csv,10,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.3213083828514698,True,50
sample_1.csv,11,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.3709270129537483,True,50
sample_1.csv,12,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.0641485128295178,True,50
sample_1.csv,13,60,Awake,Processed,50.000000000045475,15,0.29999999999972715,0.8029211786553692,True,50
sample_1.csv,14,60,Awake,Processed,50.000000000045475,16,0.31999999999970896,0.8670277554415744,True,50
sample_1.csv,15,60,Awake,Processed,50.000000000045475,7,0.13999999999987267,1.4192563279081787,True,50
sample_1.csv,16,60,Awake,Processed,50.000000000045475,7,0.13999999999987267,0.94308443339746,True,50
sample_1.csv,17,60,Awake,Processed,50.000000000045475,15,0.29999999999972715,0.6452265630597225,True,50
sample_1.csv,22,60,Awake,Processed,50.000000000045475,6,0.11999999999989086,0.8717377610935504,True,50
sample_1.csv,23,60,Awake,Processed,50.000000000045475,7,0.13999999999987267,1.044943085876441,True,50
sample_1.csv,27,60,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.580193651475815,True,50
sample_1.csv,28,60,Awake,Processed,50.000000000045475,13,0.25999999999976353,0.7367434828787438,True,50
sample_1.csv,29,60,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.695169071088646,True,50
sample_1.csv,30,60,Awake,Processed,50.000000000045475,13,0.25999999999976353,0.5917737976566446,True,50
sample_1.csv,33,60,Awake,Processed,50.000000000045475,12,0.23999999999978172,0.7403309234310331,True,50
sample_1.csv,1,120,Awake,Processed,50.000000000045475,7,0.13999999999987267,1.3051420952037471,True,50
sample_1.csv,2,120,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.3866872739190068,True,50
sample_1.csv,3,120,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.8184369634248281,True,50
sample_1.csv,4,120,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.6134528670622483,True,50
sample_1.csv,5,120,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.2043413627501067,True,50
sample_1.csv,6,120,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.1346811047585206,True,50
sample_1.csv,7,120,Awake,Processed,50.000000000045475,15,0.29999999999972715,0.8123043599186914,True,50
sample_1.csv,8,120,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.7220820747859857,True,50
sample_1.csv,10,120,Awake,Processed,50.000000000045475,7,0.13999999999987267,0.9233052516625815,True,50
sample_1.csv,12,120,Awake,Processed,50.000000000045475,13,0.25999999999976353,0.5857417276600927,True,50
sample_1.csv,13,120,Awake,Processed,50.000000000045475,13,0.25999999999976353,0.5856424477569604,True,50
sample_1.csv,1,180,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.2740631853758266,True,50
sample_1.csv,2,180,Awake,Processed,50.000000000045475,15,0.29999999999972715,0.9062540550645117,True,50
sample_1.csv,3,180,Awake,Processed,50.000000000045475,14,0.27999999999974534,0.6693231462091038,True,50
sample_1.csv,4,180,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.1688897832221592,True,50
sample_1.csv,5,180,Awake,Processed,50.000000000045475,6,0.11999999999989086,1.194077611768586,True,50
sample_1.csv,7,180,Awake,Processed,50.000000000045475,13,0.25999999999976353,0.6106783062764798,True,50
sample_1.csv,18,60,Drowsy,Processed,50.000000000045475,7,0.13999999999987267,1.0876261489950423,True,50
sample_1.csv,21,60,Drowsy,Processed,50.000000000045475,7,0.13999999999987267,0.9700052460198147,True,50
sample_1.csv,24,60,Drowsy,Processed,50.000000000045475,13,0.25999999999976353,0.47644807637787245,True,50
sample_1.csv,25,60,Drowsy,Processed,50.000000000045475,14,0.27999999999974534,0.5896893169079824,True,50
sample_1.csv,26,60,Drowsy,Processed,50.000000000045475,13,0.25999999999976353,0.5772950257088478,True,50
sample_1.csv,31,60,Drowsy,Processed,50.000000000045475,9,0.1799999999998363,0.36534777569154286,True,50
sample_1.csv,34,60,Drowsy,Processed,50.000000000045475,14,0.27999999999974534,0.64972170335467,True,50
sample_1.csv,11,120,Drowsy,Processed,50.000000000045475,13,0.25999999999976353,0.5093320216841377,True,50
sample_1.csv,6,180,Drowsy,Processed,50.000000000045475,13,0.25999999999976353,0.5171442516881157,True,50
sample_4.csv,1,60,Awake,Raw,24.991877639597273,10,0.4001300000027186,0.354725099563308,True,25
sample_4.csv,2,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.8715653404542367,True,25
sample_4.csv,3,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,1.0299891318863477,True,25
sample_4.csv,4,60,Awake,Raw,24.991877639597273,11,0.44014300000299045,0.7390819197060825,True,25
sample_4.csv,5,60,Awake,Raw,24.991877639597273,8,0.32010400000217487,0.8402155295638023,True,25
sample_4.csv,6,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.9278551439677019,True,25
sample_4.csv,7,60,Awake,Raw,24.991877639597273,8,0.32010400000217487,0.884007513064649,True,25
sample_4.csv,8,60,Awake,Raw,24.991877639597273,11,0.44014300000299045,0.6530294422701406,True,25
sample_4.csv,9,60,Awake,Raw,24.991877639597273,8,0.32010400000217487,0.6977812459819104,True,25
sample_4.csv,10,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.7445615456855021,True,25
sample_4.csv,14,60,Awake,Raw,24.991877639597273,7,0.280091000001903,0.6653815720281182,True,25
sample_4.csv,15,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.6845433153036318,True,25
sample_4.csv,16,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.8206859331036327,True,25
sample_4.csv,17,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7254048762053689,True,25
sample_4.csv,18,60,Awake,Raw,24.991877639597273,11,0.44014300000299045,0.4860618292175616,True,25
sample_4.csv,19,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7171239614234945,True,25
sample_4.csv,20,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.7935431177195342,True,25
sample_4.csv,21,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.6030145499053594,True,25
sample_4.csv,22,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.8599122973662814,True,25
sample_4.csv,23,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.7092487040709461,True,25
sample_4.csv,24,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7837517743568982,True,25
sample_4.csv,25,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.6074469921269001,True,25
sample_4.csv,26,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.8830368932714867,True,25
sample_4.csv,27,60,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.8207269051339523,True,25
sample_4.csv,28,60,Awake,Raw,24.991877639597273,10,0.4001300000027186,0.5612176896096841,True,25
sample_4.csv,29,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.748499589873445,True,25
sample_4.csv,30,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7692817277797417,True,25
sample_4.csv,31,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.8260704000656229,True,25
sample_4.csv,32,60,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.6692503351599601,True,25
sample_4.csv,1,120,Awake,Raw,24.991877639597273,8,0.32010400000217487,0.49069256567437947,True,25
sample_4.csv,2,120,Awake,Raw,24.991877639597273,14,0.560182000003806,0.7249661083407108,True,25
sample_4.csv,3,120,Awake,Raw,24.991877639597273,12,0.4801560000032623,0.7136597095958219,True,25
sample_4.csv,4,120,Awake,Raw,24.991877639597273,13,0.5201690000035342,0.5643419165163888,True,25
sample_4.csv,6,120,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.6839265355232271,True,25
sample_4.csv,7,120,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.768977072326372,True,25
sample_4.csv,8,120,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.6894279166645774,True,25
sample_4.csv,9,120,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7211082559202495,True,25
sample_4.csv,10,120,Awake,Raw,24.991877639597273,11,0.44014300000299045,0.5705264361724218,True,25
sample_4.csv,11,120,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7065663215180678,True,25
sample_4.csv,12,120,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.8156302629035697,True,25
sample_4.csv,13,120,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7120717995742378,True,25
sample_4.csv,14,120,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7705605433179201,True,25
sample_4.csv,1,180,Awake,Raw,24.991877639597273,8,0.32010400000217487,0.6309583345794394,True,25
sample_4.csv,2,180,Awake,Raw,24.991877639597273,12,0.4801560000032623,0.6942854090645163,True,25
sample_4.csv,4,180,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.785619249222469,True,25
sample_4.csv,5,180,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.7276827955397014,True,25
sample_4.csv,6,180,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.7615565689676007,True,25
sample_4.csv,7,180,Awake,Raw,24.991877639597273,5,0.2000650000013593,0.729361335702519,True,25
sample_4.csv,8,180,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.7800457310125477,True,25
sample_4.csv,9,180,Awake,Raw,24.991877639597273,4,0.16005200000108744,0.758584236263296,True,25
sample_4.csv,11,60,Drowsy,Raw,24.991877639597273,11,0.44014300000299045,0.5733945897941899,True,25
sample_4.csv,12,60,Drowsy,Raw,24.991877639597273,8,0.32010400000217487,0.5457735501625791,True,25
sample_4.csv,13,60,Drowsy,Raw,24.991877639597273,4,0.16005200000108744,0.9423523639747158,True,25
sample_4.csv,33,60,Drowsy,Raw,24.991877639597273,7,0.280091000001903,0.704075353160718,True,25
sample_4.csv,34,60,Drowsy,Raw,24.991877639597273,4,0.16005200000108744,0.5766758636218512,True,25
sample_4.csv,35,60,Drowsy,Raw,24.991877639597273,10,0.4001300000027186,0.5488733820494236,True,25
sample_4.csv,36,60,Drowsy,Raw,24.991877639597273,4,0.16005200000108744,0.6649058369338414,True,25
sample_4.csv,37,60,Drowsy,Raw,24.991877639597273,4,0.16005200000108744,0.6149029242890425,True,25
sample_4.csv,38,60,Drowsy,Raw,24.991877639597273,4,0.16005200000108744,0.6099722255618891,True,25
