session,window_size_s,label,representation,n_windows,n_tau_found,median_tau_seconds,iqr_tau_seconds,tau_found_rate
sample_14.csv,120,Awake,Raw,13,13,0.160040800000047,0.04001020000001179,100.0
sample_14.csv,120,Drowsy,Processed,7,7,0.1200306000000352,0.0,100.0
sample_14.csv,120,Drowsy,Raw,4,4,0.18004590000005288,0.04001020000001179,100.0
sample_14.csv,180,Awake,Processed,9,9,0.1200306000000352,0.0,100.0
sample_14.csv,180,Awake,Raw,8,8,0.18004590000005288,0.060015300000017674,100.0
sample_14.csv,180,Drowsy,Processed,4,4,0.1200306000000352,0.0,100.0
sample_14.csv,180,Drowsy,Raw,2,2,0.18004590000005288,0.02000510000000591,100.0
sample_15.csv,60,Awake,Processed,28,28,0.1200209999994967,0.040006999999832316,100.0
sample_15.csv,60,Awake,Raw,26,26,0.160027999999329,0.04000699999983229,100.0
sample_15.csv,60,Drowsy,Processed,6,6,0.1200209999994967,0.0,100.0
sample_15.csv,60,Drowsy,Raw,5,5,0.160027999999329,0.0,100.0
sample_15.csv,120,Awake,Processed,12,12,0.1200209999994967,0.0,100.0
sample_15.csv,120,Awake,Raw,10,10,0.24004199999899356,0.08001399999966452,100.0
sample_15.csv,120,Drowsy,Processed,3,3,0.1200209999994967,0.0,100.0
sample_15.csv,120,Drowsy,Raw,2,2,0.3000524999987419,0.14002449999941288,100.0
sample_15.csv,180,Awake,Processed,7,7,0.1200209999994967,0.0,100.0
sample_15.csv,180,Awake,Raw,5,5,0.2800489999988258,0.08001399999966452,100.0
sample_15.csv,180,Drowsy,Processed,1,1,0.1200209999994967,0.0,100.0
sample_15.csv,180,Drowsy,Raw,1,1,0.4400769999981548,0.0,100.0
sample_17.csv,60,Awake,Processed,28,28,0.2600741000001676,0.1600456000001032,100.0
sample_17.csv,60,Awake,Raw,29,29,0.2800798000001805,0.12003420000007739,100.0
sample_17.csv,60,Drowsy,Processed,14,14,0.1600456000001031,0.07001995000004516,100.0
sample_17.csv,60,Drowsy,Raw,12,12,0.2000570000001289,0.09002565000005808,100.0
sample_17.csv,120,Awake,Processed,14,14,0.3200912000002063,0.12003420000007739,100.0
sample_17.csv,120,Awake,Raw,14,14,0.4601311000002965,0.23006555000014828,100.0
sample_17.csv,120,Drowsy,Processed,5,5,0.1600456000001031,0.0,100.0
sample_17.csv,120,Drowsy,Raw,5,5,0.2000570000001289,0.12003420000007739,100.0
sample_17.csv,180,Awake,Processed,9,9,0.3200912000002063,0.12003420000007739,100.0
sample_17.csv,180,Awake,Raw,9,9,0.3200912000002063,0.1600456000001031,100.0
sample_17.csv,180,Drowsy,Processed,4,4,0.180051300000116,0.0800228000000516,100.0
sample_17.csv,180,Drowsy,Raw,4,4,0.2600741000001676,0.12003420000007739,100.0
sample_18.csv,60,Awake,Processed,19,19,0.1200119999998605,0.04000399999995351,100.0
sample_18.csv,60,Awake,Raw,19,19,0.160015999999814,0.040003999999953604,100.0
sample_18.csv,60,Drowsy,Processed,21,21,0.1200119999998605,0.04000399999995351,100.0
sample_18.csv,60,Drowsy,Raw,21,21,0.2000199999997676,0.04000399999995349,100.0
sample_18.csv,120,Awake,Processed,8,8,0.1200119999998605,0.010000999999988366,100.0
sample_18.csv,120,Awake,Raw,8,8,0.2000199999997676,0.040003999999953604,100.0
sample_18.csv,120,Drowsy,Processed,10,10,0.1200119999998605,0.0,100.0
sample_18.csv,120,Drowsy,Raw,9,9,0.2000199999997676,0.0,100.0
