session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,0,81.94640619317133,14.835074969677866,-90.21472252582508
sample_1,7,Awake,1,78.42256962578665,-3.889103054245316,-98.96564462194702
sample_1,7,Awake,2,77.9880520035691,-21.332081204593784,-110.0190956461458
sample_1,7,Awake,3,77.07296632998974,-36.77173757323951,-125.86546937315526
sample_1,7,Awake,4,73.06294880558416,-50.04725035560853,-147.3028169108383
sample_1,7,Awake,5,64.54329039313673,-61.67996752853081,-171.59938011567763
sample_1,7,Awake,6,51.06596519921845,-72.1610423435966,-191.2661925312068
sample_1,7,Awake,7,33.76135449833789,-81.60462250407221,-194.3362486040056
sample_1,7,Awake,8,14.835074969677866,-90.21472252582508,-168.99434203802642
sample_1,7,Awake,9,-3.889103054245316,-98.96564462194702,-112.2554725912067
sample_1,7,Awake,10,-21.332081204593784,-110.0190956461458,-35.06787825562357
sample_1,7,Awake,11,-36.77173757323951,-125.86546937315526,42.54727002436674
sample_1,7,Awake,12,-50.04725035560853,-147.3028169108383,102.30440915805433
sample_1,7,Awake,13,-61.67996752853081,-171.59938011567763,135.7214485690058
sample_1,7,Awake,14,-72.1610423435966,-191.2661925312068,145.20943295416205
sample_1,7,Awake,15,-81.60462250407221,-194.3362486040056,139.40184210863003
sample_1,7,Awake,16,-90.21472252582508,-168.99434203802642,126.71966022965168
sample_1,7,Awake,17,-98.96564462194702,-112.2554725912067,111.51650115998976
sample_1,7,Awake,18,-110.0190956461458,-35.06787825562357,95.17062054927644
sample_1,7,Awake,19,-125.86546937315526,42.54727002436674,79.64832192865485
sample_1,7,Awake,20,-147.3028169108383,102.30440915805433,68.29122121987797
sample_1,7,Awake,21,-171.59938011567763,135.7214485690058,63.1727906006257
sample_1,7,Awake,22,-191.2661925312068,145.20943295416205,63.21037419515273
sample_1,7,Awake,23,-194.3362486040056,139.40184210863003,65.23733236382641
sample_1,7,Awake,24,-168.99434203802642,126.71966022965168,66.07507294702407
sample_1,7,Awake,25,-112.2554725912067,111.51650115998976,63.52183189752244
sample_1,7,Awake,26,-35.06787825562357,95.17062054927644,56.52230253444102
sample_1,7,Awake,27,42.54727002436674,79.64832192865485,45.1501355810651
sample_1,7,Awake,28,102.30440915805433,68.29122121987797,30.37101150947177
sample_1,7,Awake,29,135.7214485690058,63.1727906006257,13.691364407551502
sample_1,7,Awake,30,145.20943295416205,63.21037419515273,-3.404203881914027
sample_1,7,Awake,31,139.40184210863003,65.23733236382641,-20.152197312844308
sample_1,7,Awake,32,126.71966022965168,66.07507294702407,-36.51202250526082
sample_1,7,Awake,33,111.51650115998976,63.52183189752244,-52.365743606609406
sample_1,7,Awake,34,95.17062054927644,56.52230253444102,-66.99783178292844
sample_1,7,Awake,35,79.64832192865485,45.1501355810651,-79.67813655595913
sample_1,7,Awake,36,68.29122121987797,30.37101150947177,-90.81567601839818
