time_s,mean_log_distance,n_pairs,in_fit_region
0.0,3.7458069054696783,2944,False
0.01999999999998181,3.9017975321888425,2943,False
0.03999999999996362,4.118980262483534,2942,False
0.05999999999994543,4.254136802653392,2940,False
0.07999999999992724,4.299862753503314,2939,False
0.09999999999990905,4.265434257237465,2937,False
0.11999999999989086,4.16510165792175,2936,False
0.13999999999987267,4.0303989815201815,2935,False
0.15999999999985448,3.9450433757956738,2934,False
0.1799999999998363,4.048235519572104,2933,False
0.1999999999998181,4.210298699236384,2932,False
0.2199999999997999,4.32041659999853,2931,False
0.23999999999978172,4.366781189664277,2930,False
0.25999999999976353,4.3517424102037605,2929,False
0.27999999999974534,4.289360460903035,2927,False
0.29999999999972715,4.203488690870754,2926,False
0.31999999999970896,4.151847680537268,2925,False
0.33999999999969077,4.229647833658457,2924,False
0.3599999999996726,4.352358814698301,2923,False
0.3799999999996544,4.435273511730637,2921,False
0.3999999999996362,4.474953051527971,2919,False
0.419999999999618,4.473360522467405,2917,False
0.4399999999995998,4.437212630685056,2916,False
0.45999999999958163,4.386727113319785,2914,False
0.47999999999956344,4.361260872472186,2913,False
0.49999999999954525,4.419742303186791,2912,False
0.5199999999995271,4.510522465818796,2911,False
0.5399999999995089,4.578303953176851,2909,False
0.5599999999994907,4.614710788804126,2906,False
0.5799999999994725,4.62396499506037,2902,False
0.5999999999994543,4.610872138070393,2899,False
0.6199999999994361,4.587993654217891,2898,False
0.6399999999994179,4.580914429455625,2895,False
0.6599999999993997,4.628021026670774,2892,False
0.6799999999993815,4.689905943534297,2891,False
0.6999999999993634,4.73878676535707,2887,False
0.7199999999993452,4.771828130301627,2884,False
0.739999999999327,4.787479494995002,2881,False
0.7599999999993088,4.7873444957382985,2878,False
0.7799999999992906,4.785060347734731,2877,False
0.7999999999992724,4.787126253453441,2875,False
0.8199999999992542,4.8200519884469095,2873,True
0.839999999999236,4.8620342944164205,2872,True
0.8599999999992178,4.90324109186111,2869,True
0.8799999999991996,4.934789784166447,2865,True
0.8999999999991815,4.953564331855719,2861,True
