session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_1.csv,4.0,180,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0670840787119856
sample_1.csv,5.0,60,Awake,Processed,24,24,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.10190518387239694
sample_1.csv,5.0,60,Awake,Raw,14,14,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.700000000000001,4.0,5.0,0.0513118234169569
sample_1.csv,5.0,60,Drowsy,Processed,7,7,100.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0681198910081743
sample_1.csv,5.0,60,Drowsy,Raw,3,3,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
sample_1.csv,5.0,120,Awake,Processed,11,11,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.1347708894878706
sample_1.csv,5.0,120,Awake,Raw,8,8,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0084745762711864
sample_1.csv,5.0,120,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0675675675675675
sample_1.csv,5.0,180,Awake,Processed,6,6,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,5.0,0.26309150213545623
sample_1.csv,5.0,180,Awake,Raw,5,5,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0
sample_1.csv,5.0,180,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0670840787119856
sample_10.csv,1.0,60,Awake,Processed,27,18,66.66666666666666,6.0,2.0,5.0,5.0,5.0,6.0,7.0,7.0,5.0,8.0,0.7513661202185792
sample_10.csv,1.0,60,Awake,Raw,27,2,7.4074074074074066,8.0,1.0,7.0,7.2,7.5,8.0,8.5,8.8,7.0,9.0,2.413793103448276
sample_10.csv,1.0,60,Drowsy,Processed,9,7,77.77777777777779,5.0,1.5,5.0,5.0,5.0,5.0,6.5,7.800000000000001,5.0,9.0,0.684931506849315
sample_10.csv,1.0,60,Drowsy,Raw,8,0,0.0,,,,,,,,,,,2.282162011562304
sample_10.csv,1.0,120,Awake,Processed,12,10,83.33333333333334,7.0,1.0,7.0,5.9,6.0,7.0,7.0,8.1,5.0,9.0,0.724372142697566
sample_10.csv,1.0,120,Awake,Raw,12,0,0.0,,,,,,,,,,,2.261661957066679
sample_10.csv,1.0,120,Drowsy,Processed,4,3,75.0,6.0,1.0,5.0,5.2,5.5,6.0,6.5,6.8,5.0,7.0,0.6911100319739842
sample_10.csv,1.0,120,Drowsy,Raw,4,1,25.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.6903344021988085
sample_10.csv,1.0,180,Awake,Processed,7,6,85.71428571428571,7.0,1.5,6.0,6.0,6.25,7.0,7.75,8.5,6.0,9.0,0.7379248658318426
sample_10.csv,1.0,180,Awake,Raw,7,0,0.0,,,,,,,,,,,2.0202020202020203
sample_10.csv,1.0,180,Drowsy,Processed,2,1,50.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.816680092824666
sample_10.csv,1.0,180,Drowsy,Raw,2,0,0.0,,,,,,,,,,,2.292134831460674
sample_10.csv,2.0,60,Awake,Processed,27,27,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,0.7513661202185792
sample_10.csv,2.0,60,Awake,Raw,27,8,29.629629629629626,8.0,2.5,8.0,5.0,5.75,8.0,8.25,9.3,5.0,10.0,2.413793103448276
sample_10.csv,2.0,60,Drowsy,Processed,9,9,100.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0.684931506849315
sample_10.csv,2.0,60,Drowsy,Raw,8,4,50.0,7.0,0.75,7.0,5.6,6.5,7.0,7.25,7.7,5.0,8.0,2.282162011562304
sample_10.csv,2.0,120,Awake,Processed,12,12,100.0,5.0,0.25,5.0,5.0,5.0,5.0,5.25,6.0,5.0,6.0,0.724372142697566
sample_10.csv,2.0,120,Awake,Raw,12,5,41.66666666666667,8.0,2.0,9.0,6.4,7.0,8.0,9.0,9.0,6.0,9.0,2.261661957066679
sample_10.csv,2.0,120,Drowsy,Processed,4,4,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6911100319739842
sample_10.csv,2.0,120,Drowsy,Raw,4,1,25.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.6903344021988085
sample_10.csv,2.0,180,Awake,Processed,7,7,100.0,5.0,0.5,5.0,5.0,5.0,5.0,5.5,6.0,5.0,6.0,0.7379248658318426
sample_10.csv,2.0,180,Awake,Raw,7,3,42.857142857142854,7.0,2.0,6.0,6.2,6.5,7.0,8.5,9.4,6.0,10.0,2.0202020202020203
sample_10.csv,2.0,180,Drowsy,Processed,2,2,100.0,5.5,0.5,5.0,5.1,5.25,5.5,5.75,5.9,5.0,6.0,0.816680092824666
