threshold_pct,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
1.0,2942,1404,47.72263766145479,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,1.0287375729657513
2.0,2942,2274,77.29435757987764,5.0,1.0,5.0,4.0,5.0,5.0,6.0,6.0,3.0,10.0,1.0287375729657513
3.0,2942,2737,93.03195105370496,4.0,1.0,4.0,4.0,4.0,4.0,5.0,6.0,3.0,10.0,1.0287375729657513
4.0,2942,2916,99.1162474507138,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.0287375729657513
5.0,2942,2941,99.96600951733514,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,10.0,1.0287375729657513
