threshold_pct,window_size_s,representation,label,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
4.0,120,Processed,Drowsy,136,136,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.8091709680587535
4.0,120,Raw,Awake,245,244,99.59183673469387,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,3.0,10.0,1.9561551433389543
4.0,120,Raw,Drowsy,118,117,99.15254237288136,4.0,1.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,8.0,1.692620176032498
4.0,180,Processed,Awake,161,161,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.7394129509298678
4.0,180,Processed,Drowsy,77,77,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.7847533632286996
4.0,180,Raw,Awake,147,145,98.63945578231292,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,10.0,1.749271137026239
4.0,180,Raw,Drowsy,71,71,100.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,8.0,1.7225950782997763
5.0,60,Processed,Awake,596,596,100.0,4.0,0.0,4.0,3.5,4.0,4.0,4.0,4.0,3.0,5.0,0.6811989100817438
5.0,60,Processed,Drowsy,305,305,100.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,0.7452574525745257
5.0,60,Raw,Awake,550,549,99.81818181818181,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.9931271477663228
5.0,60,Raw,Drowsy,267,267,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,8.0,1.7687074829931977
5.0,120,Processed,Awake,269,269,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7404914170313026
5.0,120,Processed,Drowsy,136,136,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.8091709680587535
5.0,120,Raw,Awake,245,245,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.9561551433389543
5.0,120,Raw,Drowsy,118,118,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,8.0,1.692620176032498
5.0,180,Processed,Awake,161,161,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.7394129509298678
5.0,180,Processed,Drowsy,77,77,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.7847533632286996
5.0,180,Raw,Awake,147,147,100.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,7.0,1.749271137026239
5.0,180,Raw,Drowsy,71,71,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,1.7225950782997763
