scope,group_value,threshold_pct,n_windows,n_failed,failure_rate_pct,median_min_fnn_pct,q25_min_fnn_pct,q75_min_fnn_pct,median_fnn_at_max_m,near_threshold_pct,moderate_pct,far_pct
Overall,All,1.0,2942,1538,52.27736233854521,1.8493150684931507,1.3103448275862069,2.5517241379310347,2.26027397260274,56.566970091027315,43.43302990897269,0.0
Overall,All,2.0,2942,668,22.705642420122366,2.671494300951584,2.3046943181296218,3.1724137931034484,3.017972193964056,69.311377245509,30.688622754491018,0.0
Overall,All,3.0,2942,205,6.9680489462950375,3.467561521252797,3.219178082191781,3.724137931034482,3.694915254237288,87.3170731707317,12.682926829268293,0.0
Overall,All,4.0,2942,26,0.8837525492861998,4.329948039678791,4.087239291320924,4.431093327056608,4.512565751022793,96.15384615384616,3.8461538461538463,0.0
Overall,All,5.0,2942,1,0.03399048266485384,5.0344827586206895,5.0344827586206895,5.0344827586206895,5.0344827586206895,100.0,0.0,0.0
representation,Processed,1.0,1544,469,30.375647668393782,1.2907608695652173,1.110363391655451,1.5068493150684932,1.749271137026239,93.81663113006397,6.183368869936034,0.0
representation,Raw,1.0,1398,1069,76.46638054363376,2.2267206477732797,1.6816143497757847,2.837837837837838,2.5762711864406778,40.2245088868101,59.775491113189894,0.0
representation,Processed,2.0,1544,29,1.878238341968912,2.1232876712328768,2.100271002710027,2.2972972972972974,2.671232876712329,100.0,0.0,0.0
representation,Raw,2.0,1398,639,45.708154506437765,2.6981450252951094,2.336769759450172,3.186440677966101,3.034389750505732,67.91862284820031,32.08137715179969,0.0
representation,Processed,3.0,1544,0,0.0,,,,,,,
representation,Raw,3.0,1398,205,14.663805436337626,3.467561521252797,3.219178082191781,3.724137931034482,3.694915254237288,87.3170731707317,12.682926829268293,0.0
representation,Processed,4.0,1544,0,0.0,,,,,,,
representation,Raw,4.0,1398,26,1.859799713876967,4.329948039678791,4.087239291320924,4.431093327056608,4.512565751022793,96.15384615384616,3.8461538461538463,0.0
representation,Processed,5.0,1544,0,0.0,,,,,,,
representation,Raw,5.0,1398,1,0.0715307582260372,5.0344827586206895,5.0344827586206895,5.0344827586206895,5.0344827586206895,100.0,0.0,0.0
state,Awake,1.0,1968,1036,52.642276422764226,1.897662027467732,1.3507816416754022,2.653061224489796,2.344827586206897,54.729729729729726,45.27027027027027,0.0
state,Drowsy,1.0,974,502,51.540041067761805,1.7588377196545066,1.28270580581733,2.335168135214771,2.135692293622729,60.3585657370518,39.6414342629482,0.0
state,Awake,2.0,1968,469,23.83130081300813,2.73972602739726,2.344827586206897,3.2323232323232323,3.034482758620689,65.67164179104478,34.32835820895522,0.0
state,Drowsy,2.0,974,199,20.431211498973305,2.542955326460481,2.225969645868465,2.9553264604811,2.950152594099695,77.88944723618091,22.110552763819097,0.0
state,Awake,3.0,1968,161,8.18089430894309,3.4693877551020407,3.219178082191781,3.767123287671233,3.793103448275862,86.33540372670807,13.664596273291925,0.0
