session,window_id,window_size_s,label,representation,threshold_pct,selected_m,m_found,min_fnn_percent,fnn_at_selected_m,valid_count_at_selected_m
sample_1.csv,3,120,Awake,Processed,3.0,5.0,True,0.4723346828609986,1.5604026845637584,5960.0
sample_1.csv,3,120,Awake,Processed,4.0,5.0,True,0.4723346828609986,1.5604026845637584,5960.0
sample_1.csv,3,120,Awake,Processed,5.0,4.0,True,0.4723346828609986,4.607908847184987,5968.0
sample_1.csv,3,120,Awake,Raw,1.0,6.0,True,0.0677966101694915,0.6902356902356902,5940.0
sample_1.csv,3,120,Awake,Raw,2.0,5.0,True,0.0677966101694915,1.7142857142857144,5950.0
sample_1.csv,3,120,Awake,Raw,3.0,5.0,True,0.0677966101694915,1.7142857142857144,5950.0
sample_1.csv,3,120,Awake,Raw,4.0,5.0,True,0.0677966101694915,1.7142857142857144,5950.0
sample_1.csv,3,120,Awake,Raw,5.0,5.0,True,0.0677966101694915,1.7142857142857144,5950.0
sample_1.csv,3,180,Awake,Processed,1.0,6.0,True,0.2802690582959641,0.8378016085790885,8952.0
sample_1.csv,3,180,Awake,Processed,2.0,5.0,True,0.2802690582959641,1.40625,8960.0
sample_1.csv,3,180,Awake,Processed,3.0,5.0,True,0.2802690582959641,1.40625,8960.0
sample_1.csv,3,180,Awake,Processed,4.0,5.0,True,0.2802690582959641,1.40625,8960.0
sample_1.csv,3,180,Awake,Processed,5.0,4.0,True,0.2802690582959641,4.025423728813559,8968.0
sample_1.csv,3,180,Awake,Raw,1.0,6.0,True,0.0,0.4586129753914989,8940.0
sample_1.csv,3,180,Awake,Raw,2.0,5.0,True,0.0,1.4301675977653632,8950.0
sample_1.csv,3,180,Awake,Raw,3.0,5.0,True,0.0,1.4301675977653632,8950.0
sample_1.csv,3,180,Awake,Raw,4.0,4.0,True,0.0,3.660714285714286,8960.0
sample_1.csv,3,180,Awake,Raw,5.0,4.0,True,0.0,3.660714285714286,8960.0
sample_1.csv,4,60,Awake,Processed,1.0,6.0,True,0.4087193460490463,0.575880758807588,2952.0
sample_1.csv,4,60,Awake,Processed,2.0,5.0,True,0.4087193460490463,1.2162162162162162,2960.0
sample_1.csv,4,60,Awake,Processed,3.0,5.0,True,0.4087193460490463,1.2162162162162162,2960.0
sample_1.csv,4,60,Awake,Processed,4.0,4.0,True,0.4087193460490463,3.942048517520216,2968.0
sample_1.csv,4,60,Awake,Processed,5.0,4.0,True,0.4087193460490463,3.942048517520216,2968.0
sample_1.csv,4,60,Awake,Raw,1.0,8.0,True,0.7931034482758621,0.8904109589041096,2920.0
sample_1.csv,4,60,Awake,Raw,2.0,7.0,True,0.7931034482758621,1.1945392491467577,2930.0
