scope,group_value,dimension,n_windows,median_fnn_pct,iqr_fnn_pct,q25_fnn_pct,q75_fnn_pct,q90_fnn_pct,median_delta_to_next,iqr_delta_to_next
Overall,All,1,2942,96.18983957219253,2.4719776878409903,94.92063449537221,97.3926121832132,98.26377295492487,55.986846535431305,10.291207408172625
Overall,All,2,2942,39.47456846496824,11.277031193087417,34.21097052111326,45.48800171420068,50.420765845541794,29.725275649741643,9.06658742888709
Overall,All,3,2942,8.969210174029453,5.396373497008859,6.854838709677419,12.251212206686278,15.788944546352477,5.847324597324597,3.716522511231
Overall,All,4,2942,3.1176667784109955,2.065824559375068,2.223719676549865,4.289544235924933,5.8702322246546546,1.204234056393103,1.073188526138639
Overall,All,5,2942,1.7881090746535535,1.6326902529786418,1.2162162162162162,2.848906469194858,4.0,0.4028418662565003,0.49296418382027624
Overall,All,6,2942,1.3550135501355014,1.4936057653432746,0.8193194047247524,2.312925170068027,3.4013605442176877,0.12502611966288257,0.369823123980828
Overall,All,7,2942,1.228668941979522,1.5468546143664008,0.7155635062611807,2.2624181206275815,3.2764505119453924,0.061012670064051644,0.2795829632053859
Overall,All,8,2942,1.208865010073875,1.4986376021798362,0.6811989100817438,2.17983651226158,3.0821917808219177,-0.03435266923860685,0.3024106349101011
Overall,All,9,2942,1.2978142076502732,1.4905715740408918,0.7087411407357408,2.1993127147766325,3.052749719416386,-0.06821872190991957,0.28111845047444856
Overall,All,10,2942,1.3902181631836892,1.5470502933267058,0.7586206896551724,2.3056709829818782,3.1724137931034484,,
representation,Processed,1,1544,96.79144385026738,2.1967733842143957,95.8368246203924,98.0335980046068,98.53202846975088,60.53089060316323,9.290546996466439
representation,Processed,2,1544,36.1260053619303,11.394169102481708,31.4343163538874,42.82848545636911,47.77732901929826,28.8700128282741,8.880867759742209
representation,Processed,3,1544,7.594086021505377,2.913575440315065,6.293413806996763,9.206989247311828,10.582398205652899,4.963789380633568,2.2545425878319962
representation,Processed,4,1544,2.613941018766756,1.3477088948787062,1.954177897574124,3.30188679245283,3.906939844022913,1.1382286427726256,0.9929958044493085
representation,Processed,5,1544,1.418918918918919,0.7927852348993287,0.9857382550335572,1.778523489932886,2.1631854978710963,0.335274298688933,0.4068502788195769
representation,Processed,6,1544,1.016260162601626,0.70018139697526,0.6775067750677507,1.3776881720430108,1.7615176151761516,0.1004841001193776,0.33653211413667194
representation,Processed,7,1544,0.8831521739130435,0.7015793915470436,0.5434782608695652,1.2450576524166088,1.648721399730821,-0.0003702167989574068,0.23767850054076056
