session,representation,state,window_size,window_id,surrogate_id,seed,CC,NRMSE,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax
6,Processed,Awake,60,1,0,12399314863743484535,0.6878078240221027,0.6804736408925689,0.5710035033834046,3.0007566204287515,1.111266324442718,30.0,0.4028650957431492,2.0783609804407033,3.0
6,Processed,Awake,60,1,1,10144240831233168807,0.7576484728005535,0.6213376354531953,0.5735950472716802,3.19657662476598,1.2119654495659153,34.0,0.37051878869319,2.0579768092762896,4.0
6,Processed,Awake,60,1,2,9645806940915688295,0.7544092304663618,0.6221147321548766,0.5699476892066996,2.9571713147410357,1.0588012545075554,37.0,0.3957143542736478,2.0593156843156843,3.0
6,Processed,Awake,60,1,3,4095542617975852205,0.7456918348620756,0.6313717404717324,0.5464798195517588,3.048728246318608,1.1292573985149847,48.0,0.3743821087488602,2.059941906522313,3.0
6,Processed,Awake,60,1,4,1741188360837498666,0.7466350706051207,0.6336312476219603,0.5601094207419495,3.0095410005157297,1.123509650120739,41.0,0.41179152469165425,2.0490746268656714,3.0
6,Processed,Awake,60,1,5,15119396658207146083,0.7121784468798695,0.6587439187979773,0.594279406824399,3.09575,1.1271053581583113,38.0,0.4197341267936843,2.0644399858373657,3.0
6,Processed,Awake,60,1,6,12185790848982250567,0.7333171293969813,0.6287601428188956,0.5974468493545136,3.1177059854745806,1.160711659927743,45.0,0.3619522963958343,2.0463980463980462,3.0
6,Processed,Awake,60,1,7,14158176625451939394,0.7859080583030988,0.5889790828845346,0.5519988482027163,3.0109947643979056,1.0977670902984002,40.0,0.35559341555886165,2.0516405925515713,3.0
6,Processed,Awake,60,1,8,8378106653592865076,0.7118364810652458,0.6500882619530193,0.5701396554206459,3.111576741749607,1.1715073768873403,53.0,0.34820271632192734,2.0349179638199413,3.0
6,Processed,Awake,60,1,9,12819499381079381324,0.7372428865378834,0.6305906040072627,0.5706675625089984,3.102269762588051,1.1340872334524046,51.0,0.3739021932139943,2.0635677393722687,3.0
6,Processed,Awake,60,1,10,1110777941533693249,0.7090604149185539,0.6620849801582618,0.5479195661563565,3.249003984063745,1.2734325710084946,41.0,0.3521620194845707,2.065296932169997,3.0
