session,representation,state,window_size,window_id,surrogate_id,seed,CC,NRMSE,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax
17,Processed,Awake,60,1,0,6532682181597480064,0.5039373959955418,0.8220447221588005,0.5743629121274656,3.004770273663068,1.1360808869160093,36.0,0.5050631088928349,2.16165143267947,4.0
17,Processed,Awake,60,1,1,1384910638860013322,0.46918194624502557,0.8291440577153402,0.5713394442578106,3.028491477995421,1.1571054328352237,46.0,0.45071267456927583,2.1247737556561086,3.0
17,Processed,Awake,60,1,2,11939056379015966072,0.4911785416288475,0.81690439226913,0.5444641743053222,2.9544270833333335,1.130749196216262,46.0,0.4510486154436819,2.126598031451522,4.0
17,Processed,Awake,60,1,3,10476751275838810924,0.532038607212058,0.8109774715562692,0.5885204204060085,3.029397233201581,1.1510184971504431,43.0,0.4736526371358641,2.152327990404536,4.0
17,Processed,Awake,60,1,4,2814429347681142732,0.5784218521279331,0.7636429673571665,0.5794020252435571,3.1382895762932157,1.2050718965749518,47.0,0.40615251715698036,2.119193689745837,3.0
17,Processed,Awake,60,1,5,13324024330572434259,0.5242607912044318,0.8032637357101868,0.5856409271968134,2.9654921020656135,1.1384671290361474,48.0,0.4526803282622259,2.1208544125913433,4.0
17,Processed,Awake,60,1,6,1417600504230927027,0.5048691933103256,0.8053463446164627,0.5612612180256275,2.925944458343758,1.1058546301828271,42.0,0.4461294812113068,2.1508560851457657,4.0
17,Processed,Awake,60,1,7,18164992452713817368,0.5311695920335145,0.7940308932413572,0.5869366991409511,3.032482023307711,1.1535671019113405,48.0,0.4041128761338004,2.1194311603322427,4.0
17,Processed,Awake,60,1,8,16104227640887311509,0.5468044668934205,0.7850943248516119,0.5584297163699189,2.9104552276138067,1.0861111423577097,42.0,0.41896626193789893,2.1391815731438375,4.0
17,Processed,Awake,60,1,9,6161068642424779403,0.5528596828958352,0.7879222577800691,0.5966789844987282,3.036141636141636,1.155539079110297,50.0,0.4250851850074387,2.107674003569304,4.0
17,Processed,Awake,60,1,10,14478982408837032783,0.42854050627518053,0.8461553319469055,0.5698037145462399,2.8902142161635833,1.0623114304084451,58.0,0.4967845659163987,2.1813296807501845,4.0
17,Processed,Awake,60,1,11,9046834425106420488,0.5172225213283301,0.8012962494624669,0.5701876469741326,2.9184475558830756,1.0507934430413086,58.0,0.48046743773095935,2.138295600170867,4.0
17,Processed,Awake,60,1,12,11770063970707447591,0.5565933037086112,0.7871339537073934,0.5529106877189615,2.939780556264353,1.052681700146409,40.0,0.4296203868119211,2.1545126353790613,4.0
17,Processed,Awake,60,1,13,8832830594106335306,0.4618001520418238,0.8310564325340452,0.6055094303402602,3.0512696493349454,1.12602424425044,47.0,0.49308921629793157,2.1400749843782547,4.0
17,Processed,Awake,60,1,14,9355704553385321756,0.4829670777492723,0.8067929425077023,0.5608772855977348,2.836650485436893,1.0638433520155401,49.0,0.4409703892114988,2.120341525325949,3.0
17,Processed,Awake,60,1,15,572127681081468210,0.44703335708660547,0.8545472554974999,0.5825214762201852,3.014903129657228,1.1431198227667272,60.0,0.4672457647454048,2.1695821727019498,4.0
17,Processed,Awake,60,1,16,6953341108073599910,0.5322137216690989,0.7917513624186321,0.5867927244804915,2.935654261704682,1.0631406236139274,47.0,0.4672217689686615,2.1448556950870237,4.0
17,Processed,Awake,60,1,17,17048805449938244586,0.41991592094971913,0.8536882504870407,0.5947113308057782,3.1725550435227854,1.1951058650370614,45.0,0.4873302298795412,2.1967550027041645,4.0
17,Processed,Awake,60,1,18,6663889959041865255,0.552348208823735,0.7986632735449709,0.5911119642942843,3.010019550342131,1.099992500046276,62.0,0.43336372798387485,2.1415866239772323,4.0
17,Processed,Awake,60,1,19,1923043141310713791,0.5732629891739875,0.7773814490009106,0.5910639727407976,3.051536174430129,1.1272221480835949,43.0,0.48394682535873684,2.148274392841926,4.0
17,Processed,Awake,60,1,20,15165005208729219245,0.5213794406845518,0.8077816856926568,0.5828574170945914,3.2155149589621392,1.213139480642587,49.0,0.4219417382540673,2.1329451722464823,4.0
17,Processed,Awake,60,1,21,17971180938228604864,0.5022534789941014,0.8188560114904138,0.576522532034362,3.0684546615581096,1.1193678834980298,55.0,0.4825790660843691,2.1599183761142733,4.0
17,Processed,Awake,60,1,22,16744942820457282118,0.5498366151547965,0.784492100146772,0.5791140759226376,3.1004624871531345,1.1821904234529312,50.0,0.3983298939386668,2.1149190979742643,3.0
17,Processed,Awake,60,1,23,6424202858261465806,0.5623136328170442,0.7915171277053079,0.6070451600518308,3.0949351602642525,1.1519418605162457,45.0,0.4432979795555982,2.13918480778138,4.0
17,Processed,Awake,60,1,24,17035362360919274317,0.5100169964199169,0.809761520878225,0.5654364831789606,3.002548419979613,1.1495830806826786,36.0,0.42983634880261073,2.1532636134150738,4.0
17,Processed,Awake,60,1,25,6714155075185539582,0.4964441907861862,0.8105198412175358,0.6116043576330565,3.0797486708554858,1.136598078726842,45.0,0.45001679704372033,2.1150332694259615,3.0
17,Processed,Awake,60,1,26,7306086786312458737,0.47016446181308275,0.8339319036475581,0.5969669338196477,3.1285211267605635,1.2007602110226545,44.0,0.4360032634256371,2.12888107791447,4.0
